player_id,player_name,team,conference,qb_profile,cluster,passing_att,passing_pct,passing_yds,passing_td,rushing_car,rushing_yds,rushing_td,rushing_ypc,usage.pass,usage.rush,usage.passingDowns,usage.thirdDown,averagePPA.all,averagePPA.pass,averagePPA.rush,averagePPA.passingDowns
4429020,D.J. Uiagalelei,Florida State,ACC,Pure Game-Managers,3,156,0.538,1065.0,4.0,37.0,-8.0,0.0,-0.2,0.43,0.0795,0.313,0.35,0.196,0.204,0.142,0.601
4597499,Mikey Keene,Fresno State,Mountain West,Situational Pocket QBs,1,392,0.704,2887.0,18.0,47.0,-192.0,0.0,-4.1,0.9535,0.0771,0.759,0.761,0.275,0.356,-0.651,0.489
4430841,Carson Beck,Georgia,SEC,Pro-Style Starters,4,448,0.647,3485.0,28.0,55.0,71.0,1.0,1.3,0.895,0.1167,0.652,0.683,0.443,0.488,0.013,0.618
4685345,JC French,Georgia Southern,Sun Belt,High-Volume Dual-Threat,2,410,0.656,2831.0,17.0,118.0,238.0,2.0,2.0,0.9632,0.2464,0.73,0.81,0.319,0.324,0.299,0.391
4432612,Christian Veilleux,Georgia State,Sun Belt,Situational Scramblers,5,291,0.57,2047.0,13.0,28.0,74.0,1.0,2.6,0.6688,0.0592,0.496,0.557,0.333,0.341,0.208,0.783
4428993,Haynes King,Georgia Tech,ACC,Balanced Dual-Threat,0,269,0.729,2114.0,14.0,126.0,577.0,11.0,4.6,0.6923,0.2866,0.565,0.571,0.488,0.578,0.298,0.717
4709977,Brayden Schager,Hawai'i,Mountain West,High-Volume Dual-Threat,2,404,0.577,2591.0,19.0,135.0,267.0,6.0,2.0,0.8782,0.3581,0.738,0.783,0.276,0.251,0.381,0.35
4690977,Donovan Smith,Houston,Big 12,Pure Game-Managers,3,133,0.654,867.0,4.0,66.0,159.0,3.0,2.4,0.4901,0.1421,0.327,0.346,0.174,0.083,0.41,-0.005
4597679,Luke Altmyer,Illinois,Big Ten,High-Volume Dual-Threat,2,347,0.608,2717.0,22.0,99.0,217.0,4.0,2.2,1.0442,0.1875,0.801,0.758,0.428,0.465,0.247,0.536
4430431,Kurtis Rourke,Indiana,Big Ten,Pro-Style Starters,4,320,0.694,3042.0,29.0,46.0,-35.0,2.0,-0.8,0.971,0.0707,0.615,0.634,0.669,0.73,-0.007,0.791
4427455,Cade McNamara,Iowa,Big Ten,Pure Game-Managers,3,172,0.605,1017.0,6.0,13.0,-31.0,0.0,-2.4,0.6828,0.0125,0.448,0.421,0.214,0.236,0.3,0.191
4801299,Rocco Becht,Iowa State,Big 12,Pro-Style Starters,4,457,0.595,3505.0,25.0,98.0,318.0,8.0,3.2,1.0206,0.19,0.862,0.864,0.476,0.43,0.715,0.543
4574356,Tyler Huff,Jacksonville State,Conference USA,Balanced Dual-Threat,0,293,0.608,2543.0,14.0,227.0,1344.0,15.0,5.9,0.9784,0.3581,0.778,0.764,0.576,0.546,0.618,0.555
4911929,Alonza Barnett,James Madison,Sun Belt,Balanced Dual-Threat,0,354,0.599,2596.0,26.0,135.0,450.0,7.0,3.3,0.9976,0.2241,0.701,0.739,0.391,0.355,0.527,0.665
4596472,Jalon Daniels,Kansas,Big 12,Balanced Dual-Threat,0,300,0.57,2454.0,14.0,93.0,447.0,6.0,4.8,1.0164,0.2148,0.674,0.646,0.522,0.512,0.555,0.515
4870857,Avery Johnson,Kansas State,Big 12,Balanced Dual-Threat,0,372,0.583,2712.0,25.0,113.0,605.0,7.0,5.4,1.0437,0.2494,0.694,0.74,0.516,0.487,0.62,0.556
5083103,Davis Bryson,Kennesaw State,Conference USA,Situational Scramblers,5,261,0.548,1494.0,6.0,112.0,293.0,4.0,2.6,0.8885,0.2453,0.64,0.621,0.088,0.052,0.18,0.341
5082965,Tommy Ulatowski,Kent State,Mid-American,Situational Scramblers,5,175,0.463,1342.0,15.0,62.0,-22.0,1.0,-0.4,0.5864,0.1161,0.425,0.391,0.508,0.605,0.04,0.738
4432782,Brock Vandagriff,Kentucky,SEC,Situational Scramblers,5,218,0.573,1593.0,10.0,90.0,131.0,0.0,1.5,0.7278,0.1872,0.578,0.596,0.259,0.328,0.036,0.219
4567747,Garrett Nussmeier,LSU,SEC,Pro-Style Starters,4,524,0.641,4039.0,29.0,36.0,-39.0,3.0,-1.1,1.0385,0.075,0.738,0.823,0.482,0.467,0.778,0.585
4432803,Kaidon Salter,Liberty,Conference USA,Balanced Dual-Threat,0,261,0.563,1886.0,15.0,114.0,587.0,7.0,5.1,0.9568,0.2175,0.656,0.712,0.396,0.407,0.368,0.611
4373895,Ben Wooldridge,Louisiana,Sun Belt,Pro-Style Starters,4,291,0.66,2453.0,17.0,65.0,174.0,5.0,2.7,0.7488,0.1217,0.484,0.515,0.559,0.508,0.85,0.648
5076949,Evan Bullock,Louisiana Tech,Conference USA,Situational Pocket QBs,1,302,0.659,2107.0,14.0,63.0,-126.0,1.0,-2.0,0.7703,0.0868,0.537,0.579,0.243,0.308,-0.343,0.59
4360689,Tyler Shough,Louisville,ACC,Pro-Style Starters,4,389,0.627,3195.0,23.0,42.0,19.0,1.0,0.5,0.9654,0.0743,0.739,0.727,0.54,0.559,0.276,0.809
4600403,Braylon Braxton,Marshall,Sun Belt,Balanced Dual-Threat,0,206,0.602,1624.0,19.0,134.0,610.0,4.0,4.6,0.6867,0.2632,0.535,0.553,0.442,0.55,0.246,0.676
4592532,Billy Edwards,Maryland,Big Ten,High-Volume Dual-Threat,2,420,0.65,2881.0,15.0,81.0,150.0,5.0,1.9,0.873,0.2012,0.693,0.695,0.306,0.293,0.389,0.511
4426430,Taisun Phommachanh,Massachusetts,FBS Independents,Situational Scramblers,5,234,0.564,1590.0,8.0,107.0,317.0,3.0,3.0,0.7188,0.1897,0.569,0.535,0.363,0.34,0.428,0.428
4606194,Seth Henigan,Memphis,American Athletic,Pro-Style Starters,4,477,0.648,3502.0,25.0,80.0,190.0,1.0,2.4,1.0486,0.1479,0.804,0.792,0.449,0.465,0.31,0.628
4688380,Cameron Ward,Miami,ACC,Pro-Style Starters,4,454,0.672,4313.0,39.0,60.0,204.0,4.0,3.4,1.0,0.1014,0.809,0.75,0.722,0.69,1.108,1.039
4427243,Brett Gabbert,Miami (OH),Mid-American,High-Volume Dual-Threat,2,379,0.573,2921.0,21.0,55.0,6.0,1.0,0.1,0.9923,0.0792,0.628,0.655,0.351,0.356,0.291,0.471
4878681,Davis Warren,Michigan,Big Ten,Pure Game-Managers,3,207,0.643,1198.0,7.0,17.0,-22.0,0.0,-1.3,0.6875,0.0255,0.43,0.452,0.256,0.268,0.029,0.618
5075805,Aidan Chiles,Michigan State,Big Ten,High-Volume Dual-Threat,2,324,0.593,2415.0,13.0,96.0,234.0,3.0,2.4,0.9074,0.2105,0.683,0.727,0.38,0.404,0.269,0.452
4682518,Nick Vattiato,Middle Tennessee,Conference USA,High-Volume Dual-Threat,2,418,0.644,3092.0,16.0,86.0,77.0,1.0,0.9,1.02,0.2074,0.804,0.824,0.289,0.3,0.208,0.224
4573398,Max Brosmer,Minnesota,Big Ten,High-Volume Dual-Threat,2,403,0.665,2829.0,18.0,71.0,-37.0,5.0,-0.5,1.007,0.1553,0.686,0.726,0.388,0.392,0.36,0.499
5079620,Michael Van Buren Jr.,Mississippi State,SEC,Pure Triple-Option,6,256,0.547,1886.0,11.0,69.0,-12.0,5.0,-0.2,1.4545,0.2789,1.099,1.065,0.313,0.308,0.341,0.47
4429435,Brady Cook,Missouri,SEC,High-Volume Dual-Threat,2,320,0.625,2525.0,11.0,87.0,223.0,5.0,2.6,0.8186,0.1487,0.637,0.625,0.404,0.399,0.426,0.584
5079301,CJ Bailey,NC State,ACC,Pure Triple-Option,6,302,0.649,2412.0,17.0,99.0,279.0,5.0,2.8,1.6269,0.4679,1.348,1.32,0.491,0.529,0.355,0.705
5081504,Blake Horvath,Navy,American Athletic,Balanced Dual-Threat,0,139,0.576,1353.0,13.0,176.0,1254.0,17.0,7.1,0.8677,0.3201,0.549,0.576,0.72,0.681,0.756,0.781
5079572,Dylan Raiola,Nebraska,Big Ten,Pure Triple-Option,6,409,0.67,2806.0,13.0,50.0,-65.0,0.0,-1.3,1.9352,0.1758,1.453,1.333,0.26,0.276,0.171,0.431
4429149,Brendon Lewis,Nevada,Mountain West,Balanced Dual-Threat,0,312,0.676,2290.0,16.0,157.0,775.0,8.0,4.9,0.9082,0.3249,0.746,0.759,0.432,0.36,0.615,0.531
5105849,Devon Dampier,New Mexico,Mountain West,Balanced Dual-Threat,0,390,0.579,2768.0,12.0,156.0,1152.0,19.0,7.4,1.0272,0.3965,0.88,0.868,0.441,0.301,0.777,0.564
