Shorter,5243752,Joshua Brown,Gulf South,,,,,,,,13,7.0,0.0,0.538,1.0,76.0,5.8,8.0,13.0,0.0,28.0,3.5,,,,,,,,,,,,,,,,
Sioux Falls,5221950,Camden Dean,Northern Sun,1.0,0.0,0.0,,,,,29,17.0,1.0,0.586,0.0,189.0,6.5,16.0,28.0,1.0,65.0,4.1,,,,,,,,,,,,,,,,
South Carolina State,5166227,Eric Phoenix,MEAC,4.0,3.0,0.0,,,,,274,176.0,7.0,0.642,17.0,2457.0,9.0,81.0,40.0,3.0,259.0,3.2,,,,,,,,,,,,,,,,
South Dakota,4429179,Aidan Bouman,MVFC,2.0,1.0,0.0,,,,,312,214.0,4.0,0.686,19.0,2958.0,9.5,23.0,12.0,0.0,-57.0,-2.5,,,,,,,,,,,,,,,,
South Dakota State,4695400,Mark Gronowski,MVFC,2.0,1.0,0.0,,,,,322,194.0,7.0,0.602,21.0,2570.0,8.0,93.0,20.0,8.0,376.0,4.0,,,,,,,,,,,,,,,,
Southeast Missouri State,5083757,Paxton DeLaurent,Big South-OVC,7.0,2.0,0.0,,,,,617,367.0,15.0,0.595,33.0,4065.0,6.6,64.0,15.0,3.0,96.0,1.5,,,,,,,,,,,,,,,,
Southern,4888130,Noah Bodden,SWAC,3.0,2.0,0.0,,,,,198,94.0,7.0,0.475,5.0,1219.0,6.2,28.0,40.0,1.0,98.0,3.5,,,,,,,,,,,,,,,,
Southern Illinois,5227786,Jake Curry,MVFC,1.0,0.0,0.0,,,,,148,83.0,7.0,0.561,3.0,937.0,6.3,45.0,24.0,3.0,159.0,3.5,,,,,,,,,,,,,,,,
Southern Utah,4876330,Jackson Berry,UAC,2.0,1.0,0.0,,,,,187,117.0,2.0,0.626,9.0,1390.0,7.4,77.0,50.0,0.0,235.0,3.1,,,,,,,,,,,,,,,,
St. Anselm,4885095,Anthony Santino,Northeast 10,,,,,,,,19,12.0,0.0,0.632,0.0,69.0,3.6,6.0,3.0,0.0,-14.0,-2.3,,,,,,,,,,,,,,,,
St. Francis (PA),5088334,Nick Whitfield Jr.,NEC,3.0,2.0,0.0,,,,,119,65.0,3.0,0.546,4.0,765.0,6.4,22.0,8.0,0.0,-47.0,-2.1,,,,,,,,,,,,,,,,
St. Thomas (MN),5155316,Tak Tateoka,Pioneer,2.0,0.0,0.0,23.0,1.0,0.0,23.0,175,93.0,5.0,0.531,9.0,1155.0,6.6,61.0,29.0,2.0,83.0,1.4,,,,,,,,,,,,,,,,
Stephen F. Austin,4683311,Sam Vidlak,Southland,2.0,0.0,0.0,,,,,258,174.0,4.0,0.674,27.0,2387.0,9.3,23.0,12.0,0.0,-38.0,-1.7,,,,,,,,,,,,,,,,
Stetson,4887635,Brady Meitz,Pioneer,1.0,0.0,0.0,,,,,294,171.0,13.0,0.582,15.0,2051.0,7.0,20.0,12.0,0.0,-30.0,-1.5,,,,,,,,,,,,,,,,
Stonehill,5088166,Ashur Carraha,NEC,4.0,1.0,0.0,,,,,98,47.0,4.0,0.48,3.0,517.0,5.3,37.0,39.0,1.0,141.0,3.8,,,,,,,,,,,,,,,,
Stony Brook,4427731,Tyler Knoop,CAA,3.0,2.0,0.0,,,,,263,182.0,4.0,0.692,17.0,2021.0,7.7,63.0,24.0,0.0,172.0,2.7,,,,,,,,,,,,,,,,
Tarleton State,4697625,Victor Gabalis,UAC,1.0,0.0,0.0,,,,,299,188.0,9.0,0.629,23.0,2823.0,9.4,39.0,20.0,1.0,57.0,1.5,,,,,,,,,,,,,,,,
Tennessee State,4688717,Draylen Ellis,Big South-OVC,2.0,2.0,0.0,,,,,408,253.0,8.0,0.62,21.0,2996.0,7.3,74.0,42.0,3.0,89.0,1.2,,,,,,,,,,,,,,,,
Tennessee Tech,5153754,Jordyn Potts,Big South-OVC,6.0,2.0,0.0,,,,,170,97.0,5.0,0.571,6.0,973.0,5.7,33.0,14.0,1.0,-23.0,-0.7,,,,,,,,,,,,,,,,
Texas Southern,4877211,Jace Wilson,SWAC,1.0,0.0,1.0,,,,,140,74.0,6.0,0.529,4.0,716.0,5.1,54.0,29.0,2.0,112.0,2.1,,,,,,,,,,,,,,,,
The Citadel,4426687,Johnathan Bennett,Southern,5.0,1.0,0.0,,,,,241,124.0,8.0,0.515,9.0,1726.0,7.2,143.0,49.0,4.0,557.0,3.9,,,,,,,,,,,,,,,,
Towson,4689602,Sean Brown,CAA,9.0,3.0,0.0,,,,,219,140.0,5.0,0.639,9.0,1668.0,7.6,41.0,12.0,1.0,-33.0,-0.8,,,,,,,,,,,,,,,,
Tuskegee,4429258,Raequan Beal,SIAC,1.0,0.0,0.0,,,,,29,16.0,2.0,0.552,1.0,163.0,5.6,1.0,0.0,0.0,-6.0,-6.0,,,,,,,,,,,,,,,,
UAlbany,4714009,Myles Burkett,CAA,4.0,2.0,0.0,,,,,259,139.0,7.0,0.537,10.0,1793.0,6.9,72.0,44.0,0.0,140.0,1.9,,,,,,,,,,,,,,,,
