player,player_id,position,team_name,player_game_count,allowed_pressure_dropbacks,ce_percent,declined_penalties,franchise_id,hits_allowed,hurries_allowed,lg_percent,lt_percent,ol_te_percent,other_percent,penalties,pressures_allowed,pressures_ce,pressures_lg,pressures_lt,pressures_off,pressures_ol_te,pressures_other,pressures_rg,pressures_rt,pressures_self,pressures_te,rg_percent,rt_percent,sacks_allowed,self_percent,te_percent
Jacob Zeno,98014,QB,UAB,4,47,8.5,0,321,1,4,19.1,25.5,80.9,8.5,0,5,4,9,12,47,38,4,8,11,5,0,17.0,23.4,0,10.6,0.0
Joe Labas,144847,QB,C MICHIGAN,6,47,4.3,0,134,0,1,17.0,42.6,93.6,2.1,0,3,2,8,20,47,44,1,9,10,3,3,19.1,21.3,2,6.4,6.4
Nick Evers,158082,QB,UCONN,9,46,17.4,0,146,2,6,0.0,13.0,52.2,15.2,0,15,8,0,6,46,24,7,7,4,15,1,15.2,8.7,7,32.6,2.2
Donovan Smith,73929,QB,HOUSTON,7,46,6.5,0,182,1,6,10.9,13.0,58.7,13.0,0,15,3,5,6,46,27,6,2,12,15,2,4.3,26.1,8,32.6,4.3
Brock Glenn,170335,QB,FLORIDA ST,7,46,15.2,0,167,1,2,19.6,15.2,80.4,4.3,0,7,7,9,7,46,37,2,9,9,7,1,19.6,19.6,4,15.2,2.2
Conner Weigman,158683,QB,TEXAS A&M,6,44,20.5,0,312,0,4,18.2,15.9,79.5,6.8,0,7,9,8,7,44,35,3,5,10,7,0,11.4,22.7,3,15.9,0.0
Haynes King,124329,QB,GA TECH,11,44,15.9,0,176,0,4,20.5,20.5,77.3,9.1,0,7,7,9,9,44,34,4,4,10,7,4,9.1,22.7,3,15.9,9.1
Alan Bowman,77679,QB,OKLA STATE,11,43,4.7,0,262,1,7,14.0,30.2,74.4,2.3,0,10,2,6,13,43,32,1,3,10,10,0,7.0,23.3,2,23.3,0.0
Matthew Caldwell,150302,QB,TROY,9,42,14.3,0,318,2,3,23.8,21.4,78.6,4.8,0,7,6,10,9,42,33,2,4,9,7,0,9.5,21.4,2,16.7,0.0
Grant Wilson,143041,QB,DOMINION,3,41,17.1,0,263,1,3,19.5,26.8,80.5,2.4,0,7,7,8,11,41,33,1,2,13,7,0,4.9,31.7,3,17.1,0.0
Blake Horvath,162555,QB,NAVY,12,41,19.5,0,237,1,1,22.0,4.9,73.2,12.2,0,7,8,9,2,41,30,5,6,7,7,1,14.6,17.1,5,17.1,2.4
Blake Shapen,122282,QB,MISS STATE,4,38,15.8,0,227,0,4,13.2,21.1,76.3,7.9,0,6,6,5,8,38,29,3,7,7,6,1,18.4,18.4,2,15.8,2.6
Santino Marucci,144197,QB,NEW MEX ST,7,38,5.3,0,242,0,1,21.1,28.9,84.2,5.3,0,4,2,8,11,38,32,2,2,9,4,2,5.3,23.7,3,10.5,5.3
KJ Jefferson,99129,QB,UCF,5,38,15.8,0,323,1,5,15.8,15.8,73.7,7.9,0,7,6,6,6,38,28,3,7,5,7,1,18.4,13.2,1,18.4,2.6
Ryan Browne,174949,QB,PURDUE,8,37,8.1,0,273,0,6,18.9,16.2,70.3,13.5,0,6,3,7,6,37,26,5,4,7,6,1,10.8,18.9,0,16.2,2.7
Cade McNamara,101620,QB,IOWA,8,36,5.6,0,192,3,5,5.6,11.1,61.1,13.9,0,9,2,2,4,36,22,5,6,7,9,4,16.7,19.4,1,25.0,11.1
Kaden Anderson,127312,QB,WYOMING,9,35,8.6,0,351,1,0,17.1,42.9,94.3,2.9,0,1,3,6,15,35,33,1,5,5,1,2,14.3,14.3,0,2.9,5.7
Max Brown,157756,QB,CHARLOTTE,5,33,6.1,0,136,2,2,18.2,12.1,63.6,6.1,0,10,2,6,4,33,21,2,3,7,10,1,9.1,21.2,6,30.3,3.0
Bryson Barnes,131845,QB,UTAH ST,7,33,15.2,0,329,1,4,15.2,18.2,78.8,3.0,0,6,5,5,6,33,26,1,10,5,6,0,30.3,15.2,1,18.2,0.0
William Watson III,174771,QB,VA TECH,3,33,3.0,0,337,0,5,6.1,18.2,54.5,12.1,0,11,1,2,6,33,18,4,3,6,11,3,9.1,18.2,6,33.3,9.1
Stone Earle,123504,QB,MARSHALL,7,32,3.1,0,214,1,3,28.1,15.6,68.8,6.3,0,8,1,9,5,32,22,2,5,3,8,1,15.6,9.4,4,25.0,3.1
John Busha,173849,QB,AIR FORCE,6,31,9.7,0,101,1,0,16.1,22.6,90.3,6.5,0,1,3,5,7,31,28,2,5,13,1,1,16.1,41.9,0,3.2,3.2
Tyler Jefferson,171233,QB,C MICHIGAN,7,31,9.7,0,134,1,2,29.0,29.0,83.9,0.0,0,5,3,9,9,31,26,0,3,6,5,1,9.7,19.4,2,16.1,3.2
Forrest Brock,173260,QB,TEMPLE,3,31,32.3,0,306,0,0,16.1,29.0,90.3,9.7,0,0,10,5,9,31,28,3,4,4,0,2,12.9,12.9,0,0.0,6.5
Kasen Weisman,171910,QB,FAU,5,30,3.3,0,165,2,4,6.7,13.3,66.7,6.7,0,7,1,2,4,30,20,2,2,12,7,4,6.7,40.0,1,23.3,13.3
Tucker Kilcrease,156863,QB,TROY,6,30,10.0,0,318,0,1,13.3,30.0,76.7,10.0,0,3,3,4,9,30,23,3,1,9,3,3,3.3,30.0,2,10.0,10.0
Bryson Daily,147303,QB,ARMY,13,29,10.3,0,114,2,0,6.9,20.7,58.6,31.0,0,3,3,2,6,29,17,9,2,4,3,1,6.9,13.8,1,10.3,3.4
Jadyn Glasser,184670,QB,C MICHIGAN,4,29,0.0,0,134,1,3,17.2,44.8,65.5,10.3,0,7,0,5,13,29,19,3,2,2,7,1,6.9,6.9,3,24.1,3.4
Brendan Sullivan,145034,QB,IOWA,6,27,11.1,0,192,2,2,11.1,7.4,63.0,7.4,0,9,3,3,2,27,17,2,2,7,9,1,7.4,25.9,5,33.3,3.7
Ben Gulbranson,131734,QB,OREGON ST,4,27,29.6,0,265,0,1,11.1,3.7,85.2,7.4,0,2,8,3,1,27,23,2,9,5,2,2,33.3,18.5,1,7.4,7.4
Drew Pyne,122910,QB,MISSOURI,6,27,25.9,0,229,1,2,11.1,18.5,74.1,11.1,0,4,7,3,5,27,20,3,2,3,4,3,7.4,11.1,1,14.8,11.1
Dylan Rizk,174360,QB,UCF,6,26,11.5,0,323,1,2,15.4,19.2,65.4,19.2,0,4,3,4,5,26,17,5,0,7,4,0,0.0,26.9,1,15.4,0.0
Elijah Brown,183276,QB,STANFORD,3,24,8.3,0,300,0,1,20.8,20.8,75.0,8.3,0,4,2,5,5,24,18,2,3,5,4,0,12.5,20.8,3,16.7,0.0
MJ Morris,157404,QB,MARYLAND,6,24,16.7,0,215,0,2,12.5,20.8,70.8,4.2,0,6,4,3,5,24,17,1,1,7,6,0,4.2,29.2,4,25.0,0.0
Tony Muskett,142933,QB,VIRGINIA,7,24,8.3,0,335,0,2,20.8,25.0,87.5,0.0,0,2,2,5,6,24,21,0,9,2,2,1,37.5,8.3,0,8.3,4.2
Collin Schlee,98025,QB,VA TECH,6,24,12.5,0,337,0,5,12.5,8.3,54.2,12.5,0,7,3,3,2,24,13,3,2,5,7,3,8.3,20.8,2,29.2,12.5
Cutter Boley,184630,QB,KENTUCKY,4,23,8.7,0,202,1,1,4.3,13.0,87.0,0.0,0,3,2,1,3,23,20,0,5,9,3,1,21.7,39.1,1,13.0,4.3
Bishop Davenport,163426,QB,S ALABAMA,6,23,4.3,0,288,0,2,21.7,17.4,78.3,8.7,0,3,1,5,4,23,18,2,2,7,3,1,8.7,30.4,1,13.0,4.3
Josh Holst,171312,QB,N ILLINOIS,7,23,13.0,0,254,1,7,4.3,4.3,56.5,-4.3,0,10,3,1,1,23,13,-1,5,6,10,1,21.7,26.1,2,43.5,4.3
Nick Poulos,188474,QB,OHIO,5,23,13.0,0,259,1,0,26.1,21.7,87.0,-4.3,0,2,3,6,5,23,20,-1,1,8,2,2,4.3,34.8,1,8.7,8.7
Justin Lamson,144052,QB,STANFORD,8,23,4.3,0,300,1,0,13.0,8.7,60.9,13.0,0,8,1,3,2,23,14,3,6,4,8,1,26.1,17.4,7,34.8,4.3
Devin Kargman,156913,QB,KENT STATE,4,23,8.7,0,201,2,0,30.4,26.1,82.6,-4.3,0,4,2,7,6,23,19,-1,4,7,4,1,17.4,30.4,2,17.4,4.3
John Alan Richter,156999,QB,TOLEDO,5,22,13.6,0,316,1,1,13.6,40.9,86.4,0.0,0,3,3,3,9,22,19,0,2,7,3,0,9.1,31.8,1,13.6,0.0
Jase Bauer,145714,QB,SM HOUSTON,7,22,18.2,0,281,0,2,18.2,36.4,86.4,0.0,0,3,4,4,8,22,19,0,1,3,3,0,4.5,13.6,1,13.6,0.0
Gunner Stockton,157072,QB,GEORGIA,4,22,4.5,0,173,0,0,4.5,27.3,77.3,9.1,0,3,1,1,6,22,17,2,3,4,3,3,13.6,18.2,3,13.6,13.6
Alex Orji,158545,QB,MICHIGAN,7,22,4.5,0,222,0,6,9.1,9.1,63.6,9.1,0,6,1,2,2,22,14,2,2,5,6,2,9.1,22.7,0,27.3,9.1
Quentin Hayes,186423,QB,AIR FORCE,8,21,9.5,0,101,0,0,14.3,19.0,61.9,33.3,0,1,2,3,4,21,13,7,4,2,1,0,19.0,9.5,1,4.8,0.0
Matthew Sluka,143059,QB,UNLV,3,21,0.0,0,325,2,2,28.6,19.0,81.0,0.0,0,5,0,6,4,21,17,0,4,3,5,3,19.0,14.3,1,23.8,14.3
Jack Tuttle,83580,QB,MICHIGAN,2,21,14.3,0,222,0,2,9.5,42.9,90.5,0.0,0,2,3,2,9,21,19,0,2,2,2,3,9.5,9.5,0,9.5,14.3
Goose Crowder,144781,QB,TROY,4,21,9.5,0,318,0,0,33.3,23.8,85.7,4.8,0,2,2,7,5,21,18,1,3,5,2,0,14.3,23.8,2,9.5,0.0
JP Pickles,183996,QB,UTEP,3,20,10.0,0,330,0,1,20.0,20.0,95.0,0.0,0,1,2,4,4,20,19,0,2,8,1,0,10.0,40.0,0,5.0,0.0
AJ Hairston,184157,QB,UMASS,4,20,5.0,0,216,0,2,25.0,10.0,80.0,-5.0,0,4,1,5,2,20,16,-1,3,6,4,1,15.0,30.0,2,20.0,5.0
Tyriq Starks,156514,QB,FAU,4,20,0.0,0,165,0,0,15.0,40.0,90.0,5.0,0,1,0,3,8,20,18,1,3,5,1,2,15.0,25.0,1,5.0,10.0
Grayson McCall,98002,QB,NC STATE,4,19,0.0,0,248,2,2,21.1,21.1,52.6,26.3,0,5,0,4,4,19,10,5,3,3,5,0,15.8,15.8,1,26.3,0.0
Cade McConnell,73935,QB,UTEP,4,18,33.3,0,330,0,1,16.7,27.8,88.9,5.6,0,2,6,3,5,18,16,1,1,5,2,0,5.6,27.8,1,11.1,0.0
Ruel Tomlinson,188241,QB,KENT STATE,4,18,11.1,0,201,0,2,5.6,11.1,61.1,16.7,0,5,2,1,2,18,11,3,3,4,5,1,16.7,22.2,3,27.8,5.6
Graham Mertz,97994,QB,FLORIDA,5,18,5.6,0,163,0,1,16.7,16.7,88.9,5.6,0,1,1,3,3,18,16,1,3,5,1,2,16.7,27.8,0,5.6,11.1
Jacurri Brown,156344,QB,UCF,6,18,16.7,0,323,0,3,11.1,0.0,55.6,22.2,0,4,3,2,0,18,10,4,2,3,4,1,11.1,16.7,1,22.2,5.6
Chandler Fields,97286,QB,LA LAFAYET,7,18,5.6,0,207,0,3,11.1,22.2,61.1,5.6,0,6,1,2,4,18,11,1,2,2,6,1,11.1,11.1,3,33.3,5.6
Drew Mestemaker,190616,QB,N TEXAS,4,17,5.9,0,251,1,1,5.9,41.2,76.5,5.9,0,3,1,1,7,17,13,1,2,3,3,1,11.8,17.6,1,17.6,5.9
Cameron Rising,77663,QB,UTAH,3,17,5.9,0,328,0,1,29.4,23.5,88.2,0.0,0,2,1,5,4,17,15,0,4,4,2,0,23.5,23.5,1,11.8,0.0
Preston Stone,124716,QB,SMU,6,17,23.5,0,287,0,1,0.0,11.8,82.4,17.6,0,1,4,0,2,17,14,3,3,6,1,0,17.6,35.3,0,5.9,0.0
Javance Tupou'ata-Johnson,175766,QB,S DIEGO ST,3,17,5.9,0,284,1,2,5.9,23.5,70.6,5.9,0,6,1,1,4,17,12,1,4,2,6,1,23.5,11.8,3,35.3,5.9
Arch Manning,173162,QB,TEXAS,7,17,5.9,0,311,2,1,5.9,0.0,47.1,5.9,0,9,1,1,0,17,8,1,2,4,9,1,11.8,23.5,6,52.9,5.9
Zach Pyron,156309,QB,GA TECH,5,16,18.8,0,176,0,3,25.0,12.5,75.0,0.0,0,4,3,4,2,16,12,0,1,2,4,0,6.3,12.5,1,25.0,0.0
Henry Belin IV,162693,QB,DUKE,2,16,6.3,0,154,0,0,6.3,37.5,100.0,-12.5,0,0,1,1,6,16,16,-2,1,4,0,6,6.3,25.0,0,0.0,37.5
Quinn Henicle,190064,QB,DOMINION,3,16,18.8,0,263,0,1,6.3,25.0,87.5,6.3,0,1,3,1,4,16,14,1,3,4,1,0,18.8,25.0,0,6.3,0.0
Dequan Finn,97804,QB,BAYLOR,2,16,12.5,0,118,0,5,12.5,25.0,50.0,12.5,0,6,2,2,4,16,8,2,0,0,6,0,0.0,0.0,1,37.5,0.0
Tyler Van Dyke,122225,QB,WISCONSIN,3,15,13.3,0,349,0,1,13.3,13.3,66.7,13.3,0,4,2,2,2,15,10,2,1,3,4,0,6.7,20.0,3,26.7,0.0
Justyn Martin,162461,QB,UCLA,3,15,33.3,0,324,1,1,13.3,26.7,80.0,6.7,0,2,5,2,4,15,12,1,2,0,2,1,13.3,0.0,0,13.3,6.7
Robby Ashford,131702,QB,S CAROLINA,6,15,20.0,0,289,0,0,26.7,26.7,93.3,6.7,0,0,3,4,4,15,14,1,2,5,0,1,13.3,33.3,0,0.0,6.7
Gavin Wimsatt,155757,QB,KENTUCKY,5,15,6.7,0,202,0,1,13.3,20.0,80.0,6.7,0,2,1,2,3,15,12,1,1,4,2,2,6.7,26.7,1,13.3,13.3
T.J. Finley,124093,QB,W KENTUCKY,3,15,6.7,0,346,0,0,0.0,40.0,93.3,6.7,0,0,1,0,6,15,14,1,4,5,0,0,26.7,33.3,0,0.0,0.0
Michael Kern,97799,QB,WAKE,5,14,0.0,0,339,0,0,14.3,7.1,64.3,21.4,0,2,0,2,1,14,9,3,3,0,2,3,21.4,0.0,2,14.3,21.4
Eddie Lee Marburger,145511,QB,UTSA,6,14,0.0,0,331,1,0,0.0,28.6,71.4,14.3,0,2,0,0,4,14,10,2,1,6,2,0,7.1,42.9,1,14.3,0.0
General Booty,71008,QB,LA MONROE,5,14,0.0,0,209,0,1,14.3,7.1,78.6,14.3,0,1,0,2,1,14,11,2,3,3,1,2,21.4,21.4,0,7.1,14.3
Nicco Marchiol,157363,QB,W VIRGINIA,7,14,0.0,0,343,0,2,7.1,14.3,64.3,7.1,0,4,0,1,2,14,9,1,5,1,4,1,35.7,7.1,2,28.6,7.1
Aaron Philo,183222,QB,GA TECH,4,14,28.6,0,176,0,1,14.3,14.3,85.7,7.1,0,1,4,2,2,14,12,1,1,3,1,0,7.1,21.4,0,7.1,0.0
Maealiuaki Smith,183921,QB,OKLA STATE,4,13,7.7,0,262,0,1,7.7,15.4,61.5,23.1,0,2,1,1,2,13,8,3,1,2,2,1,7.7,15.4,1,15.4,7.7
Timmy McClain,144488,QB,ARK STATE,4,13,7.7,0,113,0,1,7.7,46.2,84.6,0.0,0,2,1,1,6,13,11,0,0,3,2,0,0.0,23.1,1,15.4,0.0
Mike Wright,124366,QB,NWESTERN,3,13,7.7,0,256,3,3,15.4,7.7,53.8,0.0,0,6,1,2,1,13,7,0,1,2,6,0,7.7,15.4,0,46.2,0.0
Micah Alejado,184162,QB,HAWAII,3,13,15.4,0,180,2,3,15.4,7.7,53.8,0.0,0,6,2,2,1,13,7,0,2,0,6,0,15.4,0.0,1,46.2,0.0
Aidan Warner,177520,QB,FLORIDA,4,12,8.3,0,163,1,0,16.7,8.3,75.0,16.7,0,2,1,2,1,12,9,2,1,2,2,2,8.3,16.7,1,16.7,16.7
Blake Baker,170448,QB,LA TECH,2,12,8.3,0,208,0,2,0.0,16.7,66.7,8.3,0,3,1,0,2,12,8,1,1,3,3,1,8.3,25.0,1,25.0,8.3
Gabarri Johnson,175905,QB,OREGON ST,6,12,16.7,0,265,0,0,16.7,25.0,91.7,0.0,0,1,2,2,3,12,11,0,3,2,1,0,25.0,16.7,1,8.3,0.0
Drew Devillier,190639,QB,RICE,3,12,33.3,0,275,0,1,16.7,8.3,75.0,16.7,0,1,4,2,1,12,9,2,3,2,1,0,25.0,16.7,0,8.3,0.0
Noah Kim,129623,QB,COAST CAR,7,11,9.1,0,141,0,0,45.5,36.4,100.0,0.0,0,0,1,5,4,11,11,0,3,3,0,0,27.3,27.3,0,0.0,0.0
Jack Turner,162969,QB,LA TECH,6,11,18.2,0,208,0,1,9.1,18.2,81.8,0.0,0,2,2,1,2,11,9,0,2,2,2,1,18.2,18.2,1,18.2,9.1
Ryan Burger,157544,QB,LIBERTY,5,11,9.1,0,206,0,1,18.2,9.1,63.6,27.3,0,1,1,2,1,11,7,3,1,3,1,0,9.1,27.3,0,9.1,0.0
Tommy Schuster,108954,QB,MICH STATE,4,11,9.1,0,223,0,0,18.2,18.2,100.0,-9.1,0,1,1,2,2,11,11,-1,3,5,1,1,27.3,45.5,1,9.1,9.1
Steve Angeli,156966,QB,NOTRE DAME,8,11,0.0,0,258,0,0,9.1,18.2,54.5,18.2,0,3,0,1,2,11,6,2,0,4,3,0,0.0,36.4,3,27.3,0.0
Tad Hudson,170107,QB,COAST CAR,1,10,30.0,0,141,0,0,0.0,10.0,70.0,20.0,0,1,3,0,1,10,7,2,1,3,1,0,10.0,30.0,1,10.0,0.0
EJ Colson,190335,QB,UCF,2,10,10.0,0,323,0,1,0.0,20.0,50.0,20.0,0,3,1,0,2,10,5,2,2,1,3,0,20.0,10.0,2,30.0,0.0
Jackson Stratton,157206,QB,IOWA,3,10,20.0,0,192,1,1,20.0,10.0,60.0,10.0,0,3,2,2,1,10,6,1,2,1,3,0,20.0,10.0,1,30.0,0.0
Brandon Nunez,183978,QB,NEW MEX ST,5,10,0.0,0,242,1,0,30.0,10.0,70.0,10.0,0,2,0,3,1,10,7,1,0,2,2,2,0.0,20.0,1,20.0,20.0
Will Hammond,184898,QB,TEXAS TECH,4,10,10.0,0,315,0,1,10.0,30.0,70.0,0.0,0,4,1,1,3,10,7,0,1,1,4,0,10.0,10.0,3,40.0,0.0
Malachi Singleton,172426,QB,ARKANSAS,4,10,20.0,0,111,0,1,20.0,20.0,90.0,0.0,0,3,2,2,2,10,9,0,0,4,3,0,0.0,40.0,2,30.0,0.0
Jeff Sims,122496,QB,ARIZONA ST,2,10,10.0,0,110,0,1,0.0,30.0,90.0,0.0,0,1,1,0,3,10,9,0,1,3,1,1,10.0,30.0,0,10.0,10.0
Conner Harrell,156352,QB,N CAROLINA,4,9,11.1,0,245,1,2,33.3,11.1,66.7,0.0,0,3,1,3,1,9,6,0,0,1,3,1,0.0,11.1,0,33.3,11.1
Khalib Johnson,156331,QB,KENNESAW,3,9,0.0,0,200,0,0,0.0,33.3,77.8,11.1,0,1,0,0,3,9,7,1,1,2,1,1,11.1,22.2,1,11.1,11.1
Julian Dugger,183269,QB,PITTSBURGH,1,9,0.0,0,268,0,1,11.1,22.2,66.7,11.1,0,2,0,1,2,9,6,1,1,2,2,0,11.1,22.2,1,22.2,0.0
Josh Johnson,186429,QB,AIR FORCE,5,9,11.1,0,101,0,0,11.1,22.2,77.8,11.1,0,1,1,1,2,9,7,1,2,2,1,0,22.2,22.2,1,11.1,0.0
Ty Thompson,146568,QB,TULANE,6,9,0.0,0,319,0,2,0.0,0.0,44.4,22.2,0,3,0,0,0,9,4,2,0,4,3,0,0.0,44.4,1,33.3,0.0
Henry Hesson,145798,QB,MIAMI OH,5,9,11.1,0,221,1,0,0.0,22.2,77.8,0.0,0,2,1,0,2,9,7,0,2,2,2,0,22.2,22.2,1,22.2,0.0
David Lynch,170120,QB,PITTSBURGH,3,8,0.0,0,268,0,0,0.0,25.0,87.5,0.0,0,1,0,0,2,8,7,0,2,2,1,1,25.0,25.0,1,12.5,12.5
Daniel Beale,197861,QB,LA LAFAYET,3,8,0.0,0,207,0,2,0.0,12.5,62.5,12.5,0,2,0,0,1,8,5,1,1,3,2,0,12.5,37.5,0,25.0,0.0
Garret Rangel,157795,QB,OKLA STATE,4,8,25.0,0,262,0,1,25.0,0.0,62.5,25.0,0,1,2,2,0,8,5,2,0,3,1,0,0.0,37.5,0,12.5,0.0
Trexler Ivey,122184,QB,CHARLOTTE,4,8,0.0,0,136,0,0,25.0,37.5,100.0,0.0,0,0,0,2,3,8,8,0,3,1,0,1,37.5,12.5,0,0.0,12.5
Michael Merdinger,183334,QB,N CAROLINA,1,8,0.0,0,245,1,0,12.5,37.5,62.5,0.0,0,3,0,1,3,8,5,0,0,1,3,0,0.0,12.5,2,37.5,0.0
Beau Pribula,164182,QB,PENN STATE,7,8,12.5,0,266,0,0,25.0,12.5,87.5,12.5,0,0,1,2,1,8,7,1,2,3,0,0,25.0,37.5,0,0.0,0.0
Luke Bottari,73931,QB,UTAH,3,8,12.5,0,328,1,0,12.5,12.5,75.0,-12.5,0,2,1,1,1,8,6,-1,2,1,2,1,25.0,12.5,1,25.0,12.5
Chayden Peery,143925,QB,FIU,1,7,14.3,0,166,0,1,0.0,28.6,85.7,-14.3,0,1,1,0,2,7,6,-1,0,2,1,2,0.0,28.6,0,14.3,28.6
Deuce Hogan,129470,QB,NEW MEX ST,2,7,0.0,0,242,0,0,14.3,28.6,85.7,14.3,0,0,0,1,2,7,6,1,1,2,0,0,14.3,28.6,0,0.0,0.0
Hank Brown,172439,QB,AUBURN,3,7,0.0,0,115,0,0,42.9,42.9,100.0,0.0,0,0,0,3,3,7,7,0,0,0,0,2,0.0,0.0,0,0.0,28.6
Ty Simpson,157008,QB,ALABAMA,4,7,14.3,0,103,0,1,0.0,14.3,85.7,0.0,0,1,1,0,1,7,6,0,3,3,1,0,42.9,42.9,0,14.3,0.0
Tahj Bullock,144070,QB,AKRON,9,7,0.0,0,102,0,0,28.6,42.9,100.0,0.0,0,0,0,2,3,7,7,0,2,2,0,0,28.6,28.6,0,0.0,0.0
Tayven Jackson,157615,QB,INDIANA,4,7,28.6,0,190,0,1,14.3,14.3,57.1,28.6,0,1,2,1,1,7,4,2,0,0,1,1,0.0,0.0,0,14.3,14.3
Dewayne Coleman,163179,QB,ARMY,6,7,14.3,0,114,0,0,14.3,14.3,57.1,14.3,0,2,1,1,1,7,4,1,0,0,2,1,0.0,0.0,2,28.6,14.3
Chubba Purdy,122412,QB,NEVADA,4,7,0.0,0,239,0,1,28.6,0.0,71.4,0.0,0,2,0,2,0,7,5,0,1,2,2,1,14.3,28.6,1,28.6,14.3
Chandler Rogers,98683,QB,CAL,4,7,0.0,0,130,0,0,28.6,71.4,85.7,14.3,0,0,0,2,5,7,6,1,0,0,0,0,0.0,0.0,0,0.0,0.0
Zevi Eckhaus,148535,QB,WASH STATE,2,7,0.0,0,341,2,1,28.6,0.0,42.9,0.0,0,4,0,2,0,7,3,0,0,1,4,0,0.0,14.3,1,57.1,0.0
AJ Bianco,158232,QB,NEVADA,3,7,0.0,0,239,1,2,0.0,0.0,57.1,0.0,0,3,0,0,0,7,4,0,2,3,3,0,28.6,42.9,0,42.9,0.0
John White,184784,QB,SO MISS,3,7,14.3,0,296,0,0,0.0,57.1,100.0,-14.3,0,0,1,0,4,7,7,-1,1,2,0,1,14.3,28.6,0,0.0,14.3
Israel Carter,175310,QB,USF,3,6,0.0,0,327,0,2,0.0,0.0,66.7,0.0,0,2,0,0,0,6,4,0,3,1,2,0,50.0,16.7,0,33.3,0.0
Joshua Wood,163421,QB,FRESNO ST,6,6,0.0,0,169,0,1,16.7,16.7,83.3,0.0,0,1,0,1,1,6,5,0,2,1,1,1,33.3,16.7,0,16.7,16.7
Dexter Williams II,129457,QB,GA SOUTHRN,4,6,0.0,0,174,0,1,33.3,50.0,100.0,0.0,0,1,0,2,3,6,6,0,1,1,1,0,16.7,16.7,0,16.7,0.0
Christopher Vizzina,170032,QB,CLEMSON,6,6,16.7,0,140,0,0,16.7,16.7,83.3,0.0,0,1,1,1,1,6,5,0,1,1,1,1,16.7,16.7,1,16.7,16.7
Cardell Williams,156190,QB,TULSA,5,6,0.0,0,320,0,0,16.7,33.3,100.0,-16.7,0,0,0,1,2,6,6,-1,2,2,0,1,33.3,33.3,0,0.0,16.7
Brad Jackson,184354,QB,TEXAS ST,2,5,0.0,0,314,0,2,0.0,0.0,40.0,20.0,0,2,0,0,0,5,2,1,1,1,2,0,20.0,20.0,0,40.0,0.0
RJ Martinez,147690,QB,TEXAS ST,2,5,0.0,0,314,0,0,40.0,60.0,100.0,0.0,0,0,0,2,3,5,5,0,0,1,0,0,0.0,20.0,0,0.0,0.0
CJ Harris,130594,QB,CAL,2,5,20.0,0,130,0,0,20.0,40.0,100.0,0.0,0,0,1,1,2,5,5,0,1,1,0,0,20.0,20.0,0,0.0,0.0
Logan Smothers,129713,QB,JVILLE ST,2,5,20.0,0,196,0,1,0.0,0.0,80.0,0.0,0,1,1,0,0,5,4,0,2,1,1,0,40.0,20.0,0,20.0,0.0
Amari Jones,156543,QB,FIU,3,5,0.0,0,166,0,0,0.0,40.0,100.0,0.0,0,0,0,0,2,5,5,0,1,2,0,0,20.0,40.0,0,0.0,0.0
Jeremiah Salem,157478,QB,E MICHIGAN,3,5,20.0,0,160,0,0,40.0,40.0,100.0,0.0,0,1,1,2,2,5,5,0,1,1,1,0,20.0,20.0,1,20.0,0.0
Max Johnson,124099,QB,N CAROLINA,1,5,0.0,0,245,0,0,20.0,60.0,100.0,0.0,0,0,0,1,3,5,5,0,1,1,0,0,20.0,20.0,0,0.0,0.0
Gaston Moore,123756,QB,TENNESSEE,5,5,0.0,0,307,0,1,40.0,0.0,80.0,0.0,0,1,0,2,0,5,4,0,1,2,1,0,20.0,40.0,0,20.0,0.0
Brandon Rose,158503,QB,UTAH,2,5,20.0,0,328,1,0,20.0,0.0,60.0,20.0,0,1,1,1,0,5,3,1,0,1,1,0,0.0,20.0,0,20.0,0.0
Lucian Anderson III,173364,QB,BOWL GREEN,4,5,40.0,0,122,0,0,40.0,20.0,100.0,0.0,0,0,2,2,1,5,5,0,1,1,0,0,20.0,20.0,0,0.0,0.0
Jake Merklinger,184888,QB,TENNESSEE,2,5,0.0,0,307,0,1,20.0,60.0,60.0,0.0,0,2,0,1,3,5,3,0,1,0,2,0,20.0,0.0,1,40.0,0.0
Heinrich Haarberg,144993,QB,NEBRASKA,5,4,25.0,0,238,0,0,25.0,0.0,100.0,0.0,0,1,1,1,0,4,4,0,2,0,1,0,50.0,0.0,1,25.0,0.0
Ryan Boe,190878,QB,NWESTERN,1,4,25.0,0,256,0,0,25.0,0.0,100.0,0.0,0,1,1,1,0,4,4,0,1,1,1,0,25.0,25.0,1,25.0,0.0
Billy Atkins,148354,QB,JAMES MAD,2,4,0.0,0,197,0,0,25.0,25.0,75.0,25.0,0,0,0,1,1,4,3,1,0,1,0,0,0.0,25.0,0,0.0,0.0
Michael Johnson Jr.,97796,QB,SYRACUSE,1,4,0.0,0,304,0,0,25.0,50.0,100.0,0.0,0,1,0,1,2,4,4,0,0,1,1,0,0.0,25.0,1,25.0,0.0
Jayden Mandal,173516,QB,FRESNO ST,3,4,0.0,0,169,0,1,0.0,0.0,75.0,0.0,0,1,0,0,0,4,3,0,1,2,1,0,25.0,50.0,0,25.0,0.0
