player,player_id,position,team_name,player_game_count,attempts,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,declined_penalties,designed_yards,drops,elu_recv_mtf,elu_rush_mtf,elu_yco,elusive_rating,explosive,first_downs,franchise_id,fumbles,gap_attempts,grades_hands_fumble,grades_offense,grades_offense_penalty,grades_pass,grades_pass_block,grades_pass_route,grades_run,grades_run_block,longest,penalties,rec_yards,receptions,routes,run_plays,scramble_yards,scrambles,targets,total_touches,touchdowns,yards,yards_after_contact,yco_attempt,ypa,yprr,zone_attempts
Avery Johnson,173108,QB,KANSAS ST,13,111,22,11,35.5,248,0,516,0,0,13,177,29.7,31,42,199,2,51,71.9,81.1,72.5,72.9,,,80.7,60.0,33,4,0,0,0,398,183,23,0,88,7,699,265,2.39,6.3,,22
Alonza Barnett III,156710,QB,JAMES MAD,12,110,24,8,35.2,235,1,450,0,0,14,233,52.3,21,38,197,12,39,42.8,68.6,80.9,65.4,,55.9,65.4,60.4,50,4,0,0,1,380,217,31,0,79,7,667,397,3.61,6.1,0.0,24
Ethan Vasko,163817,QB,COAST CAR,12,110,13,5,22.1,101,0,355,0,0,10,211,22.4,15,38,141,7,33,78.1,84.2,78.9,78.2,62.2,51.6,76.3,60.0,29,3,0,0,2,371,101,13,1,97,5,456,268,2.44,4.1,0.0,37
Cole Snyder,97617,QB,E MICHIGAN,12,109,8,4,17.2,88,0,370,0,0,4,122,8.0,16,37,160,6,19,56.6,72.9,82.2,73.2,62.2,52.7,60.4,60.1,29,3,0,0,2,385,143,31,0,78,4,513,208,1.91,4.7,0.0,34
Marcel Reed,175940,QB,TEXAS A&M,11,108,17,5,14.1,88,1,309,0,0,11,151,39.3,22,30,312,6,36,53.6,68.3,66.9,64.6,,,67.1,60.1,31,5,4,0,0,315,313,43,0,65,7,622,283,2.62,5.8,,15
Sam Leavitt,175465,QB,ARIZONA ST,13,107,34,4,15.9,80,0,73,0,0,12,122,46.7,21,38,110,0,12,82.6,88.5,74.5,82.2,,57.5,80.1,60.5,40,9,0,0,2,440,429,51,0,56,5,502,311,2.91,4.7,0.0,17
Davis Bryson,160369,QB,KENNESAW,11,106,13,5,22.0,86,0,336,0,0,11,152,18.5,16,22,200,8,58,59.0,57.4,78.7,51.7,,56.7,65.7,60.0,20,4,0,0,1,370,55,11,0,95,4,391,186,1.75,3.7,0.0,9
Kaidon Salter,132046,QB,LIBERTY,11,103,25,8,29.2,201,0,394,0,0,15,215,62.2,25,42,206,13,21,38.1,82.0,71.2,75.7,,,76.4,60.0,41,3,0,0,0,429,294,31,0,72,7,688,394,3.83,6.7,,26
Zeon Chriss,156733,QB,HOUSTON,11,101,33,5,32.6,170,0,396,0,1,21,241,80.8,13,26,182,10,42,25.9,60.8,70.7,53.4,,75.6,65.1,60.1,71,1,29,2,3,224,125,21,3,82,4,521,365,3.61,5.2,9.67,22
Colton Joseph,172283,QB,DOMINION,9,100,19,10,35.2,253,0,460,0,0,12,273,61.5,29,39,263,10,14,25.3,67.8,75.2,54.6,,,79.9,60.1,39,1,0,0,0,249,259,27,0,73,11,719,414,4.14,7.2,,43
Jaxson Dart,146409,QB,OLE MISS,13,100,22,4,13.1,85,0,264,0,0,8,139,36.8,28,33,226,3,29,73.3,92.5,65.9,91.9,,56.7,75.3,60.5,35,7,0,0,1,382,384,45,0,55,3,648,312,3.12,6.5,0.0,10
Cade Klubnik,156253,QB,CLEMSON,14,99,15,2,17.9,105,1,346,0,0,6,115,13.3,19,33,140,9,26,52.2,89.3,89.8,87.7,62.2,51.6,67.4,60.1,55,2,0,0,2,356,242,27,0,72,7,588,290,2.93,5.9,0.0,13
Brayden Schager,146078,QB,HAWAII,11,96,17,4,19.8,104,1,228,0,0,7,194,70.1,18,39,180,4,11,65.6,74.9,60.9,69.7,,,75.3,60.0,46,5,0,0,0,195,296,52,0,44,6,524,357,3.72,5.5,,4
JC French,162521,QB,GA SOUTHRN,13,96,8,0,0.0,0,0,158,0,0,0,82,0.0,13,35,174,11,22,26.2,69.0,89.6,67.7,86.8,44.8,62.5,60.1,19,2,0,0,2,344,221,42,0,54,2,379,215,2.24,3.9,0.0,9
Caden Veltkamp,156642,QB,W KENTUCKY,13,96,1,2,14.0,38,0,156,0,0,0,70,0.0,8,31,346,15,35,45.6,78.9,89.3,79.0,,37.8,62.3,60.1,21,0,0,0,5,346,116,20,0,76,7,272,99,1.03,2.8,0.0,4
Will Howard,122599,QB,OHIO STATE,16,96,9,1,5.5,18,0,229,0,0,6,106,9.6,13,35,260,8,32,50.6,86.4,89.7,85.7,62.2,,64.3,60.0,19,1,0,1,0,432,99,15,1,82,7,328,146,1.52,3.4,,18
Jalon Daniels,122555,QB,KANSAS,12,95,27,3,17.6,86,0,303,0,0,20,169,63.4,19,28,198,8,16,58.7,77.6,70.5,72.6,,,73.6,60.6,33,4,0,0,0,403,187,22,0,73,6,490,280,2.95,5.2,,27
Anthony Colandrea,170131,QB,VIRGINIA,11,94,23,4,17.1,88,0,228,0,0,12,89,29.2,21,23,335,6,20,52.9,64.2,79.2,58.5,,74.0,69.2,60.0,35,1,27,1,4,287,286,34,1,61,2,514,199,2.12,5.5,6.75,13
Brendan Sorsby,156398,QB,CINCINNATI,12,93,15,5,25.9,135,0,330,0,0,9,163,37.0,18,38,138,4,23,64.0,76.3,81.3,72.4,,55.9,70.8,60.0,41,1,0,0,1,356,192,30,0,63,9,522,278,2.99,5.6,0.0,13
Evan Svoboda,157664,QB,WYOMING,12,92,4,5,38.1,151,0,349,0,0,4,159,9.2,11,32,351,11,51,32.1,54.8,76.5,50.1,,55.1,64.8,60.3,51,1,0,0,3,294,47,9,0,83,5,396,167,1.82,4.3,0.0,17
Jake Retzlaff,70874,QB,BYU,13,91,13,2,6.5,33,0,264,0,0,7,153,21.9,21,29,128,8,39,37.5,74.7,81.7,72.0,,37.9,68.5,60.2,29,1,0,0,6,400,247,21,0,70,6,511,311,3.42,5.6,0.0,14
Rocco Becht,157567,QB,IOWA STATE,14,89,7,2,12.1,47,0,120,0,0,0,71,0.0,13,42,193,4,15,72.5,76.7,76.4,69.7,,54.8,80.8,60.1,32,3,0,0,3,432,268,35,0,54,8,388,186,2.09,4.4,0.0,11
Tucker Gleason,122475,QB,TOLEDO,12,88,14,6,33.0,148,0,315,0,0,10,145,30.5,16,26,316,14,29,37.3,70.2,89.1,66.8,,,67.2,60.0,35,1,0,0,0,339,133,19,0,69,7,448,227,2.58,5.1,,18
Kyron Drones,144506,QB,VA TECH,9,87,19,1,12.6,53,0,274,0,0,14,218,58.9,13,31,337,6,30,51.0,79.6,86.7,73.2,,78.4,73.4,60.2,53,1,-2,2,3,264,145,16,2,73,6,419,307,3.53,4.8,-0.67,23
