player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Jack Lausch,162845,QB,NWESTERN,10,3.01,129,69.0,74.8,5.9,3,2.2,2,1.4,1,4,5.7,2.02,20,15.0,2.3,91.4,167,41.9,55.9,5.7,7,4.0,12,5.5,7,3,12.3,3.65,109,17.4,9.0,49.1
Walker Eget,146170,QB,S JOSE ST,11,2.49,198,62.6,69.5,6.2,3,1.4,4,1.9,5,7,8.7,1.93,16,6.3,0.5,81.3,131,48.1,59.6,9.7,15,10.3,4,2.5,5,6,18.6,3.24,63,4.8,2.1,81.9
Will Rogers,124184,QB,WASHINGTON,11,2.48,186,78.5,83.3,8.0,3,1.6,5,2.5,4,7,5.6,1.86,29,20.7,3.1,103.6,128,57.8,67.9,7.6,10,7.6,9,5.9,3,7,12.2,3.3,75,13.3,6.8,90.3
Jake Stearney,171991,QB,COLGATE,11,2.49,216,68.5,75.7,5.2,2,0.9,9,4.1,9,5,5.5,1.86,29,3.4,0.5,71.2,97,56.7,70.7,7.7,6,5.9,3,2.3,4,6,10.6,3.62,50,20.0,8.1,84.9
Tyler Huff,142567,QB,JVILLE ST,14,2.51,206,68.4,74.6,9.0,4,1.8,5,2.2,5,9,7.3,1.82,36,19.4,3.3,101.0,86,41.9,50.6,7.8,8,8.0,7,4.9,2,5,19.2,3.72,64,21.9,11.2,79.0
Victor Gabalis,131932,QB,TARLETON,12,2.44,186,71.5,77.6,9.1,10,5.2,8,4.1,6,13,8.6,1.85,14,7.1,0.5,109.3,121,48.8,64.6,9.9,17,13.0,7,4.3,5,10,19.1,3.17,31,35.5,7.3,94.3
Ty Pennington,185022,QB,N ARIZONA,12,2.91,146,77.4,83.8,7.4,5,3.3,2,1.3,1,5,4.3,1.9,17,23.5,2.7,105.8,138,52.2,63.9,8.8,15,10.1,9,4.5,1,8,13.8,3.72,97,23.7,12.2,98.5
Darian Mensah,169984,QB,TULANE,13,3.24,86,81.4,86.9,7.9,4,4.4,1,1.1,1,6,3.3,1.83,11,9.1,1.1,117.8,201,59.2,70.7,10.2,13,6.0,15,5.7,5,16,14.9,3.72,97,17.5,6.8,110.0
Collin Hurst,177732,QB,PRESBYTERN,12,2.56,182,73.6,80.7,7.9,9,4.6,5,2.5,3,11,4.8,1.83,21,14.3,1.6,109.8,99,52.5,61.5,9.0,7,6.8,7,4.5,1,6,15.0,3.5,57,33.3,12.7,99.2
Hajj-Malik Williams,102348,QB,UNLV,12,2.92,169,69.2,74.4,8.1,4,2.3,6,3.3,2,15,7.0,1.81,19,36.8,4.0,118.0,84,39.3,48.1,6.9,11,11.8,7,4.1,3,4,20.0,4.15,83,24.1,12.6,64.5
Blaine Hipa,167662,QB,PRINCETON,9,3.04,121,65.3,73.0,5.0,2,1.5,3,2.2,3,4,5.5,1.72,10,40.0,3.2,78.1,144,46.5,54.1,7.3,13,8.5,22,10.0,12,6,16.5,3.82,99,33.3,15.7,50.6
Jarrett Guest,97997,QB,BRYANT,9,2.78,178,62.4,71.8,5.7,7,3.9,6,3.3,4,7,6.8,1.92,19,5.3,0.6,81.5,119,58.0,67.0,7.9,11,8.8,1,0.6,1,7,12.7,3.83,68,19.1,8.5,99.5
Jalon Daniels,122555,QB,KANSAS,12,3.08,132,71.2,77.2,7.3,2,1.5,2,1.5,3,8,6.0,1.8,14,0.0,0.0,102.4,169,45.6,56.6,8.8,20,11.5,13,6.2,9,6,17.8,3.95,75,12.0,4.5,66.6
Aidan Bouman,122508,QB,S DAKOTA,14,2.58,144,73.6,80.7,7.1,8,5.4,3,2.0,1,6,5.9,1.92,29,13.8,2.7,103.9,168,64.3,72.5,11.4,16,8.6,4,2.0,3,13,13.0,3.13,66,15.2,5.4,121.6
Hunter Watson,183993,QB,SM HOUSTON,12,2.6,183,74.3,76.8,7.0,4,2.1,2,1.0,4,10,5.7,1.81,20,25.0,2.7,102.3,99,39.4,47.0,5.3,4,3.8,11,7.2,4,2,13.8,3.63,76,27.6,14.6,46.9
Jake Cady,167521,QB,WAGNER,11,2.74,176,60.2,70.4,5.3,4,2.2,6,3.2,4,9,6.5,1.84,17,11.8,1.1,81.9,106,44.3,64.2,8.2,13,11.0,6,3.6,4,8,17.4,3.78,85,17.6,9.7,82.7
Darius Wilson,148492,QB,WM & MARY,12,3.32,114,71.9,80.9,6.9,1,0.8,3,2.5,5,4,4.1,1.83,14,0.0,0.0,84.1,134,53.7,65.6,8.8,8,5.4,4,1.7,3,8,12.4,4.11,112,17.0,8.8,94.0
Ashton Daniels,157259,QB,STANFORD,11,3.16,143,74.8,82.1,6.0,4,2.7,4,2.7,5,6,5.1,1.87,24,4.2,0.7,89.0,128,49.2,61.3,6.5,5,3.5,12,5.8,7,4,14.7,4.15,108,17.6,10.2,58.0
Bryce Archie,156667,QB,USF,12,2.87,123,76.4,86.0,6.9,0,0.0,0,0.0,2,4,2.3,1.79,14,28.6,3.1,98.5,168,46.4,56.9,6.4,11,6.0,14,6.4,8,5,14.7,3.57,95,17.9,8.4,57.4
Ben Wooldridge,82115,QB,LA LAFAYET,11,2.6,165,69.1,81.9,5.8,2,1.1,4,2.2,5,7,5.5,1.81,24,16.7,2.4,85.5,127,59.8,69.2,11.7,8,5.8,3,1.7,1,10,13.2,3.43,66,12.1,5.0,123.8
Jackson Arnold,173684,QB,OKLAHOMA,10,2.92,138,69.6,76.3,5.2,1,0.7,3,2.0,0,6,5.2,1.86,19,36.8,4.8,96.1,108,53.7,67.0,6.5,6,5.1,5,2.6,3,6,11.4,3.81,112,25.9,16.1,80.7
Myles Burkett,158691,QB,ALBANY,9,2.72,163,59.5,67.9,6.1,3,1.8,4,2.3,4,5,8.2,1.85,28,14.3,2.4,77.0,104,47.1,56.3,8.2,10,9.3,7,4.3,3,5,16.7,3.66,96,22.9,13.9,79.6
Kekoa Visperas,147588,QB,E WASHGTON,11,2.72,177,84.7,89.7,6.9,1,0.6,1,0.6,0,8,1.4,1.8,10,0.0,0.0,110.6,98,53.1,59.8,9.7,10,9.5,4,2.8,3,9,15.0,4.0,56,25.0,10.2,104.5
Kaidon Salter,132046,QB,LIBERTY,11,3.0,144,65.3,74.8,5.8,4,2.7,6,3.9,2,7,6.4,1.81,8,25.0,1.4,91.1,118,44.1,56.0,8.8,15,11.4,8,4.3,4,8,18.8,4.05,87,20.7,10.8,84.0
Tyler Knoop,108982,QB,STNY BROOK,11,2.65,171,69.6,76.4,6.9,5,2.8,6,3.4,4,5,5.6,1.85,32,0.0,0.0,88.6,95,67.4,75.9,9.1,5,4.8,3,1.9,0,13,10.6,3.61,75,21.3,11.2,135.7
Jaden Craig,159342,QB,HARVARD,10,2.88,155,71.0,78.4,7.6,5,3.1,3,1.8,2,11,5.7,1.79,14,28.6,2.5,111.3,125,48.0,56.5,10.0,17,12.5,7,4.2,1,12,18.5,4.01,65,18.5,7.8,112.3
Cam Ransom,147110,QB,BETH COOK,11,2.74,162,72.2,77.7,5.4,4,2.3,3,1.7,4,4,4.7,1.89,31,12.9,2.4,82.7,109,45.9,60.0,9.1,11,9.2,5,3.1,1,7,16.4,3.7,80,26.3,14.4,95.7
Xzavier Vaughn,102342,QB,ALCORN ST,12,2.8,150,67.3,74.3,6.4,5,3.2,4,2.6,2,4,4.0,1.7,19,5.3,0.7,88.1,92,40.2,56.6,5.8,2,2.0,8,4.7,3,1,14.9,3.87,83,27.7,14.4,49.6
Braedyn Locke,157141,QB,WISCONSIN,10,2.56,163,63.8,76.0,6.5,5,2.9,3,1.8,2,4,6.2,1.89,14,0.0,0.0,85.3,133,45.1,59.8,6.6,5,3.4,15,9.3,8,9,12.0,3.29,53,18.9,6.8,64.8
Jack Capaldi,163883,QB,FORDHAM,11,2.85,130,61.5,71.9,4.6,3,2.2,8,5.8,6,3,6.2,1.84,11,36.4,3.0,61.0,121,36.4,48.7,8.0,14,11.0,15,8.2,4,5,19.5,3.61,71,43.7,17.5,65.9
Michael Van Buren Jr.,184764,QB,MISS STATE,9,2.74,143,55.2,65.9,5.9,5,3.3,3,1.9,4,6,8.1,1.89,30,16.7,3.4,74.9,113,54.0,65.7,9.3,9,7.3,8,4.5,3,5,15.6,3.54,82,25.6,13.0,89.4
Christian Veilleux,145086,QB,GA STATE,10,2.36,197,68.0,80.5,7.1,6,2.9,5,2.4,4,7,6.0,1.84,40,10.0,2.0,91.9,96,35.4,47.1,6.8,5,4.8,10,8.3,7,6,17.5,3.33,48,12.5,5.5,50.5
Will McElvain,88639,QB,CENT ARK,10,2.64,147,76.2,81.1,7.9,3,2.0,0,0.0,1,14,3.8,1.81,17,11.8,1.3,127.5,130,53.1,63.4,7.3,8,5.9,10,6.2,6,2,11.7,3.53,64,15.6,6.5,62.4
Danny Lauter,162145,QB,GEORGETOWN,10,2.24,205,67.8,72.9,6.5,2,0.9,3,1.4,5,10,5.1,1.81,27,11.1,1.4,91.8,82,43.9,51.4,6.5,4,4.5,7,6.5,5,1,12.9,3.12,39,20.5,7.9,44.4
Dante Chachere,103930,QB,PORTLAND,11,3.06,119,69.7,73.1,7.1,3,2.4,3,2.4,2,6,6.4,1.88,8,0.0,0.0,99.6,121,50.4,56.8,9.2,6,4.6,12,6.1,5,6,17.7,3.96,103,21.4,12.1,81.6
Logan Fife,128176,QB,MONTANA,13,2.71,149,72.5,81.0,7.7,2,1.3,1,0.6,0,6,5.7,1.88,26,11.5,2.0,108.1,117,52.1,61.0,6.5,6,4.9,5,3.2,2,8,11.3,3.59,65,16.9,7.4,88.4
Sean Brown,123871,QB,TOWSON,10,2.71,139,67.6,77.0,7.4,6,4.0,1,0.7,3,9,7.3,1.91,24,0.0,0.0,101.8,122,57.4,72.0,7.7,8,6.1,11,6.4,5,3,12.0,3.4,68,32.4,13.7,73.0
Darius Perrantes,103934,QB,DUQUESNE,10,2.47,182,59.9,65.7,7.0,7,3.7,2,1.0,1,18,9.3,1.96,31,6.5,1.1,111.7,105,53.3,57.4,10.2,15,13.6,13,10.9,14,11,19.5,3.32,43,7.0,2.6,84.2
Marcel Reed,175940,QB,TEXAS A&M,10,3.12,104,71.2,77.5,7.1,0,0.0,1,0.9,1,6,6.0,1.98,14,0.0,0.0,106.1,138,52.9,60.2,8.2,8,5.6,9,4.5,5,9,13.5,3.74,82,15.9,6.7,87.0
Grant Jordan,151147,QB,YALE,9,2.7,185,73.0,80.7,7.4,11,5.6,2,1.0,1,14,7.9,1.72,5,0.0,0.0,116.7,64,46.9,56.9,9.0,8,11.8,5,4.4,2,8,19.9,4.45,49,20.4,9.2,105.0
Myles Crawley,141731,QB,GRAMBLING,10,2.66,137,70.1,76.3,6.6,4,2.8,3,2.1,5,9,6.1,1.85,20,5.0,0.7,94.5,127,40.2,57.1,5.5,5,3.7,6,3.6,4,2,16.6,3.41,86,16.3,9.1,50.7
Ethan Vasko,163817,QB,COAST CAR,12,2.58,156,63.5,69.0,7.4,4,2.5,2,1.2,3,9,7.4,1.81,28,7.1,1.3,96.9,115,42.6,59.2,8.4,15,11.8,9,6.1,5,5,15.8,3.53,63,6.3,3.0,68.8
Davis Bryson,160369,QB,KENNESAW,11,2.37,188,60.6,66.7,5.1,3,1.5,9,4.5,8,2,5.9,1.79,36,8.3,1.6,59.7,74,40.5,53.2,7.2,1,1.3,1,1.0,2,4,11.6,3.59,45,26.7,12.4,72.7
Ethan Hampton,145858,QB,N ILLINOIS,11,2.6,150,65.3,75.4,5.9,1,0.6,4,2.5,1,3,5.4,1.81,28,10.7,2.0,85.2,98,46.9,63.3,7.2,4,3.8,8,5.6,5,9,13.2,3.49,65,18.5,8.8,80.7
JaCobian Morgan,123050,QB,JACKSON ST,14,2.48,163,69.3,76.8,7.5,7,4.1,7,4.0,5,15,7.4,1.89,51,9.8,3.0,108.8,87,55.2,64.1,11.4,12,13.5,5,4.0,3,6,17.0,3.32,57,21.1,10.1,104.0
Robert Coleman,76149,QB,LAMAR,11,2.61,143,56.6,66.9,5.8,2,1.3,1,0.7,3,5,6.4,1.84,14,7.1,0.7,76.4,113,47.8,59.6,8.4,10,7.9,5,3.1,5,10,15.9,3.41,62,29.0,12.6,87.9
Taisun Phommachanh,99577,QB,UMASS,9,2.83,141,70.9,78.7,7.6,2,1.3,5,3.3,4,7,7.0,1.91,13,15.4,1.4,97.8,94,34.0,48.7,5.5,6,5.8,4,2.6,2,1,15.0,3.78,83,24.1,13.9,48.2
Matthew Downing,82120,QB,ELON,11,2.89,120,73.3,82.1,6.6,2,1.6,1,0.8,1,7,5.9,1.79,14,14.3,1.6,106.8,114,50.0,62.5,11.0,18,14.9,3,1.7,3,9,17.7,3.7,73,34.2,15.2,104.9
Ja'Shawn Scroggins,160545,QB,HOWARD,10,2.86,112,64.3,69.4,5.4,0,0.0,5,4.3,4,1,6.3,1.82,12,0.0,0.0,66.2,125,44.8,53.5,5.8,1,0.7,6,3.2,5,8,13.7,3.55,83,31.3,15.0,68.5
Hudson Card,123109,QB,PURDUE,10,3.11,103,64.1,76.3,6.3,2,1.9,3,2.8,2,5,5.8,1.89,21,9.5,1.9,89.8,146,53.4,68.8,6.8,6,3.8,6,3.1,5,4,12.1,3.82,102,17.6,10.1,69.8
Kirk Francis,173296,QB,TULSA,11,2.76,123,69.1,73.7,6.7,9,6.9,2,1.5,1,5,7.3,1.97,21,14.3,2.4,97.6,130,49.2,61.2,5.9,8,5.8,13,7.8,5,4,12.8,3.4,68,16.2,7.0,61.9
Haynes King,124329,QB,GA TECH,11,2.48,144,84.0,91.2,6.9,1,0.7,0,0.0,0,8,1.6,1.71,17,0.0,0.0,113.8,125,60.0,71.4,8.9,7,5.2,3,2.0,2,6,11.5,3.27,43,18.6,5.8,98.6
Camden Coleman,170901,QB,RICHMOND,11,2.68,147,72.8,81.3,6.9,5,3.3,2,1.3,1,5,6.5,1.85,12,0.0,0.0,100.0,103,52.4,61.6,10.3,6,5.7,5,3.7,4,8,16.9,3.59,45,28.9,9.7,98.6
Ty'Jarian Williams,178887,QB,MS VLY ST,12,2.45,159,65.4,69.0,6.8,4,2.4,10,5.9,8,6,7.1,1.87,36,8.3,1.9,76.6,89,34.8,48.1,7.5,3,3.2,8,6.6,5,5,15.6,3.28,73,24.7,15.4,57.6
John Michalski,177310,QB,SACR HEART,11,2.53,166,63.9,74.8,5.4,4,2.4,4,2.3,2,4,5.8,1.69,18,22.2,2.4,80.7,70,35.7,51.9,4.6,3,4.0,6,5.2,4,1,15.6,3.87,65,29.2,17.4,32.0
Skyler Locklear,164027,QB,UTEP,10,2.93,131,76.3,82.5,5.6,3,2.3,2,1.5,1,6,4.3,1.75,16,6.3,0.8,101.2,103,47.6,59.1,8.3,11,9.6,9,5.7,5,4,15.4,4.03,80,16.3,8.9,68.9
Sam Vidlak,146333,QB,STF AUSTIN,9,2.56,161,73.9,78.5,8.2,6,3.7,2,1.2,1,16,5.0,1.82,21,4.8,0.6,128.5,97,55.7,66.3,10.8,11,11.0,4,3.3,3,11,17.4,3.59,58,19.0,9.4,118.3
Trey Hedden,185848,QB,FURMAN,10,2.37,158,67.7,74.8,5.7,6,3.6,8,4.6,1,7,6.1,1.84,31,25.8,4.8,94.3,92,46.7,55.3,9.5,5,5.2,8,6.8,8,6,15.7,3.17,48,33.3,14.4,66.0
T.J. Smith,156533,QB,N ALABAMA,11,2.92,124,71.0,78.7,6.5,6,4.5,7,5.2,3,6,6.0,1.81,16,6.3,0.8,94.3,116,51.7,64.2,10.5,19,15.2,5,3.1,5,10,16.0,3.83,71,19.7,9.3,99.6
Johnathan Bennett,104158,QB,CITADEL,12,2.77,119,58.8,64.7,6.8,3,2.4,6,4.7,4,3,8.0,1.91,22,13.6,2.5,73.8,120,42.5,52.9,7.5,6,4.8,3,1.9,4,5,14.5,3.46,79,20.3,10.6,68.6
Cam Fancher,145266,QB,FAU,9,3.24,105,70.5,81.8,6.9,0,0.0,2,1.8,1,1,3.0,1.81,19,10.5,1.9,88.7,106,48.1,58.7,7.6,4,3.5,9,5.1,5,5,13.6,4.17,94,23.4,13.3,69.9
Davin Wydner,163672,QB,W GEORGIA,11,2.98,123,69.1,73.8,6.4,3,2.3,2,1.5,0,3,7.1,1.89,17,0.0,0.0,94.3,112,51.8,61.2,8.3,3,2.5,5,3.1,1,6,12.7,3.89,75,17.3,8.7,93.8
Justin Fomby,103928,QB,NC A&T,11,2.54,142,66.2,74.1,6.0,0,0.0,5,3.2,3,5,6.7,1.9,22,18.2,2.7,85.1,103,48.5,56.4,7.2,8,6.9,11,8.0,6,5,15.9,3.28,55,29.1,12.8,64.5
Katin Houser,158386,QB,E CAROLINA,9,2.32,151,63.6,71.0,6.8,8,4.9,6,3.7,8,10,7.8,1.75,18,5.6,0.7,83.5,96,55.2,62.6,10.0,11,10.6,8,6.5,3,8,15.8,3.15,39,20.5,7.0,104.6
Colton Joseph,172283,QB,DOMINION,9,2.87,111,73.9,75.7,7.1,2,1.8,3,2.7,0,7,5.6,1.85,14,7.1,0.9,114.1,111,45.9,54.4,7.6,4,3.3,17,10.1,5,4,15.5,3.65,78,21.8,11.0,65.2
Jayden Johannsen,108935,QB,MURRAY ST,12,2.4,157,57.3,63.4,5.3,3,1.9,10,6.1,7,4,7.4,1.83,34,8.8,1.9,61.8,81,54.3,61.0,8.2,7,8.0,7,6.3,6,3,14.6,3.28,43,30.2,12.5,63.2
Brock Vandagriff,146713,QB,KENTUCKY,11,3.05,91,71.4,80.7,6.9,4,4.3,1,1.0,3,4,5.4,1.82,10,30.0,3.2,91.3,129,47.3,62.3,7.5,11,7.7,11,5.9,5,6,14.7,3.73,93,23.7,12.9,72.0
Chase Artopoeus,100577,QB,CHATTNOOGA,9,2.47,160,63.8,69.4,7.2,4,2.5,3,1.8,3,4,7.6,1.84,23,8.7,1.2,85.7,76,50.0,59.7,10.6,11,13.4,3,2.7,3,7,16.2,3.47,35,28.6,9.8,102.2
Isaac Wilson,183872,QB,UTAH,9,2.98,107,64.5,73.3,5.6,2,1.9,6,5.5,3,6,5.6,1.86,16,12.5,1.8,86.2,118,49.2,56.6,7.7,5,4.1,11,6.9,8,4,13.7,3.77,78,21.8,11.0,58.1
Evan Svoboda,157664,QB,WYOMING,10,2.86,98,58.2,71.0,5.2,3,2.9,5,4.6,4,3,7.0,1.97,18,16.7,3.0,65.6,127,42.5,53.4,6.3,5,3.6,9,5.3,4,2,15.5,3.44,70,34.3,15.0,56.0
Walker Harris,150449,QB,NC CENT,10,2.48,127,67.7,79.7,7.3,6,4.5,2,1.5,1,8,7.1,1.84,24,8.3,1.6,106.5,105,52.4,62.6,9.2,11,9.9,8,5.9,5,10,15.7,3.12,47,29.8,10.9,95.9
Kyron Drones,144506,QB,VA TECH,9,2.98,103,69.9,77.2,5.9,2,1.9,2,1.9,3,4,5.2,1.81,15,6.7,1.0,85.9,122,52.5,68.3,7.8,7,5.4,7,4.5,3,6,11.8,3.83,85,14.1,8.0,84.4
Jaylen King,170801,QB,E TENN ST,10,2.77,107,67.3,76.5,6.5,0,0.0,1,0.9,3,3,6.7,1.86,17,5.9,0.9,82.9,115,38.3,47.2,7.4,5,3.9,8,5.0,8,6,18.7,3.45,70,21.4,10.3,53.0
Jackson Berry,147830,QB,SO UTAH,10,3.03,101,74.3,82.7,7.2,1,1.0,1,0.9,1,5,5.6,1.91,9,11.1,1.0,106.4,103,52.4,62.5,8.1,4,3.6,2,1.3,2,7,13.5,3.8,64,29.7,12.8,94.2
Reggie Graff,165710,QB,UTAHTC,12,2.48,151,58.3,67.4,4.4,0,0.0,5,3.1,3,5,4.2,1.92,38,13.2,3.2,71.7,73,53.4,64.6,10.7,3,3.8,3,3.0,2,5,14.2,3.4,50,16.0,8.5,102.6
Gevani McCoy,147609,QB,OREGON ST,9,2.95,100,68.0,70.7,5.3,0,0.0,4,3.8,4,1,5.4,1.92,14,7.1,1.0,67.4,104,54.8,63.3,7.5,7,6.2,3,1.9,2,2,11.5,3.67,62,22.6,9.7,77.2
Cornelious Brown IV,98356,QB,ALAB A&M,11,2.62,131,66.4,75.8,7.3,1,0.7,2,1.5,2,7,7.1,1.84,22,4.5,0.8,99.5,92,44.6,53.0,7.6,4,4.0,8,6.6,5,5,15.6,3.56,53,20.8,9.8,66.4
Devin Farrell,157658,QB,RHODE ISLD,10,2.51,137,67.2,74.4,7.6,7,4.8,4,2.7,4,6,9.3,1.89,21,4.8,0.7,92.1,77,40.3,52.9,8.1,5,6.3,7,6.5,4,5,16.3,3.38,48,22.9,10.5,69.2
Reagan Andrew,161309,QB,BUTLER,12,2.47,134,70.1,78.7,6.8,4,2.9,4,2.8,3,7,6.4,1.78,12,8.3,0.7,97.1,83,56.6,66.7,10.7,11,12.4,3,2.6,3,4,16.1,3.35,40,25.0,9.2,94.7
DeShawn Purdie,184271,QB,CHARLOTTE,9,2.77,113,60.2,65.8,7.8,11,9.1,8,6.5,3,5,10.2,1.83,13,15.4,1.7,88.4,91,37.4,46.2,10.3,13,13.3,12,9.1,3,5,21.2,3.71,74,28.4,16.9,80.8
Jaden Johnson,98682,QB,PRVIEW A&M,8,2.87,103,73.8,80.0,6.7,4,3.7,1,0.9,1,4,4.9,1.81,19,15.8,2.8,100.2,85,42.4,56.6,7.7,3,3.4,9,6.6,4,4,14.4,3.72,65,29.2,14.2,65.7
Amari Odom,178686,QB,WOFFORD,8,2.91,78,64.1,74.0,6.0,3,3.7,4,4.9,0,2,4.5,1.86,16,0.0,0.0,89.1,133,50.4,62.5,8.3,15,10.3,11,6.3,6,5,16.3,3.44,84,19.0,9.9,72.2
Matthew Caldwell,150302,QB,TROY,9,2.61,123,72.4,81.4,7.5,3,2.3,1,0.8,0,6,5.1,1.83,15,26.7,3.1,109.9,102,52.0,64.0,6.6,4,3.8,12,10.3,8,7,12.6,3.52,50,12.0,5.4,63.3
Braylon Braxton,144442,QB,MARSHALL,11,2.77,121,68.6,74.2,7.4,7,5.7,2,1.6,2,10,6.3,1.78,8,0.0,0.0,110.9,86,47.7,62.0,8.5,5,5.2,6,4.7,0,9,17.4,3.83,56,16.1,7.8,112.1
Emmett Brown,157344,QB,S JOSE ST,8,2.52,135,65.2,74.8,7.0,5,3.5,7,4.8,3,4,8.8,1.99,23,8.7,1.5,86.1,84,45.2,52.6,8.1,8,8.7,6,5.6,2,12,18.5,3.28,41,12.2,5.2,103.4
Tak Tateoka,172179,QB,STTHOM,11,2.59,120,60.0,67.0,6.1,5,4.1,2,1.6,2,6,7.7,1.95,19,15.8,2.4,87.2,82,43.9,52.1,6.8,5,5.6,10,8.9,3,4,18.1,3.34,54,22.2,11.4,67.8
Davis Warren,73940,QB,MICHIGAN,9,2.8,112,77.7,85.3,5.9,0,0.0,1,0.8,2,4,3.9,1.9,14,21.4,2.6,95.5,98,49.0,60.0,5.5,6,5.9,8,6.9,7,3,10.0,3.75,56,10.7,5.4,46.3
Aidan Armenta,175731,QB,LA MONROE,11,2.71,108,61.1,73.6,6.2,3,2.7,3,2.6,3,4,8.4,1.89,25,16.0,3.6,79.6,83,44.6,57.3,7.4,7,8.0,10,8.8,7,5,14.7,3.74,50,24.0,11.2,55.1
Caron Tyler,177813,QB,VALPO,10,2.86,94,66.0,72.2,5.8,5,5.2,3,3.0,1,2,6.9,1.81,12,25.0,3.1,83.9,64,40.6,44.3,6.8,2,2.9,7,5.2,3,4,16.3,3.69,60,38.3,18.3,65.4
Keali'i Ah Yat,178141,QB,MONTANA,11,2.83,105,69.5,77.0,5.9,2,1.9,2,1.8,2,3,4.8,1.97,14,14.3,1.9,86.2,82,46.3,53.3,6.0,8,9.0,7,5.7,4,4,11.9,3.66,56,25.0,12.2,61.4
Jackson Proctor,148851,QB,DARTMOUTH,7,2.65,117,79.5,82.3,6.9,5,4.2,1,0.8,1,6,4.2,1.79,15,6.7,0.8,109.2,79,51.9,56.8,9.6,6,7.4,5,4.8,2,7,14.9,3.69,45,15.6,6.9,104.3
Jalen Daniels,191790,QB,NORFOLK,11,2.63,123,65.0,75.8,7.1,2,1.6,5,3.9,1,8,7.2,1.82,18,11.1,1.6,104.2,69,37.7,42.2,6.4,5,6.4,5,4.7,3,3,18.9,3.68,35,40.0,14.4,56.4
Joe Fagnano,104768,QB,UCONN,10,2.5,111,68.5,78.9,7.6,1,0.9,1,0.9,1,9,5.1,1.78,13,0.0,0.0,114.0,96,45.8,60.5,8.2,6,5.8,3,2.5,3,11,14.7,3.23,54,11.1,5.4,99.7
DJ Lagway,184426,QB,FLORIDA,12,3.0,83,71.1,77.8,8.7,3,3.6,1,1.2,4,4,6.4,1.84,12,0.0,0.0,93.8,109,51.4,60.4,10.9,15,12.9,6,4.1,5,8,16.1,3.7,62,21.0,9.4,95.7
Tommy Ulatowski,163150,QB,KENT STATE,9,3.42,72,55.6,65.7,8.0,4,5.1,3,3.8,3,7,10.4,1.84,20,10.0,2.7,96.9,104,39.4,55.8,7.5,11,10.1,6,4.0,5,8,15.8,4.22,82,31.7,17.9,71.8
Whitt Newbauer,188566,QB,MERCER,9,2.72,108,59.3,74.8,4.2,2,1.8,4,3.5,3,3,4.7,1.85,20,25.0,4.4,66.7,74,54.1,61.8,12.7,15,19.2,4,3.7,1,9,21.6,3.66,48,29.2,13.3,133.2
Taron Dickens,177946,QB,W CAROLINA,7,2.87,88,81.8,84.9,7.5,2,2.2,3,3.3,1,7,3.2,1.78,7,42.9,3.3,119.6,84,64.3,70.4,9.1,6,6.9,4,3.1,2,5,14.1,3.69,56,30.4,13.7,103.4
Noah Bodden,150881,QB,SOUTHERN U,9,2.77,101,62.4,69.3,7.3,3,2.8,6,5.6,3,4,8.1,1.82,10,10.0,1.0,85.3,99,32.3,40.9,5.2,3,2.9,8,6.8,5,1,15.3,3.65,54,13.0,6.3,33.0
Ayden Pereira,159129,QB,MERRIMACK,11,3.09,82,72.0,75.3,6.6,1,1.2,3,3.5,0,6,4.5,1.82,8,25.0,2.4,114.0,75,44.0,52.3,7.8,5,6.4,4,2.9,2,2,16.1,3.92,68,17.6,9.3,69.1
Marqui Adams,161340,QB,DELWARE ST,6,3.21,74,74.3,84.9,5.6,0,0.0,0,0.0,0,2,3.2,1.92,5,40.0,2.6,96.3,87,47.1,61.0,7.6,7,7.4,3,2.1,3,5,15.7,3.94,80,20.0,11.9,77.7
Nick Evers,158082,QB,UCONN,9,2.78,95,68.4,80.4,4.7,1,1.0,2,2.0,2,2,4.5,1.85,16,6.3,1.0,77.1,87,37.9,52.6,5.4,6,6.7,6,5.1,3,3,15.2,3.56,48,22.9,9.6,53.5
Jake Garcia,143941,QB,E CAROLINA,6,2.53,100,66.0,76.3,5.5,0,0.0,7,6.5,5,3,5.3,1.82,17,11.8,2.0,69.3,82,52.4,62.5,10.6,12,13.6,10,8.8,7,5,18.9,3.22,53,24.5,12.3,74.7
Hayden Johnson,185698,QB,LEHIGH,13,2.9,103,76.7,81.2,7.8,6,5.7,3,2.8,2,4,6.1,1.8,10,10.0,1.0,103.4,64,50.0,63.8,9.1,8,10.8,8,7.1,5,6,18.5,4.05,56,17.9,9.9,80.4
