player,player_id,position,team_name,player_game_count,avg_time_to_throw,less_attempts,less_completion_percent,less_accuracy_percent,less_ypa,less_big_time_throws,less_btt_rate,less_turnover_worthy_plays,less_twp_rate,less_interceptions,less_touchdowns,less_avg_depth_of_target,less_avg_time_to_throw,less_def_gen_pressures,less_pressure_to_sack_rate,less_sack_percent,less_qb_rating,more_attempts,more_completion_percent,more_accuracy_percent,more_ypa,more_big_time_throws,more_btt_rate,more_turnover_worthy_plays,more_twp_rate,more_interceptions,more_touchdowns,more_avg_depth_of_target,more_avg_time_to_throw,more_def_gen_pressures,more_pressure_to_sack_rate,more_sack_percent,more_qb_rating
Joey Aguilar,174978,QB,APP STATE,11,2.63,231,63.2,69.9,7.3,10,4.1,7,2.8,5,13,8.3,1.88,38,5.3,0.9,95.0,159,45.3,56.8,8.2,16,9.1,18,8.3,9,10,17.1,3.52,108,10.2,5.6,71.5
Tommy Rittenhouse,148028,QB,ILL STATE,14,2.61,233,75.1,80.3,7.1,5,2.1,2,0.8,2,12,5.9,1.91,24,4.2,0.4,107.9,156,53.2,61.1,7.6,7,4.3,7,3.4,5,5,12.4,3.46,78,19.2,7.7,75.4
Mikey Keene,70961,QB,FRESNO ST,12,2.74,214,79.0,84.3,7.4,6,2.7,3,1.3,4,8,5.4,1.85,21,9.5,0.9,102.2,180,59.4,74.7,7.3,8,4.0,12,5.2,7,10,10.4,3.67,86,25.6,10.4,84.2
Brett Gabbert,97404,QB,MIAMI OH,14,2.55,248,64.5,71.8,7.1,3,1.2,9,3.5,8,15,6.9,1.85,30,6.7,0.8,92.0,133,42.1,52.2,8.8,13,9.4,8,4.3,3,6,19.2,3.52,81,28.4,12.9,79.3
Kevin Jennings,158272,QB,SMU,14,2.89,190,75.3,82.4,8.3,4,1.9,4,1.9,5,11,5.3,1.75,22,4.5,0.5,107.7,193,55.4,67.8,8.8,16,7.5,10,4.0,6,12,12.4,3.86,114,14.0,6.9,92.5
Ron Peace,186224,QB,TXAMCO,12,2.51,247,65.2,71.3,6.4,10,3.9,10,3.9,10,12,7.1,1.72,27,11.1,1.2,82.2,134,41.0,51.8,7.2,13,9.1,12,6.6,4,4,17.1,3.7,95,24.2,13.3,63.9
Seth Morgan,103954,QB,NEW HAMP,12,2.6,226,69.0,73.6,5.1,4,1.7,4,1.7,4,12,6.7,1.84,31,25.8,3.4,91.0,162,54.9,64.9,7.6,10,5.9,13,6.5,4,10,11.1,3.56,92,16.3,7.9,90.0
Tyler Shough,83537,QB,LOUISVILLE,12,2.93,176,74.4,82.5,8.1,2,1.1,2,1.1,2,9,5.7,1.85,24,8.3,1.1,110.0,214,52.3,68.3,8.3,19,8.3,6,2.3,4,14,13.3,3.73,126,9.5,4.9,94.3
Sam Leavitt,175465,QB,ARIZONA ST,13,3.04,191,72.3,79.3,7.6,6,3.1,0,0.0,2,16,4.4,1.81,21,4.8,0.5,117.4,159,48.4,63.1,8.6,7,4.1,5,2.1,4,8,15.7,4.09,122,14.8,7.9,84.7
Tucker Gleason,122475,QB,TOLEDO,12,2.62,197,72.6,78.9,7.6,2,1.0,8,3.7,3,12,4.7,1.82,46,10.9,2.5,108.0,188,48.4,59.8,6.9,10,5.0,9,3.9,5,12,14.2,3.35,105,10.5,5.0,81.3
