player,player_id,position,team_name,player_game_count,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa
Josh Hoover,127148,QB,TCU,13,1.87,0.52,73.3,394,10.6,2.61,17,4.1,62.4,122,10.5,11,12.3,100.7,3.5,25,18,4.0,8.9,76.2,293,8.6,2.48,11,3.6,65.5,93,9.0,10,10.8,96.9,3.1,18,14,4.2,8.1,77.5,181,7.8,2.4,6,3.2,67.4,34,9.0,1,14.7,108.6,2.6,9,4,2.0,8.7,93.3,80,-3.3,1.58,0,0.0,85.0,5,2.9,0,0.0,98.2,0.0,2,0,0.0,5.6
Quinn Ewers,127253,QB,TEXAS,14,5.56,1.59,71.8,362,10.5,2.79,20,5.2,61.3,134,9.4,12,24.6,99.0,8.0,28,21,4.8,8.1,72.4,254,8.1,2.59,15,5.6,63.4,81,6.9,8,27.2,96.4,7.6,19,15,4.9,7.1,80.3,190,7.7,2.58,5,2.5,68.9,61,8.4,4,18.0,108.2,5.2,12,6,2.7,8.7,93.4,82,-3.6,1.63,0,0.0,85.4,8,1.4,0,0.0,105.5,0.0,3,0,0.0,6.4
Jaylen Raynor,172203,QB,ARK STATE,13,-4.22,0.91,66.8,374,11.5,2.83,17,4.3,57.8,160,8.9,10,20.0,81.0,7.1,15,18,3.7,6.8,71.0,332,9.3,2.73,12,3.4,62.7,129,7.6,9,19.4,82.8,6.3,13,14,3.4,6.4,66.7,89,11.9,2.63,5,5.1,58.4,34,7.1,1,20.6,87.9,6.7,3,4,3.4,7.3,95.7,47,-3.2,1.64,0,0.0,93.6,3,0.0,0,0.0,93.7,0.0,1,0,0.0,4.8
Brayden Schager,146078,QB,HAWAII,11,4.84,-0.58,66.2,357,11.9,3.08,14,3.7,54.1,172,12.7,13,23.3,76.7,8.9,19,17,3.6,6.5,68.4,361,10.8,3.02,13,3.4,57.1,172,12.0,12,23.8,80.3,9.0,19,16,3.4,6.5,77.8,42,4.7,2.25,1,2.3,61.9,11,7.1,1,0.0,68.4,0.0,0,1,2.2,5.9,93.2,46,-2.5,1.77,0,0.0,84.8,11,4.9,0,9.1,91.7,2.0,0,0,0.0,6.0
Carson Beck,124010,QB,GEORGIA,13,6.15,1.44,68.5,346,12.4,2.85,23,6.1,57.2,104,10.8,11,17.3,96.2,4.6,26,19,4.5,8.3,73.2,287,8.7,2.56,16,5.1,62.4,75,10.1,11,17.3,89.0,4.0,18,17,4.8,7.2,78.6,162,9.0,2.46,7,4.2,68.5,30,8.3,1,16.7,113.2,2.9,10,3,1.7,8.6,96.1,103,-2.7,1.27,0,0.0,89.3,1,6.1,1,0.0,92.9,0.0,2,1,1.0,5.7
Dillon Gabriel,86272,QB,OREGON,14,0.92,0.7,77.7,357,9.8,3.08,15,4.0,67.5,130,7.7,6,14.6,114.8,4.8,28,8,1.9,9.0,80.9,267,8.2,2.86,11,3.9,71.9,84,7.2,3,19.0,119.2,5.4,22,4,1.3,8.3,83.5,184,5.2,2.65,4,2.1,72.8,53,5.6,3,5.7,107.8,1.5,8,4,1.9,9.0,97.8,94,-3.2,1.51,0,0.0,90.4,7,3.4,0,0.0,102.9,0.0,2,0,0.0,7.0
Nicholas Vattiato,145302,QB,MIDDLE TN,12,-4.07,3.18,72.5,368,10.4,2.75,16,4.1,60.6,143,10.1,10,20.3,87.6,6.7,16,14,3.0,7.6,76.2,328,7.3,2.5,8,2.3,64.9,112,9.0,8,22.3,80.8,6.5,7,10,2.5,6.6,71.3,92,13.0,2.94,8,8.4,60.9,32,9.7,2,12.5,117.3,3.8,9,4,3.7,9.8,92.3,52,-3.5,1.36,0,0.0,88.5,1,4.2,0,0.0,87.9,0.0,0,0,0.0,5.1
Noah Fifita,158722,QB,ARIZONA,12,-2.38,-1.82,69.8,357,11.3,3.4,16,4.3,56.6,163,6.9,11,17.2,82.7,6.8,17,14,3.2,7.3,74.0,348,8.9,3.13,15,4.1,60.9,144,7.0,7,17.4,88.9,6.3,15,9,2.2,7.2,70.8,82,7.7,3.21,1,1.2,58.5,26,5.9,5,15.4,60.2,4.4,3,5,5.3,5.4,89.9,73,-3.1,1.76,0,0.0,79.5,7,6.5,1,14.3,85.2,1.3,1,0,0.0,4.7
JC French,162521,QB,GA SOUTHRN,13,-3.28,1.4,69.7,311,11.3,2.88,18,5.3,60.1,129,6.5,9,20.9,88.0,7.1,15,18,4.3,7.6,76.7,245,6.5,2.56,7,2.6,66.5,86,6.3,6,20.9,86.0,6.1,9,13,4.1,6.3,71.8,166,9.3,2.75,11,6.2,63.3,55,6.3,5,16.4,90.6,4.7,8,7,3.4,7.7,89.6,100,-3.2,1.74,0,0.0,81.0,12,5.8,2,0.0,84.4,0.0,2,2,1.9,4.7
Riley Leonard,143862,QB,NOTRE DAME,16,0.29,0.88,74.0,331,9.9,3.01,18,5.0,61.9,143,7.7,8,11.9,93.5,4.3,19,10,2.4,7.4,78.8,342,7.2,2.78,14,3.8,66.4,127,7.3,7,12.6,90.3,4.0,13,7,1.7,6.9,75.0,63,9.2,2.99,4,5.7,66.7,26,6.7,1,11.5,123.0,3.8,8,3,3.4,7.8,95.8,74,-2.6,1.83,0,0.0,86.5,10,5.9,0,20.0,98.6,2.5,2,0,0.0,5.5
Kadin Semonza,174001,QB,BALL ST,12,-0.37,0.25,68.2,342,10.1,2.5,16,4.4,59.4,113,6.5,10,27.4,90.7,8.0,22,15,3.7,7.2,73.2,349,7.1,2.28,13,3.6,64.5,97,5.5,9,23.7,92.6,6.0,20,10,2.5,6.8,74.0,78,9.6,2.66,3,3.5,64.1,25,7.4,1,36.0,101.0,10.0,5,6,6.1,7.1,93.8,85,-2.8,1.68,0,0.0,84.7,9,4.0,0,11.1,102.2,1.1,3,1,1.1,5.7
Jaxson Dart,146409,QB,OLE MISS,13,6.59,3.06,74.8,351,14.0,2.92,30,8.0,65.8,145,6.1,6,19.3,124.4,6.6,28,11,2.4,11.5,75.9,180,11.0,2.76,7,3.6,65.6,76,6.3,3,25.0,107.8,8.6,11,6,2.5,9.0,79.0,219,12.7,2.79,23,10.1,72.1,70,4.8,3,12.9,134.3,3.6,18,5,1.9,12.1,97.9,48,-2.4,1.46,0,0.0,93.8,1,2.2,0,0.0,93.8,0.0,1,0,0.0,4.8
