player,player_id,position,team_name,player_game_count,comp_pct_diff,ypa_diff,no_screen_accuracy_percent,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_interceptions,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_ypa,npa_accuracy_percent,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_def_gen_pressures,npa_drop_rate,npa_interceptions,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_ypa,pa_accuracy_percent,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_def_gen_pressures,pa_drop_rate,pa_interceptions,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_ypa,screen_accuracy_percent,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_def_gen_pressures,screen_drop_rate,screen_interceptions,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_ypa
John Mateer,158516,QB,WASH STATE,12,-0.47,0.39,69.2,287,12.7,3.34,18,6.0,59.6,123,9.5,7,26.8,109.1,9.0,25,16,4.1,9.2,74.3,257,9.6,3.16,12,4.4,64.2,105,9.3,4,28.6,109.6,9.1,18,11,3.2,8.9,69.0,91,11.7,2.64,6,6.3,63.7,23,3.3,3,13.0,119.8,2.9,11,5,4.5,9.3,89.8,61,-1.6,1.37,0,0.0,85.2,5,1.9,0,0.0,121.6,0.0,4,0,0.0,7.9
Joey Aguilar,174978,QB,APP STATE,11,4.3,1.94,62.2,355,13.3,2.71,26,6.8,53.0,142,7.8,12,9.2,87.0,3.3,23,25,5.8,8.0,64.6,248,10.2,2.59,17,6.4,54.0,97,9.5,10,10.3,72.7,3.6,10,17,5.7,6.9,65.4,144,14.1,2.67,9,5.8,58.3,49,5.6,4,6.1,106.2,1.9,13,8,4.7,8.9,89.2,37,-2.8,1.61,0,0.0,81.1,4,9.1,2,0.0,62.8,0.0,0,0,0.0,4.5
Mikey Keene,70961,QB,FRESNO ST,12,2.62,2.56,77.5,340,9.2,2.88,14,3.8,66.2,107,7.8,10,22.4,94.0,6.4,18,15,3.7,7.5,80.0,313,6.7,2.64,11,3.3,69.3,81,8.1,11,23.5,87.3,5.6,13,14,3.9,6.8,80.8,82,11.0,3.08,3,3.4,72.0,27,0.0,0,18.5,121.3,5.6,5,1,1.0,9.4,96.2,55,-2.6,1.75,0,0.0,92.7,1,0.0,1,0.0,84.1,0.0,0,0,0.0,6.0
Brett Gabbert,97404,QB,MIAMI OH,14,-9.01,0.18,60.3,331,12.9,2.71,16,4.7,51.4,111,6.6,11,22.5,84.4,6.6,21,17,4.4,7.7,68.6,283,9.4,2.47,9,3.1,59.0,79,6.7,7,22.8,90.3,5.6,15,9,2.7,7.6,56.7,98,15.2,2.76,7,7.0,50.0,32,3.9,4,21.9,79.6,6.5,6,8,7.3,7.8,98.0,50,-1.7,1.28,0,0.0,92.0,0,4.2,0,,96.3,0.0,0,0,0.0,7.1
Kevin Jennings,158272,QB,SMU,14,-5.08,2.81,69.8,302,12.2,3.22,20,6.0,58.6,131,7.8,11,12.2,95.9,4.7,20,14,3.7,9.1,78.2,256,7.8,2.92,15,5.4,66.8,89,6.6,8,11.2,91.9,3.6,12,9,3.0,7.6,69.7,128,10.6,2.8,5,3.5,61.7,47,4.8,3,14.9,115.6,4.8,11,5,3.1,10.4,94.9,82,-3.4,1.52,0,0.0,89.0,5,1.4,0,20.0,104.5,1.2,3,0,0.0,6.1
Tyler Shough,83537,QB,LOUISVILLE,12,1.67,1.22,73.0,351,11.1,3.03,21,5.7,60.4,143,8.6,6,9.8,101.1,3.7,22,8,2.0,8.4,73.4,215,8.7,2.83,10,4.5,61.4,83,9.6,5,9.6,92.3,3.4,11,6,2.4,7.6,77.4,176,10.9,3.04,11,5.9,63.1,67,7.5,1,9.0,111.8,3.2,12,2,1.0,8.8,94.4,40,-2.8,1.93,0,0.0,77.5,7,8.8,0,0.0,101.4,0.0,1,0,0.0,6.3
Tucker Gleason,122475,QB,TOLEDO,12,2.27,2.68,66.6,341,11.0,2.76,12,3.3,56.6,147,7.7,8,10.9,91.8,4.3,22,17,4.2,7.4,68.9,235,7.7,2.61,3,1.2,59.6,97,7.3,5,10.3,81.2,3.9,9,11,4.0,6.1,71.4,152,11.4,2.6,9,5.5,61.8,54,6.0,3,11.1,115.0,3.6,15,6,3.4,8.8,93.3,46,-3.3,1.34,0,0.0,89.1,4,2.4,0,0.0,104.6,0.0,2,0,0.0,5.6
Sam Leavitt,175465,QB,ARIZONA ST,13,0.36,0.57,65.6,267,13.4,3.4,13,4.6,53.2,141,11.3,6,12.8,94.7,5.4,19,5,1.4,8.1,71.6,217,8.8,2.91,9,4.0,61.3,97,8.9,4,12.4,98.1,4.6,13,2,0.7,7.8,73.6,133,10.2,3.26,4,2.8,61.7,46,7.9,2,15.2,109.8,4.3,11,3,1.8,8.4,92.6,83,-3.1,1.64,0,0.0,88.0,2,2.7,0,50.0,119.2,1.2,5,0,0.0,7.8
Alonza Barnett III,156710,QB,JAMES MAD,12,0.39,0.06,71.2,309,11.4,2.95,14,4.4,55.3,113,10.0,4,30.1,99.9,9.1,24,13,3.4,7.5,74.7,292,9.5,2.81,13,4.3,59.9,94,10.3,2,30.9,105.8,8.3,23,9,2.5,7.3,75.0,63,8.2,2.7,1,1.5,60.3,22,2.6,2,22.7,85.6,6.9,3,4,5.3,7.3,95.7,46,-3.1,1.56,0,0.0,91.3,3,4.5,0,0.0,106.4,0.0,2,0,0.0,6.1
Nico Iamaleava,174728,QB,TENNESSEE,13,8.19,2.37,66.2,272,14.0,3.18,17,5.8,56.6,118,10.5,5,25.4,97.2,8.5,17,11,2.9,8.3,66.9,133,10.4,3.29,3,2.1,58.6,72,8.2,2,23.6,78.8,9.5,3,5,2.6,6.4,75.3,202,11.5,2.69,14,6.5,66.8,48,7.5,3,27.1,114.5,5.5,16,6,2.4,8.8,96.7,63,-1.5,1.67,0,0.0,93.7,2,0.0,0,0.0,100.1,0.0,2,0,0.0,5.5
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,13,-0.63,0.34,64.4,327,11.7,2.93,19,5.5,55.0,100,7.7,9,9.0,79.6,2.5,12,13,3.4,7.4,69.4,283,8.9,2.52,14,4.7,60.4,73,7.1,5,11.0,85.5,2.6,9,6,1.9,7.2,68.1,97,11.3,3.31,5,4.9,59.8,27,6.5,4,3.7,83.1,0.9,5,7,6.1,7.5,96.2,53,-3.0,1.4,0,0.0,92.5,0,3.9,0,,105.3,0.0,2,0,0.0,6.2
Luke Altmyer,146802,QB,ILLINOIS,13,3.3,-0.76,67.4,305,12.3,3.1,20,6.0,56.4,149,7.5,6,20.1,98.5,8.2,22,14,3.6,8.0,70.6,207,10.4,3.02,9,4.0,58.9,94,7.6,4,20.2,86.5,7.8,6,10,3.8,8.1,72.3,143,10.5,2.9,11,7.2,62.2,60,5.3,2,18.3,116.0,6.6,16,4,2.3,7.3,97.6,45,-1.7,1.92,0,0.0,86.7,5,2.5,0,0.0,91.7,0.0,0,0,0.0,6.0
Avery Johnson,173108,QB,KANSAS ST,13,-1.69,1.54,68.5,340,10.7,3.19,15,4.3,55.9,117,10.8,9,9.4,93.7,2.9,25,13,3.4,7.6,72.1,234,7.8,3.09,6,2.5,58.1,85,12.3,6,8.2,79.0,2.7,8,10,3.7,6.7,69.0,140,12.1,3.0,9,6.3,56.4,35,11.2,4,11.4,110.9,2.7,17,4,2.6,8.2,93.9,34,-2.2,1.62,0,0.0,73.5,3,19.4,1,0.0,66.5,0.0,0,1,2.7,3.7
Sawyer Robertson,146839,QB,BAYLOR,12,-4.65,-0.05,62.6,297,12.5,2.83,15,4.6,55.6,93,6.3,7,16.1,102.7,4.5,25,16,4.4,8.6,71.6,230,8.7,2.56,8,3.2,63.5,64,6.4,6,18.8,105.1,4.7,18,10,3.6,8.4,64.1,136,11.2,2.59,7,4.7,58.8,32,4.8,2,12.5,104.2,2.6,10,6,3.6,8.3,94.1,69,-2.1,1.36,0,0.0,88.4,3,4.7,1,33.3,104.6,1.4,3,0,0.0,7.1
Jake Retzlaff,70874,QB,BYU,13,6.81,3.86,68.4,318,13.4,2.86,12,3.5,56.6,112,8.6,10,15.2,91.4,4.8,18,18,4.7,8.7,67.8,256,9.9,2.67,4,1.5,55.5,79,10.1,10,12.7,69.3,3.5,7,14,4.6,6.8,76.0,114,13.7,2.83,8,6.6,62.3,37,10.1,2,18.9,129.0,5.6,13,4,3.0,10.6,81.6,52,-2.6,1.76,0,0.0,63.5,4,17.5,2,0.0,65.4,0.0,2,0,0.0,3.3
Anthony Colandrea,170131,QB,VIRGINIA,11,-13.6,-0.5,65.6,262,10.2,3.1,12,4.3,56.5,146,6.3,11,25.3,78.4,11.2,13,15,4.3,7.3,72.4,239,7.2,2.88,6,2.4,64.9,120,4.9,10,27.5,80.8,11.0,10,13,4.2,6.8,66.7,80,10.0,2.97,6,6.9,51.3,36,10.9,1,16.7,78.2,6.5,3,2,2.0,6.3,96.2,57,-2.9,1.83,0,0.0,84.2,10,5.9,0,20.0,82.4,3.3,0,0,0.0,3.8
Payton Thorne,101629,QB,AUBURN,11,-9.23,0.53,68.5,273,12.3,2.92,10,3.5,57.9,115,8.1,9,23.5,99.8,7.9,21,7,2.0,9.0,76.2,214,8.7,2.7,4,1.8,65.4,84,4.8,5,25.0,98.7,8.1,11,6,2.2,8.3,67.3,105,12.5,2.89,6,5.5,56.2,31,13.2,4,19.4,101.7,4.7,10,1,0.8,8.9,100.0,46,-3.1,1.6,0,0.0,89.1,0,4.7,0,,89.3,0.0,0,0,0.0,5.4
Danny O'Neil,184200,QB,S DIEGO ST,11,-6.84,-0.67,66.4,247,13.7,3.05,13,4.8,55.1,111,9.3,6,22.5,84.4,8.3,12,7,2.1,7.3,73.3,197,8.8,2.78,7,3.3,65.5,74,5.8,3,23.0,87.5,7.2,5,4,1.6,6.9,71.2,133,10.9,2.74,6,4.2,58.6,48,7.1,3,16.7,85.0,5.4,7,3,1.9,6.2,89.9,83,-2.2,1.75,0,0.0,85.5,11,0.0,0,0.0,86.0,0.0,0,0,0.0,4.6
Jacolby Criswell,122830,QB,N CAROLINA,12,1.12,2.84,63.5,270,12.9,3.1,10,3.5,52.2,141,9.0,6,16.3,80.3,7.1,11,12,3.5,7.3,69.1,246,8.8,2.87,3,1.2,57.3,115,8.4,6,17.4,82.1,6.8,10,9,2.9,6.9,68.1,77,14.3,3.11,7,8.2,58.4,37,8.2,0,10.8,113.1,4.6,5,3,3.1,9.8,94.1,53,-3.3,1.91,0,0.0,84.9,11,6.3,0,9.1,130.2,1.8,4,0,0.0,9.2
LaNorris Sellers,174326,QB,S CAROLINA,12,9.62,1.98,71.7,258,10.9,3.46,16,5.7,60.9,156,6.0,7,19.9,94.6,9.2,14,19,5.2,8.4,73.7,213,8.0,3.34,9,3.9,62.0,129,5.7,7,19.4,85.0,9.2,8,14,4.8,7.8,76.7,88,10.7,3.19,7,7.2,71.6,33,4.5,0,18.2,140.3,5.6,10,5,4.2,9.8,90.7,43,-2.4,2.01,0,0.0,88.4,6,2.6,0,0.0,131.6,0.0,4,0,0.0,8.1
C.J. Ogbonna,149182,QB,BUFFALO,13,1.24,1.93,62.3,289,12.4,2.62,23,7.6,50.5,116,7.0,5,16.4,89.4,5.8,19,12,3.5,7.3,68.2,255,8.5,2.49,15,5.7,56.1,94,5.9,3,19.1,84.4,6.2,10,9,3.0,6.6,68.0,82,14.7,2.52,8,9.1,57.3,26,7.8,2,11.5,111.7,3.4,9,3,3.2,8.5,100.0,48,-2.9,1.65,0,0.0,91.7,4,4.3,0,50.0,89.1,4.0,0,0,0.0,5.4
Garrett Greene,123420,QB,W VIRGINIA,11,2.51,2.3,66.3,274,12.2,3.17,18,6.1,56.2,118,8.9,12,17.8,81.5,6.3,15,14,3.9,7.8,69.5,226,9.9,2.91,12,5.0,59.3,84,8.2,9,19.0,78.7,5.9,11,13,4.5,6.6,72.0,89,11.3,3.27,6,5.9,61.8,36,6.8,3,16.7,91.7,5.8,4,2,1.7,8.9,97.3,41,-2.9,1.82,0,0.0,85.4,2,2.8,0,50.0,82.1,2.3,0,1,2.2,3.7
Miller Moss,70727,QB,USC,9,-0.9,-0.06,67.8,291,10.5,2.74,13,4.3,58.4,108,5.0,9,8.3,86.6,3.0,16,12,3.8,7.3,72.5,241,7.7,2.57,9,3.6,64.3,82,3.7,8,7.3,87.7,2.4,12,9,3.5,7.0,72.6,123,7.5,2.6,4,3.2,63.4,32,4.9,1,9.4,96.8,2.4,6,3,2.3,7.0,90.1,73,-3.2,1.93,0,0.0,86.3,6,1.6,0,0.0,100.0,0.0,2,0,0.0,5.8
Aidan Chiles,173727,QB,MICH STATE,12,-6.59,2.02,65.9,288,11.8,3.22,13,4.3,56.6,137,7.4,11,19.7,79.3,8.0,12,19,5.4,7.7,67.7,227,9.1,2.93,7,3.0,61.2,105,5.4,7,18.1,82.0,7.2,9,13,4.7,6.9,69.4,97,12.7,3.49,6,5.8,54.6,38,10.2,4,21.1,81.1,7.3,4,7,6.0,8.9,85.7,36,-2.3,1.9,0,0.0,80.6,6,3.3,0,0.0,99.2,0.0,1,1,2.6,5.6
Brendon Lewis,131687,QB,NEVADA,12,-2.91,-1.73,73.2,275,11.6,3.18,11,3.7,62.9,132,5.5,7,16.7,95.1,6.7,16,12,3.4,7.6,74.8,247,10.3,2.97,9,3.4,67.6,111,2.9,7,16.2,96.0,6.1,13,12,3.8,7.6,81.7,68,7.1,3.11,2,2.6,64.7,28,10.2,0,14.3,95.3,5.3,3,0,0.0,5.9,95.0,40,-2.7,1.5,0,0.0,95.0,7,0.0,0,0.0,86.3,0.0,0,0,0.0,4.7
Jalen Milroe,146590,QB,ALABAMA,13,15.08,-0.47,69.0,271,12.5,3.05,18,6.2,59.0,119,8.0,10,19.3,92.7,7.2,15,10,2.9,9.2,69.8,252,11.2,2.88,13,4.8,59.9,96,7.9,10,20.8,88.2,6.9,12,9,2.9,8.9,82.4,72,5.4,2.86,5,6.6,75.0,28,3.6,1,10.7,112.2,3.7,4,1,1.2,8.4,90.2,53,-2.9,1.84,0,0.0,84.9,5,2.2,1,0.0,91.8,0.0,1,0,0.0,6.4
Brady Cook,124199,QB,MISSOURI,12,1.33,2.21,68.7,297,10.9,2.84,13,4.2,59.9,99,7.8,2,23.2,95.5,6.7,11,4,1.1,8.2,70.2,240,9.6,2.69,12,4.8,62.1,75,6.9,2,24.0,91.9,6.6,8,3,1.0,7.3,73.1,82,10.1,2.88,1,1.2,63.4,25,8.8,0,20.0,106.8,5.4,3,1,1.0,9.5,96.0,25,-3.3,1.37,0,0.0,92.0,1,4.2,0,0.0,85.5,0.0,0,0,0.0,4.5
CJ Bailey,183349,QB,NC STATE,11,0.58,1.94,74.8,263,10.5,3.05,14,5.0,62.4,113,7.9,9,20.4,96.0,7.2,16,17,4.9,8.6,78.6,227,8.1,2.89,10,4.1,64.8,81,9.3,8,16.0,94.7,4.8,15,12,4.1,7.5,74.3,75,10.2,2.93,4,5.1,65.3,34,5.8,2,29.4,93.7,10.9,2,6,6.3,9.5,94.7,39,-2.6,1.68,0,0.0,82.1,2,11.1,1,0.0,80.2,0.0,1,1,2.4,3.8
Kurtis Rourke,97998,QB,INDIANA,12,18.52,2.08,70.1,273,12.7,2.7,19,6.5,64.1,73,4.4,5,26.0,119.1,6.1,25,10,3.0,9.8,70.0,211,11.6,2.68,12,5.3,62.6,65,5.7,4,24.6,106.4,6.7,15,8,3.1,8.7,82.6,111,8.2,2.29,7,6.1,81.1,10,0.0,1,40.0,147.5,3.3,14,2,1.6,10.8,97.9,49,-2.1,1.63,0,0.0,95.9,2,0.0,0,50.0,125.5,2.0,4,0,0.0,7.6
Evan Simon,129906,QB,TEMPLE,9,4.65,2.48,68.2,252,10.2,3.01,12,4.5,54.4,157,8.7,8,15.9,82.2,8.3,14,11,3.4,7.1,71.1,226,7.4,2.78,8,3.3,57.1,129,9.8,8,14.7,72.5,7.2,9,10,3.6,5.8,76.4,81,8.3,2.85,4,4.5,61.7,38,9.1,1,18.4,107.8,7.4,6,1,1.0,8.3,90.6,55,-2.9,1.66,0,0.0,76.4,10,12.5,1,10.0,80.1,1.8,1,0,0.0,3.8
Evan Bullock,170452,QB,LA TECH,11,-4.05,0.51,70.7,246,9.9,2.85,6,2.4,60.6,103,8.0,3,33.0,92.0,11.5,11,11,3.6,7.1,75.0,195,6.8,2.65,3,1.5,66.7,71,3.7,2,33.8,95.2,10.3,8,8,3.4,6.8,77.5,107,9.2,2.62,3,2.8,62.6,37,15.2,1,32.4,99.3,9.6,6,4,3.1,7.3,98.1,56,-2.2,1.65,0,0.0,85.7,5,7.7,0,40.0,110.3,3.2,3,1,1.6,6.2
Jalen Kitna,146688,QB,UAB,8,5.93,2.66,64.0,247,11.8,3.12,14,5.4,53.8,108,11.9,10,19.4,79.4,7.4,14,22,7.4,7.3,70.0,209,7.4,2.75,8,3.7,59.8,80,12.0,9,18.8,72.0,6.4,8,11,4.5,6.1,73.5,108,10.2,2.92,6,5.5,65.7,36,5.3,2,16.7,113.3,5.0,9,11,8.7,8.7,95.7,70,-3.3,1.57,0,0.0,90.0,8,4.5,1,0.0,99.0,0.0,3,0,0.0,5.8
Gio Lopez,172309,QB,S ALABAMA,11,4.9,0.83,67.5,246,12.7,3.12,18,6.9,58.9,112,5.8,5,13.4,95.2,5.2,13,13,4.2,8.4,72.3,159,9.6,3.06,13,7.9,63.5,76,5.6,2,17.1,99.1,6.6,8,6,2.9,7.8,75.0,152,8.9,2.57,5,3.1,68.4,44,3.7,3,4.5,106.6,1.3,9,7,4.1,8.6,95.3,65,-3.1,1.61,0,0.0,92.3,8,1.6,0,0.0,119.0,0.0,4,0,0.0,7.6
Parker Navarro,123758,QB,OHIO,13,5.61,3.71,71.4,280,10.9,2.92,14,4.7,64.3,101,5.3,11,15.8,88.5,4.8,13,17,4.8,8.1,72.3,202,9.6,2.9,7,3.4,63.9,74,5.1,5,13.5,82.3,4.3,5,10,4.1,7.0,74.5,95,11.4,2.82,7,6.7,69.5,28,5.7,6,25.0,106.3,5.9,8,7,5.4,10.7,100.0,17,-1.9,2.03,0,0.0,88.2,1,6.3,0,100.0,104.7,5.3,0,0,0.0,9.1
Alan Bowman,77679,QB,OKLA STATE,11,6.59,1.71,61.5,292,10.9,2.52,11,3.5,55.8,55,3.6,12,12.7,79.1,2.3,15,13,4.0,7.3,63.4,216,8.8,2.36,8,3.5,57.4,41,4.6,9,17.1,75.3,3.1,10,10,4.2,6.5,70.1,125,9.2,2.36,3,2.2,64.0,15,2.4,3,0.0,98.5,0.0,7,3,2.1,8.2,91.5,49,-3.0,1.45,0,0.0,83.7,1,4.7,0,0.0,106.5,0.0,2,0,0.0,6.3
Diego Pavia,156927,QB,VANDERBILT,13,6.29,3.03,68.8,269,11.5,3.08,19,6.5,56.9,143,6.1,4,10.5,98.8,4.7,19,5,1.5,7.7,69.6,211,9.8,2.94,13,5.7,57.3,98,5.5,3,8.2,86.4,3.3,9,4,1.5,6.8,74.7,88,10.8,3.09,6,6.3,63.6,51,5.1,1,13.7,130.8,6.5,11,1,0.9,9.8,92.3,30,-2.2,2.03,0,0.0,80.0,6,0.0,0,0.0,109.6,0.0,1,0,0.0,7.6
Spencer Petras,82136,QB,UTAH ST,9,-14.03,0.28,72.3,271,10.5,2.76,8,2.8,60.9,72,9.8,11,15.3,85.5,3.7,15,13,4.1,7.5,79.5,203,6.8,2.44,2,0.9,70.9,44,7.1,6,22.7,96.1,4.5,11,7,3.0,7.0,70.5,123,10.9,2.75,6,4.5,56.9,31,11.4,5,6.5,79.1,1.6,6,6,4.3,7.3,94.4,55,-2.0,1.49,0,0.0,89.1,3,3.9,0,33.3,100.5,1.8,2,0,0.0,5.2
Eli Holstein,172381,QB,PITTSBURGH,10,-8.92,-0.25,66.7,260,10.9,3.07,12,4.3,58.8,120,5.6,7,17.5,95.7,6.7,17,20,5.9,8.2,71.5,168,7.9,2.8,3,1.7,65.5,66,2.7,3,15.2,105.4,5.0,12,16,7.5,7.8,66.4,122,11.6,3.07,9,6.8,56.6,56,8.0,4,19.6,80.6,7.4,5,4,2.5,7.5,92.9,30,-2.8,1.5,0,0.0,86.7,2,0.0,0,0.0,81.3,0.0,0,0,0.0,3.5
Hayden Wolff,98362,QB,W MICHIGAN,13,1.69,4.13,73.9,281,10.0,2.99,10,3.4,64.1,100,5.3,8,22.0,96.2,7.0,16,11,3.4,8.1,75.8,199,6.8,2.68,5,2.4,65.8,59,7.1,3,23.7,89.6,6.3,8,7,3.1,6.1,77.1,117,11.5,3.15,5,4.0,67.5,43,2.5,5,18.6,111.8,6.3,10,4,2.9,10.3,94.1,35,-3.0,1.65,0,0.0,85.7,2,6.3,0,0.0,104.0,0.0,2,0,0.0,4.4
Keyone Jenkins,170403,QB,FIU,12,6.18,2.94,70.5,276,11.8,2.75,19,6.4,59.8,107,10.3,8,15.9,102.7,5.3,22,15,4.4,8.7,70.7,193,9.3,2.66,9,4.4,59.6,78,10.2,6,11.5,83.2,4.1,8,9,3.9,7.3,75.5,111,12.8,2.64,10,7.9,65.8,32,8.8,2,25.0,131.8,6.3,14,6,4.2,10.3,92.3,28,-1.2,1.63,0,0.0,82.1,3,4.2,0,0.0,90.0,0.0,0,0,0.0,5.6
Walker Eget,146170,QB,S JOSE ST,11,8.93,-0.83,64.4,314,13.2,2.52,18,5.3,55.4,79,6.5,10,5.1,81.2,1.2,13,8,2.2,7.8,64.5,252,12.9,2.55,14,5.1,54.4,68,8.1,9,5.9,75.3,1.5,8,7,2.4,7.7,69.9,79,10.7,2.2,4,4.6,63.3,11,2.0,1,0.0,99.4,0.0,5,1,1.1,6.9,93.3,17,-3.9,1.61,0,0.0,76.5,0,7.1,0,,78.8,0.0,0,0,0.0,3.1
Jack Lausch,162845,QB,NWESTERN,10,6.43,2.26,62.6,267,10.4,3.12,10,3.6,51.3,124,9.9,8,17.7,65.1,7.0,6,14,4.3,6.1,63.3,240,9.3,3.0,7,2.8,52.5,103,8.7,7,17.5,62.9,6.5,5,13,4.5,5.4,71.2,56,8.6,3.05,3,5.2,58.9,26,10.8,1,15.4,87.4,5.9,2,1,1.4,7.6,85.2,29,-2.1,1.96,0,0.0,75.9,5,4.3,0,0.0,90.4,0.0,1,0,0.0,3.3
Will Rogers,124184,QB,WASHINGTON,11,3.12,2.81,74.3,274,9.9,2.59,13,4.6,66.8,101,2.7,6,15.8,97.2,5.3,13,14,4.5,7.9,74.9,222,8.1,2.31,9,3.9,68.9,59,3.2,5,15.3,95.7,3.8,11,9,3.7,7.0,84.0,93,8.3,2.83,4,4.3,72.0,45,1.5,2,15.6,104.7,6.7,3,5,4.7,9.8,97.4,41,-3.4,1.61,0,0.0,90.2,3,2.6,1,0.0,95.4,0.0,1,0,0.0,7.4
Tyler Huff,142567,QB,JVILLE ST,14,-0.63,1.92,64.7,251,13.0,2.65,12,4.4,56.2,97,7.2,7,20.6,91.7,6.8,14,12,3.7,8.6,67.7,172,10.1,2.54,5,2.6,60.5,68,6.3,5,23.5,88.3,7.7,8,8,3.5,7.8,68.4,122,11.2,2.43,7,5.4,59.8,32,6.4,2,15.6,101.9,3.7,6,4,2.8,9.7,86.0,43,-2.6,1.52,0,0.0,83.7,3,2.7,0,33.3,101.5,2.2,0,0,0.0,8.3
Darian Mensah,169984,QB,TULANE,13,-2.91,2.06,72.0,250,13.6,3.45,17,6.3,62.0,106,8.8,6,16.0,112.8,5.7,21,15,4.7,9.9,75.4,132,9.0,3.18,5,3.5,67.4,51,6.3,0,15.7,110.8,5.1,7,5,3.0,8.4,76.0,155,13.3,3.28,12,7.4,64.5,57,9.9,6,17.5,115.4,5.6,15,11,5.8,10.4,100.0,37,-3.5,1.55,0,0.0,91.9,2,5.6,0,50.0,104.7,2.6,1,1,2.6,7.0
Hajj-Malik Williams,102348,QB,UNLV,12,10.74,2.66,60.0,211,14.1,3.11,15,6.7,52.6,99,9.8,5,26.3,96.6,8.9,18,12,3.9,7.7,61.2,125,12.0,3.09,7,5.3,53.6,61,9.5,3,27.9,73.6,9.9,4,9,5.1,6.3,70.6,129,10.4,2.72,8,5.8,64.3,41,6.7,2,24.4,125.3,6.1,15,4,2.3,9.0,95.2,43,-3.2,1.62,0,0.0,90.7,3,2.5,0,33.3,105.0,2.2,1,1,2.2,7.3
Jalon Daniels,122555,QB,KANSAS,12,-4.57,0.67,62.9,273,14.2,3.25,22,7.8,53.5,87,7.6,11,10.3,80.5,3.0,13,15,4.7,8.3,67.7,206,11.7,3.02,14,6.6,58.3,60,7.7,9,13.3,80.1,3.5,9,10,4.3,7.9,62.1,95,14.1,3.19,8,8.1,53.7,29,5.6,3,3.4,87.1,0.9,5,5,4.4,8.6,92.9,28,-3.2,1.3,0,0.0,89.3,2,3.8,1,0.0,90.0,0.0,1,0,0.0,6.3
Bryce Archie,156667,QB,USF,12,1.87,1.43,63.7,235,12.2,3.12,11,4.4,51.1,104,12.4,9,20.2,64.2,7.7,7,13,4.5,6.1,68.5,180,7.8,2.87,5,2.6,57.8,76,8.0,4,18.4,73.2,6.8,4,6,2.7,6.0,71.6,114,11.3,2.81,6,4.9,59.6,33,12.8,6,21.2,75.3,5.6,5,8,5.9,7.4,91.5,59,-1.7,1.64,0,0.0,88.1,5,3.7,1,0.0,104.3,0.0,2,1,1.6,8.0
Hunter Watson,183993,QB,SM HOUSTON,12,0.96,0.39,60.9,219,11.6,2.79,8,3.5,54.8,89,2.4,7,28.1,77.4,9.3,10,13,4.6,6.7,67.8,195,8.7,2.6,8,3.9,61.5,69,1.6,4,27.5,86.3,8.1,9,9,3.7,6.3,66.7,88,7.3,2.57,0,0.0,62.5,27,1.8,4,25.9,74.3,7.1,3,4,3.8,6.7,88.7,64,-2.6,1.78,0,0.0,85.9,7,0.0,1,14.3,93.3,1.5,2,0,0.0,5.5
Ashton Daniels,157259,QB,STANFORD,11,3.51,-1.05,70.1,236,11.0,3.3,9,3.5,59.7,126,6.0,12,15.9,73.1,6.8,10,16,5.0,6.8,73.2,181,9.0,3.19,7,3.6,61.3,91,7.5,6,18.7,79.8,7.4,7,9,3.6,6.6,73.2,91,9.7,3.06,2,2.1,64.8,41,1.7,6,7.3,62.8,2.9,3,7,6.5,5.5,93.8,36,-2.7,1.95,0,0.0,80.6,6,3.3,0,0.0,79.2,0.0,0,0,0.0,2.8
Ben Wooldridge,82115,QB,LA LAFAYET,11,3.85,4.09,74.1,257,10.3,2.72,10,3.6,63.0,85,10.0,6,14.1,102.9,4.1,16,7,2.2,8.9,74.3,156,7.3,2.33,5,3.0,62.8,44,10.9,5,20.5,82.8,5.2,7,6,3.2,6.4,79.1,138,10.3,2.86,5,3.5,66.7,46,9.8,1,6.5,122.6,1.9,10,1,0.6,10.5,94.1,37,-2.3,1.57,0,0.0,75.7,5,12.5,0,0.0,91.3,0.0,1,0,0.0,4.1
