player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Tucker Gleason,122475,QB,TOLEDO,12,422,152,62.5,70.1,7.8,4,2.4,6,3.4,2,12,8.4,2.39,74,10.8,4.9,107.6,235,59.1,69.8,6.8,8,3.3,11,4.0,6,12,9.7,2.74,77,10.4,3.1,86.0,127,39.4,51.4,5.9,3,2.2,8,4.9,5,6,12.9,3.02,151,9.9,9.9,58.6,260,70.8,77.6,7.8,9,3.3,9,3.1,3,18,7.6,2.37,0,,0.4,112.0
Sam Leavitt,175465,QB,ARIZONA ST,13,421,129,59.7,71.7,7.8,3,2.2,0,0.0,2,11,8.4,2.8,65,9.2,4.0,106.4,221,62.4,72.6,8.2,10,4.3,5,1.8,4,13,9.8,3.17,78,16.7,4.8,100.3,91,42.9,61.1,7.8,3,3.0,2,1.3,3,5,15.4,4.27,143,13.3,13.3,74.8,259,68.0,75.5,8.2,10,3.8,3,1.1,3,19,7.6,2.41,0,,0.0,112.3
Alonza Barnett III,156710,QB,JAMES MAD,12,420,128,49.2,71.4,6.6,8,6.1,5,3.1,1,8,10.2,2.75,59,33.9,12.7,88.1,227,66.1,76.4,7.7,6,2.6,8,3.0,3,18,8.8,2.81,57,24.6,5.3,110.2,62,25.8,59.5,3.3,2,2.9,5,4.0,1,2,12.1,3.88,116,29.3,29.3,44.8,293,67.2,76.8,8.2,12,4.1,8,2.6,3,24,8.9,2.37,0,,0.0,115.1
Nico Iamaleava,174728,QB,TENNESSEE,13,417,108,59.3,71.7,8.2,6,5.2,4,2.7,2,10,11.0,2.74,49,32.7,11.7,108.7,227,65.6,72.1,7.6,11,4.5,7,2.3,3,9,11.1,3.05,71,19.7,5.0,96.3,56,37.5,52.0,4.9,0,0.0,4,3.1,2,1,13.1,4.08,120,25.0,25.0,44.7,279,68.8,75.6,8.4,17,5.8,7,2.2,3,18,10.7,2.49,0,,0.0,111.5
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,13,412,121,56.2,67.3,8.0,5,3.9,5,3.7,3,9,9.5,2.61,41,9.8,3.1,96.7,259,62.2,70.0,6.9,14,5.1,8,2.7,6,5,9.5,2.78,59,8.5,1.8,79.4,79,39.2,54.8,4.6,3,3.7,5,4.7,4,2,11.8,3.83,100,9.0,9.0,41.2,301,65.8,72.1,7.9,16,5.0,8,2.4,5,12,9.0,2.38,0,,0.0,96.4
Luke Altmyer,146802,QB,ILLINOIS,13,411,149,52.3,65.1,7.4,7,4.4,6,3.1,2,11,12.1,2.84,85,23.5,11.0,95.5,201,66.2,75.5,8.1,13,5.9,8,3.2,4,11,9.4,3.07,69,14.5,4.4,100.8,105,44.8,58.8,5.9,5,4.3,5,3.0,0,4,11.2,3.72,154,19.5,19.5,76.6,245,66.9,75.5,8.6,15,5.7,9,3.3,6,18,10.2,2.52,0,,0.0,108.0
Avery Johnson,173108,QB,KANSAS ST,13,409,119,52.9,70.2,6.0,5,4.0,5,3.6,4,11,8.0,2.73,45,13.3,4.6,88.1,255,59.6,71.3,7.8,10,3.8,9,3.1,6,14,10.1,3.21,75,6.7,1.8,92.7,92,45.7,63.0,5.9,2,2.1,7,5.6,3,6,9.2,4.12,120,9.2,9.2,72.8,282,61.3,73.1,7.7,13,4.5,7,2.3,7,19,9.5,2.61,0,,0.0,97.3
Sawyer Robertson,146839,QB,BAYLOR,12,409,144,57.6,64.7,8.3,5,3.1,8,4.4,4,12,10.4,2.53,50,16.0,4.9,101.0,222,64.4,71.4,8.4,10,4.2,8,3.1,4,16,9.1,2.6,46,17.4,3.3,107.2,69,40.6,50.0,7.1,2,2.5,7,6.5,3,4,10.8,3.47,96,15.6,15.6,66.7,297,66.7,72.5,8.6,13,4.1,9,2.7,5,24,9.4,2.3,0,,0.3,113.6
Jake Retzlaff,70874,QB,BYU,13,409,147,51.7,63.4,7.1,1,0.6,13,7.4,7,5,11.2,2.69,52,11.5,3.7,66.1,223,61.4,74.9,8.6,11,4.7,5,1.9,5,15,11.0,2.74,64,17.2,4.5,102.0,87,37.9,52.9,5.2,0,0.0,10,7.8,5,1,15.1,3.56,116,14.7,14.7,35.3,283,63.6,74.9,8.8,12,4.0,8,2.6,7,19,10.0,2.39,0,,0.0,103.8
Anthony Colandrea,170131,QB,VIRGINIA,11,392,104,59.6,71.0,7.8,5,4.6,6,4.4,5,7,8.8,2.88,64,23.4,11.5,86.5,215,62.3,71.1,6.1,7,3.1,9,3.2,6,6,7.4,2.91,92,26.1,9.2,77.1,91,40.7,56.3,6.0,4,4.1,11,6.6,6,5,11.8,3.8,156,24.4,24.4,52.0,228,69.7,75.8,6.9,8,3.3,4,1.6,5,8,6.6,2.31,0,,0.4,91.4
Payton Thorne,101629,QB,AUBURN,11,387,125,59.2,69.6,8.3,2,1.5,1,0.6,1,10,9.8,2.63,51,25.5,8.8,109.2,194,64.4,75.3,8.7,8,4.0,6,2.4,8,11,10.2,2.85,64,21.9,5.8,93.6,64,34.4,46.9,7.2,2,2.9,3,2.5,4,2,14.2,3.86,115,22.6,22.6,45.2,255,69.4,78.4,8.8,8,3.1,4,1.4,5,19,9.2,2.3,0,,0.4,113.4
Danny O'Neil,184200,QB,S DIEGO ST,11,384,103,68.0,78.1,7.1,2,1.8,4,3.2,2,3,7.6,2.43,37,18.9,6.0,89.9,227,60.4,69.9,6.4,11,4.5,3,1.0,4,9,10.5,2.91,85,21.2,6.7,85.0,83,43.4,56.9,5.9,3,3.3,2,1.5,2,2,12.2,3.64,122,20.5,20.5,60.8,247,69.2,76.7,6.9,10,3.8,5,1.8,4,10,8.9,2.35,0,,0.0,95.2
Jacolby Criswell,122830,QB,N CAROLINA,12,382,114,52.6,68.4,7.8,5,4.1,4,2.8,1,8,10.0,2.76,75,18.7,10.3,98.2,209,60.3,69.0,7.5,5,2.3,8,3.1,5,7,10.2,3.02,77,13.0,4.1,84.7,109,33.9,48.8,5.9,8,6.8,5,3.1,3,2,14.8,3.43,152,14.5,14.5,49.5,214,69.6,77.0,8.5,2,0.9,7,2.9,3,13,8.2,2.59,0,,0.9,109.9
LaNorris Sellers,174326,QB,S CAROLINA,12,381,120,65.0,75.0,9.9,8,6.3,6,4.0,2,11,9.9,3.07,65,13.8,6.3,121.1,181,64.6,74.4,7.4,8,4.0,13,5.0,5,7,8.1,3.43,97,22.7,9.2,88.0,91,50.5,68.1,7.7,7,6.9,15,8.5,5,4,11.3,4.16,162,19.1,19.1,68.0,210,71.0,77.0,8.7,9,4.0,4,1.7,2,14,8.0,2.66,0,,0.0,115.6
C.J. Ogbonna,149182,QB,BUFFALO,13,380,132,55.3,65.3,6.9,7,5.1,7,4.6,2,9,10.2,2.29,47,17.0,5.5,93.2,205,57.1,70.0,7.2,16,7.4,5,2.0,3,10,9.9,2.63,73,17.8,5.6,89.6,89,39.3,59.4,6.0,5,5.3,4,3.2,1,5,13.6,3.16,120,17.5,17.5,74.1,248,62.5,70.5,7.4,18,6.9,8,3.0,4,14,9.1,2.19,0,,0.0,97.1
Garrett Greene,123420,QB,W VIRGINIA,11,375,104,59.6,71.6,8.2,6,5.2,4,2.8,3,6,11.5,2.85,62,17.7,8.5,93.1,211,60.2,69.5,6.8,12,5.3,11,4.2,9,9,9.7,3.1,58,19.0,4.5,77.1,75,42.7,55.7,7.2,6,7.1,3,2.3,4,3,13.6,3.94,120,18.3,18.3,58.8,240,65.4,74.0,7.3,12,4.7,12,4.4,8,12,9.4,2.58,0,,0.0,89.8
Miller Moss,70727,QB,USC,9,374,123,59.3,70.9,8.0,6,4.6,5,3.7,2,13,9.0,2.41,40,10.0,3.1,113.5,241,66.4,73.3,6.5,7,2.8,7,2.7,7,5,7.0,2.67,74,6.8,2.0,79.2,104,54.8,69.0,6.5,4,3.6,6,5.0,5,3,9.3,3.07,114,7.9,7.9,64.5,260,67.7,73.8,7.2,9,3.4,6,2.2,4,15,7.1,2.36,0,,0.0,101.3
Aidan Chiles,173727,QB,MICH STATE,12,374,134,61.2,68.8,8.6,6,4.2,8,4.9,3,6,10.6,2.79,50,22.0,7.2,94.4,190,57.9,67.8,6.7,7,3.5,12,5.2,8,7,9.8,3.3,93,17.2,7.2,72.8,100,43.0,56.8,6.2,6,5.7,8,5.3,4,4,12.2,3.89,143,18.9,18.9,60.3,224,66.5,72.4,8.0,7,3.0,12,5.0,7,9,9.4,2.6,0,,0.0,91.3
Brendon Lewis,131687,QB,NEVADA,12,371,99,70.7,80.7,9.4,5,4.6,3,2.2,1,4,9.8,2.94,60,23.3,11.4,109.4,216,65.3,74.3,6.3,6,2.6,9,3.4,6,12,9.5,3.03,79,10.1,3.2,89.7,98,54.1,69.5,6.2,4,3.6,6,3.9,3,2,11.7,4.01,139,15.8,15.8,67.0,217,72.8,78.8,7.8,7,3.0,6,2.4,4,14,8.8,2.39,0,,0.0,108.9
Jalen Milroe,146590,QB,ALABAMA,13,371,131,57.3,67.2,7.8,6,4.2,4,2.4,5,6,9.9,2.82,65,16.9,7.2,81.7,193,67.4,76.1,9.4,12,5.9,6,2.6,6,10,10.0,2.92,59,20.3,5.5,101.6,86,44.2,64.7,6.6,4,4.2,5,3.7,2,4,10.4,3.54,124,18.5,18.5,72.0,238,70.2,74.9,9.5,14,5.6,5,1.9,9,12,9.8,2.54,0,,0.0,101.3
Brady Cook,124199,QB,MISSOURI,12,367,85,60.0,68.3,9.1,7,7.8,0,0.0,0,6,11.2,2.67,37,21.6,8.1,113.4,237,63.3,71.9,7.4,6,2.4,4,1.4,2,5,9.2,2.76,63,23.8,5.6,89.4,68,47.1,57.4,5.6,4,5.6,2,1.9,1,2,10.2,3.56,100,21.0,21.0,68.4,254,66.5,74.3,8.5,9,3.4,2,0.7,1,9,9.6,2.43,0,,0.7,103.0
CJ Bailey,183349,QB,NC STATE,11,361,107,63.6,77.2,7.6,2,1.7,9,6.0,3,7,8.7,2.85,58,29.3,12.2,97.0,195,65.6,77.7,8.2,12,5.8,9,3.8,7,10,8.7,2.93,57,10.5,2.7,93.0,70,48.6,73.5,6.6,2,2.5,8,6.1,2,3,8.3,3.78,115,20.0,20.0,72.4,232,69.8,78.4,8.4,12,5.0,10,3.9,8,14,8.7,2.49,0,,0.0,101.1
Kurtis Rourke,97998,QB,INDIANA,12,360,121,68.6,74.1,9.1,9,6.8,4,2.6,1,10,10.6,2.5,38,36.8,9.9,121.4,201,69.2,74.6,9.6,10,4.8,6,2.6,4,19,10.3,2.58,37,16.2,2.8,123.1,43,48.8,55.3,9.4,4,8.5,3,3.7,1,3,15.1,3.58,75,26.7,26.7,95.4,279,72.0,77.1,9.5,15,5.1,7,2.3,4,26,9.7,2.28,0,,0.0,126.6
Evan Simon,129906,QB,TEMPLE,9,359,134,57.5,71.1,6.9,3,2.1,4,2.5,4,10,7.7,2.38,77,11.7,6.1,91.2,173,59.0,73.7,6.2,9,4.9,7,3.1,5,5,7.6,3.09,90,18.9,8.1,74.6,122,40.2,58.7,5.3,6,4.5,6,3.4,2,6,9.5,3.4,167,15.6,15.6,67.3,185,70.3,79.6,7.3,6,3.1,5,2.5,7,9,6.7,2.27,0,,0.0,91.5
Evan Bullock,170452,QB,LA TECH,11,358,107,61.7,72.0,7.4,3,2.8,5,3.8,2,7,8.4,2.44,54,25.9,10.9,98.3,195,67.2,78.0,6.7,3,1.5,7,3.0,1,7,7.3,2.76,54,40.7,9.6,95.8,63,55.6,76.9,6.6,3,4.5,4,3.6,0,2,8.2,3.34,108,31.5,31.5,86.6,239,67.8,75.7,7.0,3,1.2,8,3.1,3,12,7.5,2.34,0,,0.8,99.3
Jalen Kitna,146688,QB,UAB,8,357,155,63.2,72.7,7.6,10,6.3,11,6.3,2,8,8.9,2.58,57,17.5,5.9,98.3,162,60.5,69.7,6.4,4,2.4,11,5.6,9,9,7.8,3.01,59,18.6,5.9,74.4,84,33.3,48.6,4.0,3,3.3,15,12.1,7,3,11.6,3.54,116,18.1,18.1,23.7,233,72.1,78.4,8.0,11,4.6,7,2.8,4,14,7.4,2.45,0,,0.0,108.5
Gio Lopez,172309,QB,S ALABAMA,11,356,100,67.0,75.5,9.0,9,8.0,4,3.2,1,8,9.4,2.55,41,12.2,4.5,117.9,211,65.4,72.7,7.8,9,4.2,9,3.6,4,9,9.2,2.97,79,12.7,4.1,95.6,91,49.5,65.3,6.1,4,4.0,11,8.3,3,5,11.3,3.58,120,12.5,12.5,73.5,220,72.7,76.5,9.1,14,6.2,2,0.8,2,12,8.5,2.47,0,,0.0,114.9
Parker Navarro,123758,QB,OHIO,13,354,82,59.8,66.2,7.4,3,3.4,3,2.9,1,6,9.8,2.69,35,20.0,7.3,102.0,215,67.9,75.6,8.4,11,4.9,14,5.2,10,7,10.3,2.94,67,14.9,3.9,85.3,63,50.8,64.2,7.5,6,8.5,7,6.4,4,5,13.1,3.87,102,16.7,16.7,75.5,234,69.7,75.1,8.3,8,3.3,10,3.8,7,8,9.5,2.47,0,,0.0,93.8
Alan Bowman,77679,QB,OKLA STATE,11,352,93,57.0,60.7,7.1,2,1.9,4,3.7,4,8,7.8,2.07,21,14.3,3.1,89.9,248,60.9,67.8,7.2,9,3.4,9,3.3,8,9,9.3,2.47,35,11.4,1.6,81.4,49,46.9,63.9,7.7,2,3.7,2,3.3,3,4,9.8,3.43,56,12.5,12.5,75.0,292,62.0,66.1,7.1,9,2.9,11,3.5,9,13,8.8,2.16,0,,0.0,85.2
Diego Pavia,156927,QB,VANDERBILT,13,352,123,56.9,67.6,6.9,5,3.8,2,1.3,3,10,8.4,2.96,74,10.8,5.3,95.4,176,60.8,73.4,8.2,14,7.3,3,1.4,1,10,11.3,3.0,75,9.3,3.5,103.3,111,42.3,59.0,5.5,6,4.8,4,2.5,2,9,11.4,3.72,149,10.1,10.1,79.8,188,69.1,76.7,8.9,13,6.5,1,0.5,2,11,9.5,2.44,0,,0.0,112.0
Spencer Petras,82136,QB,UTAH ST,9,350,66,59.1,73.0,7.6,2,2.7,3,3.7,3,6,10.3,2.34,27,18.5,6.9,94.3,260,67.3,77.0,7.0,6,2.2,10,3.4,8,11,7.7,2.61,48,14.6,2.5,88.5,56,39.3,59.1,4.2,2,3.2,4,4.8,4,4,13.9,3.58,75,16.0,16.0,46.2,270,71.1,79.1,7.7,6,2.1,9,3.1,7,13,7.3,2.27,0,,0.0,98.7
Eli Holstein,172381,QB,PITTSBURGH,10,349,76,61.8,72.1,7.0,3,3.7,3,3.0,2,6,7.4,2.5,36,16.7,6.4,98.3,214,61.7,68.5,7.9,9,3.9,17,6.2,5,11,10.1,3.07,86,17.4,5.9,93.8,77,49.4,58.2,6.8,4,4.5,10,7.3,2,3,11.2,3.96,122,17.2,17.2,73.9,213,66.2,73.0,8.0,8,3.6,10,4.2,5,14,8.9,2.35,0,,0.0,102.6
Hayden Wolff,98362,QB,W MICHIGAN,13,349,107,64.5,70.9,8.6,5,4.5,6,5.0,4,12,11.1,2.76,42,16.7,6.1,113.5,209,67.5,79.3,7.2,5,2.3,5,2.1,4,6,7.1,2.9,60,25.0,6.4,89.8,74,50.0,63.9,7.4,4,5.1,5,4.7,3,3,11.6,3.47,102,21.6,21.6,71.0,242,71.5,79.6,7.8,6,2.4,6,2.3,5,15,7.7,2.6,0,,0.0,106.0
Keyone Jenkins,170403,QB,FIU,12,348,117,58.1,67.9,8.5,8,6.3,6,4.2,2,13,11.6,2.56,43,25.6,8.5,115.9,187,64.2,75.4,8.4,11,5.5,9,3.9,6,9,10.0,2.71,67,9.0,2.8,93.1,77,41.6,54.0,4.5,2,2.3,10,8.1,2,4,10.3,3.4,110,14.5,14.5,62.1,227,68.7,77.7,9.7,17,7.1,5,2.0,6,18,10.7,2.3,0,,0.4,115.3
Walker Eget,146170,QB,S JOSE ST,11,346,90,50.0,61.3,5.3,4,4.0,1,1.0,2,2,11.1,2.39,28,7.1,2.1,64.2,241,58.9,67.4,8.4,14,5.4,7,2.6,8,11,12.9,2.5,51,3.9,0.8,87.4,70,34.3,49.1,6.9,6,7.3,2,2.2,4,1,16.6,3.25,79,5.1,5.1,40.2,261,62.5,69.3,7.7,12,4.3,6,2.1,6,12,11.5,2.24,0,,0.0,92.0
Jack Lausch,162845,QB,NWESTERN,10,344,110,45.5,58.6,5.6,5,4.2,4,2.9,3,4,9.1,2.8,59,15.3,7.1,64.1,186,58.6,68.4,5.9,5,2.6,10,4.5,5,3,9.2,3.13,70,18.6,6.0,69.6,89,36.0,58.5,4.5,4,4.1,5,3.6,2,2,11.0,3.72,129,17.1,17.1,48.9,207,61.4,66.8,6.3,6,2.8,9,4.1,6,5,8.6,2.59,0,,0.0,75.6
Will Rogers,124184,QB,WASHINGTON,11,342,134,63.4,73.3,7.8,7,5.0,6,3.9,3,9,8.6,2.41,54,20.4,7.4,100.5,181,74.6,80.2,7.8,6,3.2,8,4.1,4,5,7.8,2.52,50,10.0,2.6,96.8,81,50.6,62.7,6.2,5,5.9,7,6.5,3,2,11.0,3.18,104,14.4,14.4,62.9,234,76.5,81.8,8.4,8,3.3,7,2.9,4,12,7.3,2.16,0,,0.4,110.6
Tyler Huff,142567,QB,JVILLE ST,14,341,106,50.9,60.6,8.2,7,6.4,5,3.9,2,6,12.9,2.44,46,26.1,9.6,89.6,188,65.4,72.1,8.8,5,2.4,7,2.9,5,8,9.2,2.54,54,16.7,4.2,96.3,62,35.5,45.5,5.0,4,5.7,5,4.5,1,5,14.1,3.42,100,21.0,21.0,72.8,232,66.8,73.5,9.5,8,3.2,7,2.7,6,9,9.7,2.12,0,,0.0,99.6
Darian Mensah,169984,QB,TULANE,13,337,113,66.4,75.5,10.1,9,7.3,5,3.4,2,15,11.9,3.15,56,16.1,6.6,131.8,174,65.5,75.9,9.1,8,4.4,11,5.3,4,7,10.9,3.29,52,17.3,4.5,98.3,73,57.5,75.4,10.0,3,3.8,5,4.3,3,6,11.1,4.02,108,15.7,15.7,102.0,214,68.7,75.8,9.3,14,6.2,11,4.6,3,16,11.4,2.87,0,,0.4,117.2
Hajj-Malik Williams,102348,QB,UNLV,12,336,78,61.5,68.0,8.6,3,3.8,4,4.0,2,9,10.9,2.52,34,35.3,12.1,117.0,176,58.0,65.1,7.2,12,6.3,9,3.6,3,10,11.3,3.07,68,22.1,6.3,92.3,38,31.6,48.5,3.2,1,2.3,5,4.6,3,1,17.5,4.18,102,26.5,26.5,17.4,216,63.9,68.7,8.4,14,6.2,8,3.3,2,18,10.2,2.36,0,,0.0,114.4
Jalon Daniels,122555,QB,KANSAS,12,334,128,51.6,62.6,7.5,11,8.2,6,4.2,4,6,12.3,3.02,54,7.4,2.9,79.0,173,60.7,68.3,8.6,11,6.2,9,4.4,8,8,12.5,3.11,35,14.3,2.5,84.7,70,35.7,55.8,4.7,7,9.6,4,4.2,3,2,12.8,4.26,89,10.1,10.1,43.3,231,63.2,68.3,9.2,15,6.3,11,4.3,9,12,12.3,2.64,0,,0.0,94.1
Bryce Archie,156667,QB,USF,12,333,81,54.3,67.6,7.2,3,3.6,5,4.9,6,4,10.5,2.7,47,34.0,16.2,63.1,213,60.1,70.4,6.2,8,3.5,9,3.6,4,5,8.8,2.91,62,8.1,2.1,78.2,77,41.6,55.6,4.6,2,2.4,6,5.1,4,2,11.0,3.6,109,19.3,19.3,43.1,217,64.5,73.9,7.2,9,3.9,8,3.4,6,7,8.7,2.48,0,,0.0,85.0
Hunter Watson,183993,QB,SM HOUSTON,12,333,108,59.3,63.4,6.4,4,3.5,5,3.8,4,8,8.8,2.41,45,26.7,9.5,87.3,175,63.4,69.9,6.4,4,2.2,8,3.7,4,4,7.9,2.7,51,27.5,6.8,79.7,56,33.9,43.2,3.0,0,0.0,5,4.9,3,1,11.7,3.51,96,27.1,27.1,26.5,227,68.7,72.3,7.2,8,3.4,8,3.2,5,11,7.6,2.22,0,,0.0,96.4
Ashton Daniels,157259,QB,STANFORD,11,332,90,65.6,76.2,7.1,1,1.0,4,3.5,3,5,9.2,2.73,42,21.4,8.5,91.0,182,61.0,71.6,5.8,8,4.1,12,4.9,9,5,9.3,3.35,90,12.2,4.9,65.7,84,47.6,64.5,5.8,4,4.3,9,6.3,6,3,12.3,4.1,132,15.2,15.2,48.3,188,69.1,76.1,6.4,5,2.5,7,3.3,6,7,8.2,2.52,0,,0.0,85.6
Ben Wooldridge,82115,QB,LA LAFAYET,11,332,113,57.5,71.7,6.9,0,0.0,4,2.9,5,7,9.1,2.48,36,19.4,5.4,81.1,181,69.1,79.5,9.2,10,5.2,3,1.4,1,10,8.5,2.65,54,9.3,2.5,114.2,65,53.8,66.7,7.8,4,5.5,1,1.0,1,4,10.0,3.36,90,13.3,13.3,93.7,229,67.7,78.9,8.5,6,2.5,6,2.4,5,13,8.4,2.3,0,,0.0,103.6
Jackson Arnold,173684,QB,OKLAHOMA,10,327,84,53.6,62.7,5.9,1,1.1,2,1.7,2,6,8.1,2.72,55,25.5,12.3,85.2,162,67.3,77.3,5.6,6,3.5,6,2.7,1,6,7.6,3.03,77,28.6,10.3,91.5,62,46.8,63.3,6.1,3,4.3,5,3.5,2,4,10.9,3.7,132,27.3,27.3,74.6,184,67.9,75.0,5.6,4,2.1,3,1.5,1,8,6.9,2.39,0,,0.0,94.3
Kaidon Salter,132046,QB,LIBERTY,11,314,100,52.0,62.2,6.0,7,6.3,10,7.0,2,6,12.4,3.05,51,31.4,12.2,82.1,162,58.0,69.0,7.9,12,7.1,4,2.1,4,9,11.5,2.95,44,9.1,2.2,91.4,55,25.5,36.4,4.7,5,7.9,8,7.6,4,1,22.6,4.42,95,20.0,20.0,22.2,207,63.8,73.0,7.8,14,6.4,6,2.6,2,14,9.5,2.38,0,,0.5,106.3
Michael Van Buren Jr.,184764,QB,MISS STATE,9,311,80,43.8,57.4,6.0,6,6.8,1,0.9,0,4,12.9,2.59,40,20.0,8.2,80.0,176,59.7,69.3,8.0,8,4.3,10,4.4,7,7,10.8,2.81,73,24.7,8.5,81.8,70,37.1,56.6,6.1,5,6.4,6,4.8,2,0,14.0,3.38,113,23.0,23.0,46.7,186,61.3,68.5,7.8,9,4.6,5,2.4,5,11,10.6,2.38,0,,0.0,94.3
Braedyn Locke,157141,QB,WISCONSIN,10,311,116,51.7,67.7,5.9,5,3.9,3,2.3,1,7,8.6,2.22,29,10.3,2.5,86.5,180,57.8,69.6,6.9,5,2.7,15,7.5,9,6,8.8,2.77,38,18.4,3.6,69.4,55,29.1,46.2,3.5,2,3.2,7,9.2,5,3,10.8,3.15,67,14.9,14.9,21.8,241,61.4,72.8,7.2,8,3.2,11,4.3,5,10,8.4,2.39,0,,0.0,88.6
Christian Veilleux,145086,QB,GA STATE,10,310,71,60.6,71.9,7.7,6,8.1,2,2.4,3,7,11.4,2.32,34,14.7,6.4,100.0,222,56.3,69.4,6.8,5,2.1,13,5.2,8,6,9.1,2.38,54,9.3,2.2,71.4,74,41.9,62.3,6.1,4,4.8,7,7.1,7,5,13.3,2.95,88,11.4,11.4,45.6,219,62.6,72.2,7.3,7,3.1,8,3.5,4,8,8.5,2.13,0,,0.0,89.4
Marcel Reed,175940,QB,TEXAS A&M,10,299,97,51.5,62.5,6.4,3,2.9,1,0.8,2,4,9.8,2.93,51,9.8,4.3,76.7,146,66.4,71.1,8.6,5,3.3,9,4.8,4,11,10.4,3.23,45,17.8,4.4,106.8,59,39.0,46.2,4.4,2,3.2,5,5.1,2,2,12.6,3.79,96,13.5,13.5,50.1,184,67.4,74.2,8.7,6,3.1,5,2.4,4,13,9.5,2.8,0,,0.0,109.1
Ethan Vasko,163817,QB,COAST CAR,12,292,84,59.5,69.9,9.0,6,6.7,1,1.1,2,10,9.2,2.29,27,0.0,0.0,118.9,188,52.1,62.9,7.2,13,6.5,10,4.5,6,4,11.5,2.69,64,9.4,2.9,69.3,77,40.3,54.4,6.7,5,6.1,5,5.1,5,3,12.8,3.29,91,6.6,6.6,49.3,195,60.0,68.9,8.2,14,6.7,6,2.8,3,11,10.0,2.25,0,,0.0,98.7
Ethan Hampton,145858,QB,N ILLINOIS,11,291,76,52.6,66.7,7.7,1,1.2,2,2.0,2,5,8.9,2.62,34,26.5,9.8,89.1,173,60.1,72.9,5.9,4,2.2,10,4.8,4,7,7.9,2.58,59,10.2,3.0,80.4,64,32.8,50.0,5.9,2,2.9,6,6.2,3,3,11.5,3.31,93,16.1,16.1,49.9,185,66.5,76.6,6.6,3,1.5,6,2.9,3,9,7.3,2.26,0,,0.0,94.6
Davis Bryson,160369,QB,KENNESAW,11,291,78,48.7,52.7,6.1,1,1.2,4,4.2,5,5,8.3,2.32,35,25.7,9.9,62.7,184,57.6,67.8,5.5,3,1.6,6,2.9,5,1,6.9,2.4,46,13.0,3.0,63.7,62,35.5,49.0,4.5,1,1.4,3,3.4,4,3,11.0,3.01,81,17.3,17.3,39.6,200,61.0,66.8,6.1,3,1.5,7,3.3,6,3,6.4,2.13,0,,0.5,70.8
Taisun Phommachanh,99577,QB,UMASS,9,288,58,56.9,74.0,6.1,2,3.2,1,1.2,0,2,7.6,2.65,23,39.1,12.0,86.6,177,55.9,65.9,7.0,6,3.1,8,3.5,6,6,10.6,2.9,73,17.8,6.1,75.1,52,30.8,52.6,4.5,1,1.6,3,2.8,1,2,11.8,3.93,96,22.9,22.9,51.4,183,63.4,71.0,7.4,7,3.6,6,3.0,5,6,9.5,2.28,0,,0.0,85.5
Haynes King,124329,QB,GA TECH,11,285,102,74.5,84.0,7.2,2,1.9,1,0.9,1,7,4.5,2.33,29,3.4,0.9,113.0,169,71.0,81.3,8.1,6,3.3,2,1.1,1,7,7.0,2.53,31,22.6,3.9,106.3,49,44.9,62.5,4.8,1,1.7,2,2.9,1,2,7.7,3.12,60,13.3,13.3,64.8,222,78.4,86.1,8.4,7,3.1,1,0.4,1,12,5.8,2.28,0,,0.0,117.8
Hudson Card,123109,QB,PURDUE,10,285,98,52.0,66.7,6.5,3,3.0,3,2.5,2,3,10.7,3.14,60,21.7,11.1,74.1,152,61.2,75.6,6.6,5,3.1,6,3.3,5,6,8.5,3.06,63,11.1,4.2,80.2,96,38.5,56.0,5.0,2,1.9,6,4.5,5,0,11.3,3.74,123,16.3,16.3,33.4,154,69.5,80.3,7.5,6,3.8,3,1.8,2,9,8.4,2.61,0,,0.0,105.4
