player,player_id,position,team_name,player_game_count,base_dropbacks,blitz_attempts,blitz_completion_percent,blitz_accuracy_percent,blitz_ypa,blitz_big_time_throws,blitz_btt_rate,blitz_turnover_worthy_plays,blitz_twp_rate,blitz_interceptions,blitz_touchdowns,blitz_avg_depth_of_target,blitz_avg_time_to_throw,blitz_def_gen_pressures,blitz_pressure_to_sack_rate,blitz_sack_percent,blitz_qb_rating,no_blitz_attempts,no_blitz_completion_percent,no_blitz_accuracy_percent,no_blitz_ypa,no_blitz_big_time_throws,no_blitz_btt_rate,no_blitz_turnover_worthy_plays,no_blitz_twp_rate,no_blitz_interceptions,no_blitz_touchdowns,no_blitz_avg_depth_of_target,no_blitz_avg_time_to_throw,no_blitz_def_gen_pressures,no_blitz_pressure_to_sack_rate,no_blitz_sack_percent,no_blitz_qb_rating,pressure_attempts,pressure_completion_percent,pressure_accuracy_percent,pressure_ypa,pressure_big_time_throws,pressure_btt_rate,pressure_turnover_worthy_plays,pressure_twp_rate,pressure_interceptions,pressure_touchdowns,pressure_avg_depth_of_target,pressure_avg_time_to_throw,pressure_def_gen_pressures,pressure_pressure_to_sack_rate,pressure_sack_percent,pressure_qb_rating,no_pressure_attempts,no_pressure_completion_percent,no_pressure_accuracy_percent,no_pressure_ypa,no_pressure_big_time_throws,no_pressure_btt_rate,no_pressure_turnover_worthy_plays,no_pressure_twp_rate,no_pressure_interceptions,no_pressure_touchdowns,no_pressure_avg_depth_of_target,no_pressure_avg_time_to_throw,no_pressure_def_gen_pressures,no_pressure_pressure_to_sack_rate,no_pressure_sack_percent,no_pressure_qb_rating
Josh Hoover,127148,QB,TCU,13,508,167,66.5,74.1,8.6,6,3.4,4,2.1,4,13,8.1,2.29,62,11.3,3.9,109.2,307,66.1,78.1,8.2,11,3.4,14,4.1,7,14,8.4,2.54,65,12.3,2.4,97.1,97,48.5,62.4,7.5,1,1.0,8,5.9,5,9,10.9,3.32,127,11.8,11.8,83.1,377,70.8,80.0,8.6,16,4.1,10,2.5,6,18,7.7,2.16,0,,0.0,106.0
Quinn Ewers,127253,QB,TEXAS,14,503,157,64.3,77.5,7.8,7,4.4,6,3.3,4,12,6.8,2.44,70,21.4,8.3,103.2,287,66.6,74.9,7.8,13,4.3,15,4.4,8,19,8.5,2.67,72,25.0,5.6,100.5,97,50.5,71.3,6.0,3,3.0,8,5.5,4,4,8.5,3.29,142,23.2,23.2,65.8,347,70.0,76.9,8.3,17,4.7,13,3.4,8,27,7.8,2.31,0,,0.0,111.4
Jaylen Raynor,172203,QB,ARK STATE,13,502,141,58.2,68.4,6.8,11,7.3,5,2.8,2,6,11.5,2.54,61,27.9,10.0,87.2,280,63.6,70.9,6.5,6,2.0,13,3.7,8,10,9.0,2.8,102,14.7,4.5,82.2,96,51.0,57.5,6.1,3,2.8,5,2.8,3,3,11.9,3.64,163,19.0,19.0,67.4,325,64.9,73.6,6.8,14,4.1,13,3.6,7,13,9.2,2.27,0,,0.3,88.7
Brayden Schager,146078,QB,HAWAII,11,498,156,53.8,68.5,6.2,3,1.8,5,2.6,5,4,8.8,2.71,90,22.2,10.6,67.9,247,59.9,69.8,6.6,11,4.2,12,3.7,8,15,11.2,3.1,93,22.6,6.8,86.1,121,42.1,62.4,5.8,4,3.0,8,4.1,7,4,12.4,3.56,183,22.4,22.4,48.2,282,64.2,71.8,6.7,10,3.4,9,2.8,6,15,9.5,2.6,0,,0.0,92.3
Carson Beck,124010,QB,GEORGIA,13,494,151,62.9,70.9,7.0,4,2.5,5,2.9,4,12,8.4,2.37,39,12.8,3.1,99.0,298,65.4,77.2,8.1,19,6.0,15,4.2,8,16,9.0,2.6,66,19.7,3.9,97.1,70,38.6,53.6,5.6,5,6.3,11,9.4,5,5,14.1,3.42,105,16.2,16.2,51.7,379,69.4,78.4,8.1,18,4.5,9,2.2,7,23,8.0,2.28,0,,0.3,106.2
Dillon Gabriel,86272,QB,OREGON,14,492,141,72.3,80.0,8.8,4,2.7,2,1.2,1,15,6.5,2.6,53,13.2,4.4,131.5,310,72.3,82.8,8.4,11,3.4,6,1.7,5,15,7.3,2.86,84,14.3,3.6,106.9,104,53.8,67.8,8.6,4,3.7,3,2.1,1,8,11.4,3.6,137,13.1,13.1,104.3,347,77.8,85.5,8.5,11,3.0,5,1.3,5,22,5.9,2.46,0,,0.3,117.4
Nicholas Vattiato,145302,QB,MIDDLE TN,12,489,147,62.6,74.6,8.1,5,3.2,5,2.7,3,8,9.1,2.33,57,29.8,9.8,97.6,273,64.8,75.4,6.9,11,3.8,9,2.7,7,8,8.3,2.74,87,13.8,3.8,84.1,88,48.9,66.7,6.5,2,2.1,5,3.2,4,8,11.1,3.48,144,20.1,20.1,81.4,332,68.1,77.0,7.5,14,4.0,9,2.5,6,8,8.0,2.23,0,,0.0,90.8
Noah Fifita,158722,QB,ARIZONA,12,488,173,62.4,74.7,8.3,7,3.8,5,2.4,6,10,10.5,2.86,78,15.4,6.1,93.6,257,59.1,72.6,5.9,9,3.4,9,3.0,6,8,7.6,3.34,92,18.5,5.8,76.6,122,46.7,73.5,7.2,10,7.9,5,2.8,4,8,13.8,4.16,170,17.1,17.1,79.3,308,65.9,73.4,6.7,6,1.9,9,2.7,8,10,7.3,2.6,0,,0.0,85.1
JC French,162521,QB,GA SOUTHRN,13,483,121,54.5,62.8,5.8,6,4.5,5,3.2,4,5,9.4,2.53,55,18.2,7.0,71.7,290,69.7,79.6,7.4,12,3.9,15,4.1,7,12,6.9,2.68,86,19.8,5.0,94.6,92,43.5,60.5,6.4,5,5.1,12,7.8,6,4,10.6,3.42,141,17.7,17.7,52.4,319,71.5,78.2,7.0,13,3.8,8,2.2,5,13,6.9,2.32,0,,0.6,98.0
Riley Leonard,143862,QB,NOTRE DAME,16,476,151,69.5,82.4,8.3,13,7.8,1,0.5,2,12,8.0,2.72,70,14.3,5.6,115.5,254,64.6,75.7,6.3,5,1.9,9,2.9,6,9,7.3,2.87,83,10.8,3.0,84.1,98,42.9,63.9,4.3,3,2.8,6,3.6,2,2,9.5,3.83,153,12.4,12.4,53.9,307,73.9,81.6,7.9,15,4.6,4,1.2,6,19,7.1,2.33,0,,0.0,109.2
Kadin Semonza,174001,QB,BALL ST,12,475,146,62.3,69.3,7.8,7,4.5,6,3.6,3,10,7.6,2.16,45,26.7,7.5,100.6,281,65.5,75.6,6.4,9,3.1,10,3.0,7,15,7.5,2.44,77,26.0,6.3,90.8,82,45.1,52.9,5.9,2,2.2,11,8.5,3,3,11.0,3.17,122,26.2,26.2,61.1,345,69.0,77.7,7.1,14,3.9,5,1.4,7,22,6.8,2.06,0,,0.0,102.0
Jaxson Dart,146409,QB,OLE MISS,13,474,148,66.2,75.9,12.0,13,8.4,2,1.1,2,12,12.4,2.62,71,22.5,9.3,128.7,251,70.9,78.7,10.0,17,6.4,9,2.8,4,17,11.7,2.86,75,16.0,4.0,118.6,89,46.1,59.5,10.2,9,9.0,5,3.1,3,4,17.7,3.59,146,19.2,19.2,83.9,310,75.8,82.1,10.9,21,6.5,6,1.8,3,25,10.5,2.41,0,,0.0,133.4
Cole Snyder,97617,QB,E MICHIGAN,12,466,131,55.0,71.2,7.4,10,6.9,2,1.2,1,6,9.7,2.47,57,26.3,9.7,90.7,274,61.3,72.2,6.3,8,2.8,14,4.3,8,9,9.3,2.67,82,18.3,4.8,78.2,93,40.9,62.5,5.4,7,7.1,4,2.7,0,2,13.4,3.48,139,20.9,20.9,65.8,312,64.7,74.0,7.0,11,3.3,12,3.4,9,13,8.6,2.23,0,,0.3,87.1
Billy Edwards Jr.,144185,QB,MARYLAND,11,465,117,69.2,78.4,8.2,9,7.2,3,2.2,3,8,8.6,2.26,46,10.9,3.9,106.3,306,62.7,71.1,6.3,9,2.8,9,2.5,6,7,8.5,2.37,91,13.2,3.6,79.9,105,41.0,52.2,4.8,7,6.0,5,3.3,3,5,14.8,3.04,137,12.4,12.4,60.2,318,72.3,79.3,7.5,11,3.3,7,2.0,6,10,6.7,2.05,0,,0.0,96.1
E.J. Warner,156185,QB,RICE,11,461,148,56.8,64.7,7.0,4,2.5,5,3.0,4,9,8.9,2.29,55,3.6,1.3,87.4,292,64.0,71.8,5.8,9,3.0,12,3.8,9,8,7.0,2.68,73,6.8,1.6,75.8,114,45.6,54.0,5.6,4,3.2,6,4.3,4,5,10.4,3.27,128,5.5,5.5,63.3,326,67.2,74.4,6.4,9,2.7,11,3.2,9,12,6.7,2.27,0,,0.0,85.5
Fernando Mendoza,158323,QB,CAL,11,460,125,60.8,68.6,8.7,8,5.8,4,2.3,0,9,10.2,2.56,76,32.9,15.9,113.0,265,71.3,78.7,7.2,4,1.4,13,4.1,6,7,7.5,2.6,80,18.8,5.0,91.0,99,48.5,63.9,5.8,4,3.6,7,4.1,2,5,10.1,3.23,156,25.6,25.6,75.2,291,74.6,78.9,8.3,8,2.6,10,3.1,4,11,7.9,2.25,0,,0.0,105.8
Drew Allar,164157,QB,PENN STATE,16,459,159,69.2,75.2,8.8,9,5.3,4,2.1,2,13,9.8,2.7,61,16.4,5.5,118.4,235,64.7,71.5,8.2,12,5.0,6,2.1,6,11,8.6,3.02,82,13.4,4.0,95.1,96,46.9,58.1,7.1,9,8.9,1,0.7,2,2,11.3,3.89,143,14.7,14.7,68.8,298,72.8,77.3,8.9,12,3.9,9,2.8,6,22,8.5,2.45,0,,0.0,116.0
Will Howard,122599,QB,OHIO STATE,16,458,144,74.3,78.4,10.3,5,3.3,5,3.2,1,15,7.5,2.48,46,8.7,2.6,138.9,279,72.0,80.2,9.0,17,5.8,10,3.1,9,20,9.0,2.75,77,15.6,3.9,110.1,100,57.0,73.2,8.3,2,1.9,8,6.2,4,7,9.1,3.23,123,12.2,12.2,90.8,323,77.7,81.3,9.8,20,6.0,7,2.0,6,28,8.3,2.45,0,,0.3,128.8
Max Brosmer,105568,QB,MINNESOTA,13,458,131,61.1,75.0,6.0,4,2.9,3,1.8,2,9,8.9,2.9,62,24.2,9.3,94.7,275,68.4,78.7,7.3,9,3.1,5,1.6,4,9,8.6,2.67,61,19.7,4.1,94.4,84,41.7,60.0,5.4,3,3.4,1,0.8,3,3,11.2,3.39,123,21.1,21.1,56.2,322,72.4,81.2,7.3,10,3.0,7,2.0,3,15,8.2,2.52,0,,0.3,104.4
Taylen Green,145996,QB,ARKANSAS,13,458,128,53.9,64.9,8.1,10,7.6,7,4.3,4,8,11.5,3.07,72,20.8,9.6,88.4,257,62.6,72.6,8.2,12,4.5,10,3.2,5,7,10.4,3.25,105,16.2,5.6,89.5,123,40.7,57.9,5.9,11,8.6,7,3.8,4,4,12.5,4.14,177,16.4,16.4,57.6,262,68.7,74.6,9.3,11,4.0,10,3.4,5,11,10.1,2.59,0,,1.1,104.0
Dylan Raiola,183581,QB,NEBRASKA,13,454,181,63.0,72.8,6.6,7,3.5,6,2.7,7,7,8.0,2.6,81,16.0,6.6,78.9,232,69.0,73.8,7.0,10,4.1,6,2.3,4,6,8.0,2.81,59,20.3,4.7,90.1,113,52.2,67.8,6.7,4,3.3,7,4.7,2,3,9.8,3.59,140,17.1,17.1,75.1,300,71.7,75.1,6.9,13,4.0,5,1.5,9,10,7.5,2.33,0,,0.3,89.0
Athan Kaliakmanis,144971,QB,RUTGERS,13,448,164,48.2,58.2,6.9,7,4.0,3,1.6,1,11,12.9,2.55,75,17.3,7.1,90.8,232,57.8,68.2,6.8,8,3.3,16,5.7,6,7,10.3,2.82,78,11.5,3.4,77.6,115,38.3,53.1,5.3,5,4.1,6,3.7,4,5,13.1,3.06,153,13.7,13.7,56.0,281,60.1,68.0,7.4,10,3.4,13,4.2,3,13,10.7,2.53,0,,0.3,94.1
Hank Bachmeier,101284,QB,WAKE,12,447,160,58.1,70.7,7.1,10,5.8,6,2.9,5,10,10.8,2.75,90,26.7,12.2,87.7,198,65.7,73.0,7.3,8,3.7,6,2.2,5,6,8.7,3.14,81,21.0,6.8,86.8,105,56.2,71.3,6.6,3,2.6,5,2.7,2,5,9.0,3.42,171,24.0,24.0,84.3,253,64.8,72.2,7.4,15,5.5,7,2.4,8,11,9.9,2.69,0,,0.0,88.4
Connor Bazelak,99135,QB,BOWL GREEN,13,442,94,66.0,70.8,9.9,4,4.1,2,1.9,1,6,7.7,2.44,37,13.5,5.0,115.0,310,67.1,77.0,6.9,6,1.8,6,1.7,4,12,7.4,2.74,82,29.3,7.0,94.2,90,40.0,56.5,5.8,3,3.1,3,2.3,2,3,12.5,3.53,119,23.5,23.5,61.5,314,74.5,79.8,8.1,7,2.1,5,1.5,3,15,6.3,2.36,0,,0.3,109.8
Maddux Madsen,163379,QB,BOISE ST,14,439,148,66.9,75.0,7.9,4,2.6,2,1.2,0,13,9.4,2.73,52,9.6,3.1,120.1,249,59.4,69.7,7.4,5,1.9,18,6.1,6,10,9.6,2.85,61,11.5,2.5,85.8,84,42.9,54.3,5.9,1,1.0,9,7.1,3,4,9.2,3.42,113,10.6,10.6,63.2,313,67.4,75.7,8.1,8,2.5,11,3.2,3,19,9.6,2.59,0,,0.0,108.1
Caden Veltkamp,156642,QB,W KENTUCKY,13,437,147,66.0,76.3,9.0,6,3.9,6,3.5,3,13,9.1,2.45,40,20.0,4.9,115.6,243,66.3,76.1,7.3,9,3.5,7,2.4,7,12,8.1,2.86,83,21.7,6.6,92.1,91,51.6,63.2,6.8,2,2.0,6,4.5,3,4,9.2,3.48,123,19.5,19.5,74.3,299,70.6,79.6,8.3,13,4.2,7,2.1,7,21,8.3,2.4,0,,0.6,109.1
Maalik Murphy,157302,QB,DUKE,12,437,138,52.2,59.2,6.6,12,7.9,2,1.3,3,11,12.0,2.22,36,11.1,2.8,90.6,285,64.2,72.2,7.1,14,4.7,11,3.6,9,15,8.5,2.33,49,16.3,2.7,89.5,71,26.8,34.4,5.7,5,6.5,6,6.5,5,5,16.1,3.0,85,14.1,14.1,45.2,352,67.0,74.0,7.2,21,5.7,7,1.9,7,21,8.5,2.12,0,,0.0,99.4
Ethan Garbers,131896,QB,UCLA,11,436,135,65.2,75.8,8.2,7,4.8,4,2.2,1,8,7.5,2.82,83,19.3,9.5,107.4,229,64.2,71.5,7.0,3,1.3,15,5.4,10,8,7.7,3.05,93,19.4,6.7,78.4,115,43.5,56.7,5.9,3,2.3,17,8.9,9,3,9.8,3.6,176,18.8,18.8,39.1,249,74.3,79.1,8.2,7,2.7,2,0.7,2,13,6.9,2.53,0,,0.4,112.2
