player,player_id,position,team_name,player_game_count,base_attempts,base_dropbacks,deep_attempts,deep_completion_percent,deep_accuracy_percent,deep_ypa,deep_big_time_throws,deep_btt_rate,deep_turnover_worthy_plays,deep_twp_rate,deep_interceptions,deep_touchdowns,deep_avg_depth_of_target,deep_avg_time_to_throw,deep_def_gen_pressures,deep_pressure_to_sack_rate,deep_sack_percent,deep_qb_rating,medium_attempts,medium_completion_percent,medium_accuracy_percent,medium_ypa,medium_big_time_throws,medium_btt_rate,medium_turnover_worthy_plays,medium_twp_rate,medium_interceptions,medium_touchdowns,medium_avg_depth_of_target,medium_avg_time_to_throw,medium_def_gen_pressures,medium_pressure_to_sack_rate,medium_sack_percent,medium_qb_rating,short_attempts,short_completion_percent,short_accuracy_percent,short_ypa,short_big_time_throws,short_btt_rate,short_turnover_worthy_plays,short_twp_rate,short_interceptions,short_touchdowns,short_avg_depth_of_target,short_avg_time_to_throw,short_def_gen_pressures,short_pressure_to_sack_rate,short_sack_percent,short_qb_rating,behind_los_attempts,behind_los_completion_percent,behind_los_accuracy_percent,behind_los_ypa,behind_los_big_time_throws,behind_los_btt_rate,behind_los_turnover_worthy_plays,behind_los_twp_rate,behind_los_interceptions,behind_los_touchdowns,behind_los_avg_depth_of_target,behind_los_avg_time_to_throw,behind_los_def_gen_pressures,behind_los_pressure_to_sack_rate,behind_los_sack_percent,behind_los_qb_rating
Brendan Sorsby,156398,QB,CINCINNATI,12,388,435,38,28.9,28.9,10.4,7,17.1,4,9.8,2,5,29.9,2.97,13,0.0,0.0,88.0,113,51.3,58.4,7.8,1,0.8,3,2.5,1,8,13.6,2.95,26,0.0,0.0,97.2,165,80.0,84.2,7.1,0,0.0,2,1.2,2,4,5.1,2.29,28,0.0,0.0,99.2,53,88.7,92.5,7.0,0,0.0,2,3.8,2,1,-3.1,2.13,5,0.0,0.0,86.5
Jordan McCloud,101058,QB,TEXAS ST,13,392,434,62,41.9,48.4,12.6,15,22.1,6,8.8,6,15,29.3,2.85,17,0.0,0.0,89.1,65,63.1,73.8,9.6,0,0.0,1,1.4,4,7,13.0,2.68,14,0.0,0.0,104.8,158,84.8,86.7,7.7,0,0.0,3,1.9,3,6,4.4,2.17,28,0.0,0.0,103.3,77,94.8,96.1,8.0,0,0.0,0,0.0,0,2,-2.6,1.73,7,0.0,0.0,108.6
John Mateer,158516,QB,WASH STATE,12,348,433,63,39.7,46.0,13.0,17,25.8,8,12.1,6,12,30.3,3.42,10,0.0,0.0,87.2,67,59.7,67.2,10.5,1,1.4,3,4.2,1,6,13.6,3.26,20,0.0,0.0,119.2,149,75.2,81.2,8.1,0,0.0,2,1.3,0,8,4.7,2.29,17,0.0,0.0,116.4,53,86.8,88.7,7.6,0,0.0,1,1.8,0,3,-2.8,1.84,6,0.0,0.0,117.3
Joey Aguilar,174978,QB,APP STATE,11,392,432,77,36.4,39.0,13.4,24,26.7,9,10.0,4,9,30.3,2.92,26,0.0,0.0,101.8,119,54.6,58.0,8.5,2,1.6,9,7.3,3,4,13.4,2.38,25,0.0,0.0,83.7,114,71.9,79.8,6.2,0,0.0,4,3.2,5,8,4.6,2.23,28,0.0,0.0,93.1,55,78.2,85.5,4.4,0,0.0,0,0.0,2,2,-3.4,1.9,14,0.0,0.0,82.0
Mikey Keene,70961,QB,FRESNO ST,12,395,430,44,38.6,43.2,15.3,11,21.6,5,9.8,3,7,30.5,2.8,11,0.0,0.0,97.5,77,66.2,67.5,10.9,3,3.5,5,5.9,4,6,13.6,2.98,22,0.0,0.0,107.0,168,80.4,89.3,6.1,0,0.0,3,1.7,3,5,3.9,2.33,20,0.0,0.0,94.6,79,92.4,93.7,4.5,0,0.0,0,0.0,1,0,-3.4,2.21,7,0.0,0.0,80.2
Brett Gabbert,97404,QB,MIAMI OH,14,381,428,69,29.0,31.9,12.4,15,20.3,6,8.1,4,9,30.3,3.01,17,0.0,0.0,94.2,79,49.4,55.7,7.8,1,1.2,3,3.7,4,7,13.2,2.37,13,0.0,0.0,84.2,152,71.1,75.0,7.4,0,0.0,6,3.9,3,5,5.2,2.2,21,0.0,0.0,94.7,51,96.1,98.0,6.4,0,0.0,0,0.0,0,0,-2.1,1.4,2,0.0,0.0,93.2
Kevin Jennings,158272,QB,SMU,14,384,427,59,35.6,42.4,11.9,18,26.1,2,2.9,2,7,28.2,3.05,20,0.0,0.0,106.8,86,61.6,65.1,11.2,2,2.1,5,5.3,5,10,13.7,3.25,24,0.0,0.0,114.8,117,78.6,85.5,9.2,0,0.0,3,2.3,4,3,5.1,2.78,30,0.0,0.0,99.4,91,92.3,93.4,5.7,0,0.0,0,0.0,0,3,-3.9,1.68,9,0.0,0.0,101.4
Tyler Shough,83537,QB,LOUISVILLE,12,391,424,60,36.7,40.0,14.3,21,30.4,3,4.3,3,7,32.9,3.08,19,0.0,0.0,102.8,65,67.7,75.4,11.4,0,0.0,3,4.3,2,5,13.4,3.03,22,0.0,0.0,119.0,178,75.8,82.6,7.4,0,0.0,2,1.1,1,10,4.3,2.51,41,0.0,0.0,112.6,51,82.4,90.2,5.2,0,0.0,0,0.0,0,1,-3.7,2.24,11,0.0,0.0,94.9
Tucker Gleason,122475,QB,TOLEDO,12,387,422,59,27.1,33.9,10.2,12,18.5,5,7.7,1,7,28.9,3.0,27,0.0,0.0,102.0,72,56.9,63.9,9.1,0,0.0,3,3.7,2,4,13.3,2.83,25,0.0,0.0,94.3,175,74.3,78.3,7.3,0,0.0,5,2.7,5,12,4.7,2.38,49,0.0,0.0,105.5,53,88.7,90.6,4.6,0,0.0,0,0.0,0,1,-3.6,1.46,4,0.0,0.0,92.1
Sam Leavitt,175465,QB,ARIZONA ST,13,350,421,56,32.1,37.5,10.6,13,20.3,2,3.1,1,8,30.9,3.39,22,0.0,0.0,105.0,75,54.7,61.3,9.2,0,0.0,2,2.5,3,7,13.8,3.09,25,0.0,0.0,100.3,107,72.0,80.4,7.4,0,0.0,1,0.9,2,4,4.9,2.37,22,0.0,0.0,97.6,87,90.8,94.3,8.6,0,0.0,0,0.0,0,5,-3.1,1.69,3,0.0,0.0,121.6
Alonza Barnett III,156710,QB,JAMES MAD,12,355,420,48,37.5,45.8,14.3,14,26.4,5,9.4,3,9,30.4,2.84,8,0.0,0.0,99.0,63,60.3,66.7,9.7,0,0.0,0,0.0,0,10,14.1,2.86,12,0.0,0.0,132.5,149,71.8,79.2,6.5,0,0.0,3,2.0,1,5,4.9,2.21,13,0.0,0.0,97.2,53,94.3,98.1,6.2,0,0.0,0,0.0,0,2,-3.2,1.63,4,0.0,0.0,105.0
Nico Iamaleava,174728,QB,TENNESSEE,13,335,417,50,32.0,38.0,12.6,17,29.3,2,3.4,3,8,35.7,3.23,11,0.0,0.0,95.4,93,53.8,62.4,9.9,0,0.0,5,5.1,2,7,14.2,2.93,17,0.0,0.0,104.4,125,78.4,83.2,6.4,0,0.0,2,1.5,0,2,4.6,2.31,18,0.0,0.0,98.9,53,92.5,94.3,4.8,0,0.0,0,0.0,0,2,-2.3,1.88,4,0.0,0.0,99.4
Brayden Fowler-Nicolosi,157207,QB,COLO STATE,13,380,412,64,35.9,40.6,13.3,18,26.1,4,5.8,2,4,30.7,2.96,12,0.0,0.0,91.9,71,45.1,52.1,8.1,1,1.3,7,9.0,4,3,13.5,2.91,15,0.0,0.0,64.1,152,73.0,77.6,6.1,0,0.0,2,1.3,3,5,4.2,2.39,29,0.0,0.0,91.2,69,91.3,94.2,5.7,0,0.0,0,0.0,0,2,-2.9,1.79,6,0.0,0.0,100.0
Luke Altmyer,146802,QB,ILLINOIS,13,350,411,54,40.7,44.4,13.5,19,31.1,3,4.9,4,8,29.8,2.79,12,0.0,0.0,96.8,80,58.8,61.3,10.5,1,1.1,4,4.4,0,7,14.2,3.28,30,0.0,0.0,123.8,143,72.7,80.4,6.5,0,0.0,2,1.3,2,7,4.8,2.43,30,0.0,0.0,100.3,40,95.0,95.0,5.7,0,0.0,1,2.4,0,0,-2.8,2.13,8,0.0,0.0,90.3
Avery Johnson,173108,QB,KANSAS ST,13,374,409,46,26.1,34.8,11.6,13,26.0,2,4.0,1,7,30.8,3.17,9,0.0,0.0,106.1,84,50.0,58.3,8.9,2,2.3,5,5.7,5,6,13.7,3.05,18,0.0,0.0,79.7,176,74.4,83.0,7.1,0,0.0,3,1.7,3,10,4.6,2.72,38,0.0,0.0,105.6,38,78.9,86.8,4.5,0,0.0,1,2.5,1,2,-3.5,2.19,8,0.0,0.0,92.0
Sawyer Robertson,146839,QB,BAYLOR,12,366,409,55,45.5,47.3,13.4,10,15.9,3,4.8,2,12,27.7,2.63,6,0.0,0.0,116.5,113,49.6,52.2,8.5,5,4.0,6,4.8,3,8,13.4,2.74,29,0.0,0.0,91.5,108,75.9,80.6,7.7,0,0.0,3,2.7,2,5,4.9,2.27,14,0.0,0.0,105.3,73,86.3,93.2,7.1,0,0.0,0,0.0,1,3,-2.8,1.79,9,0.0,0.0,104.4
Jake Retzlaff,70874,QB,BYU,13,370,409,57,36.8,42.1,13.0,11,16.9,6,9.2,2,5,32.3,3.21,18,0.0,0.0,99.5,106,62.3,67.0,11.2,1,0.9,6,5.4,4,9,14.5,2.81,26,0.0,0.0,113.4,120,70.8,79.2,6.7,0,0.0,5,3.9,5,3,4.3,2.2,18,0.0,0.0,79.9,54,75.9,87.0,3.9,0,0.0,0,0.0,1,3,-3.1,1.94,8,0.0,0.0,92.2
Anthony Colandrea,170131,QB,VIRGINIA,11,319,392,39,38.5,41.0,12.2,11,26.8,2,4.9,1,6,30.8,3.08,14,0.0,0.0,114.0,56,48.2,48.2,8.2,1,1.6,9,14.3,6,3,13.2,3.19,22,0.0,0.0,54.7,138,72.5,79.0,6.8,0,0.0,1,0.7,4,4,4.1,2.2,28,0.0,0.0,88.2,61,88.5,93.4,4.0,0,0.0,0,0.0,0,0,-3.2,1.81,7,0.0,0.0,83.5
Payton Thorne,101629,QB,AUBURN,11,319,387,54,38.9,42.6,15.7,7,12.1,3,5.2,3,11,29.7,2.81,14,0.0,0.0,103.0,68,54.4,61.8,10.1,3,4.2,1,1.4,4,5,13.8,2.76,13,0.0,0.0,89.6,122,78.7,83.6,7.5,0,0.0,2,1.6,2,5,4.6,2.05,19,0.0,0.0,104.6,50,90.0,96.0,5.3,0,0.0,0,0.0,0,0,-3.2,1.72,3,0.0,0.0,88.8
Danny O'Neil,184200,QB,S DIEGO ST,11,330,384,57,35.1,38.6,12.8,13,18.1,4,5.6,3,7,33.8,3.09,17,0.0,0.0,101.1,48,56.3,64.6,8.4,0,0.0,0,0.0,1,1,13.3,2.85,7,0.0,0.0,82.4,116,74.1,79.3,5.8,0,0.0,3,2.5,2,4,4.9,2.37,29,0.0,0.0,92.5,84,88.1,90.5,4.5,0,0.0,0,0.0,0,0,-2.5,1.81,12,0.0,0.0,85.2
Jacolby Criswell,122830,QB,N CAROLINA,12,323,382,52,30.8,32.7,10.4,9,15.8,0,0.0,1,5,31.9,3.33,25,0.0,0.0,95.1,76,51.3,57.9,8.5,1,1.2,7,8.5,3,4,13.5,2.95,27,0.0,0.0,81.3,110,70.9,79.1,6.5,0,0.0,2,1.8,2,2,4.6,2.38,25,0.0,0.0,86.9,57,93.0,96.5,9.7,0,0.0,0,0.0,0,4,-3.5,2.05,9,0.0,0.0,130.4
LaNorris Sellers,174326,QB,S CAROLINA,12,301,381,39,48.7,56.4,16.1,14,28.0,4,8.0,4,7,31.0,3.62,14,0.0,0.0,94.8,64,54.7,57.8,9.9,2,2.8,3,4.2,1,6,14.8,3.15,21,0.0,0.0,113.5,116,76.7,81.0,6.8,0,0.0,3,2.5,2,0,3.9,2.67,26,0.0,0.0,87.2,57,91.2,93.0,8.2,0,0.0,0,0.0,0,5,-3.0,2.23,11,0.0,0.0,130.1
C.J. Ogbonna,149182,QB,BUFFALO,13,337,380,59,42.4,44.1,14.6,20,30.8,3,4.6,3,10,29.9,2.52,14,0.0,0.0,107.9,58,44.8,51.7,7.4,3,4.7,1,1.6,1,4,14.0,2.53,20,0.0,0.0,85.9,130,68.5,73.8,6.3,0,0.0,4,3.1,1,5,4.4,2.11,29,0.0,0.0,95.1,51,98.0,100.0,5.2,0,0.0,0,0.0,0,0,-3.2,1.79,1,0.0,0.0,88.2
Garrett Greene,123420,QB,W VIRGINIA,11,315,375,52,38.5,42.3,12.3,15,23.8,4,6.3,4,2,28.2,3.05,17,0.0,0.0,65.9,87,64.4,66.7,10.6,3,3.2,5,5.3,5,10,13.7,2.94,18,0.0,0.0,114.2,108,64.8,75.0,5.1,0,0.0,3,2.7,3,3,4.6,2.45,23,0.0,0.0,75.0,45,95.6,97.8,4.1,0,0.0,0,0.0,0,0,-3.2,1.83,3,0.0,0.0,83.8
Miller Moss,70727,QB,USC,9,364,374,39,43.6,43.6,11.3,8,18.2,2,4.5,3,6,25.9,3.01,13,0.0,0.0,92.8,96,53.1,57.3,9.0,5,4.9,4,3.9,3,6,13.4,2.84,29,0.0,0.0,91.8,117,77.8,81.2,6.7,0,0.0,3,2.5,3,2,4.8,2.55,31,0.0,0.0,89.8,83,89.2,91.6,5.5,0,0.0,0,0.0,0,4,-3.6,2.04,14,0.0,0.0,105.5
Aidan Chiles,173727,QB,MICH STATE,12,324,374,50,38.0,42.0,12.9,12,20.7,5,8.6,3,5,28.6,3.36,18,0.0,0.0,94.2,88,51.1,56.8,8.0,1,1.1,5,5.6,5,3,13.6,3.12,27,0.0,0.0,65.9,123,72.4,78.0,6.8,0,0.0,7,5.5,3,4,4.6,2.38,29,0.0,0.0,91.2,41,95.1,95.1,5.7,0,0.0,0,0.0,0,1,-3.2,2.01,7,0.0,0.0,98.5
Brendon Lewis,131687,QB,NEVADA,12,315,371,46,37.0,39.1,12.9,10,18.2,6,10.9,5,8,33.4,3.33,19,0.0,0.0,85.0,69,62.3,68.1,9.3,1,1.4,2,2.7,2,4,13.3,2.87,21,0.0,0.0,100.1,116,81.9,85.3,7.0,0,0.0,2,1.6,0,4,4.6,2.5,26,0.0,0.0,107.3,59,94.9,96.6,4.1,0,0.0,0,0.0,0,0,-3.4,2.02,16,0.0,0.0,83.6
Jalen Milroe,146590,QB,ALABAMA,13,324,371,56,39.3,44.6,15.9,16,25.8,1,1.6,3,10,30.8,2.98,13,0.0,0.0,104.2,69,59.4,66.7,10.6,2,2.6,2,2.6,2,1,14.1,3.09,16,0.0,0.0,88.7,115,75.7,80.0,7.3,0,0.0,3,2.5,5,4,4.4,2.49,28,0.0,0.0,88.9,63,87.3,90.5,5.9,0,0.0,0,0.0,1,1,-3.1,2.07,11,0.0,0.0,89.9
Brady Cook,124199,QB,MISSOURI,12,322,367,49,32.7,36.7,11.6,11,20.8,0,0.0,0,4,30.7,3.02,11,0.0,0.0,104.7,79,51.9,60.8,8.8,2,2.4,1,1.2,1,3,13.4,2.88,17,0.0,0.0,89.6,131,78.6,82.4,8.5,0,0.0,1,0.7,1,4,4.4,2.2,21,0.0,0.0,109.1,47,87.2,91.5,3.3,0,0.0,0,0.0,0,0,-3.4,1.98,12,0.0,0.0,80.5
CJ Bailey,183349,QB,NC STATE,11,302,361,36,50.0,52.8,15.1,12,26.1,4,8.7,3,4,27.4,2.95,3,0.0,0.0,98.1,74,62.2,67.6,10.3,2,2.6,1,1.3,2,7,14.0,2.93,21,0.0,0.0,117.1,124,79.0,87.1,7.8,0,0.0,4,3.1,4,5,4.2,2.33,18,0.0,0.0,99.3,42,81.0,88.1,3.3,0,0.0,1,2.3,1,1,-3.7,1.98,7,0.0,0.0,78.3
Kurtis Rourke,97998,QB,INDIANA,12,322,360,52,46.2,48.1,15.3,16,28.6,3,5.4,2,9,28.6,2.85,10,0.0,0.0,116.2,89,64.0,67.4,11.5,3,3.1,3,3.1,2,13,13.6,2.63,14,0.0,0.0,133.7,122,79.5,82.8,7.1,0,0.0,2,1.5,1,6,5.1,2.21,13,0.0,0.0,109.2,46,95.7,95.7,7.8,0,0.0,0,0.0,0,1,-2.5,1.65,1,0.0,0.0,106.3
Evan Simon,129906,QB,TEMPLE,9,307,359,39,28.2,28.2,11.4,11,26.8,4,9.8,5,5,26.9,3.12,17,0.0,0.0,74.5,61,62.3,67.2,10.6,0,0.0,4,6.0,2,5,13.3,2.69,28,0.0,0.0,111.6,109,72.5,81.7,6.3,1,0.9,0,0.0,1,4,4.2,2.24,30,0.0,0.0,97.3,64,79.7,89.1,3.4,0,0.0,0,0.0,1,1,-3.6,1.95,17,0.0,0.0,79.5
Evan Bullock,170452,QB,LA TECH,11,302,358,29,27.6,34.5,8.9,6,18.2,1,3.0,1,3,27.7,2.94,4,0.0,0.0,84.1,79,62.0,67.1,11.1,0,0.0,2,2.5,0,6,13.6,2.72,17,0.0,0.0,125.5,116,75.9,81.9,5.5,0,0.0,4,3.4,2,3,3.8,2.39,24,0.0,0.0,89.8,58,89.7,96.6,5.4,0,0.0,0,0.0,0,2,-2.8,2.09,7,0.0,0.0,100.9
Jalen Kitna,146688,QB,UAB,8,317,357,40,37.5,50.0,12.2,13,28.3,3,6.5,2,5,27.9,3.23,14,0.0,0.0,102.8,85,50.6,54.1,8.5,1,1.2,5,5.9,3,6,14.2,2.99,27,0.0,0.0,88.7,104,66.3,76.0,5.4,0,0.0,7,6.5,6,3,4.8,2.65,24,0.0,0.0,65.6,76,90.8,94.7,5.7,0,0.0,0,0.0,0,3,-3.5,1.81,9,0.0,0.0,103.5
Gio Lopez,172309,QB,S ALABAMA,11,311,356,51,41.2,49.0,14.9,18,31.6,5,8.8,2,9,32.2,3.26,17,0.0,0.0,111.7,63,49.2,54.0,8.0,0,0.0,5,7.6,2,3,13.8,3.14,16,0.0,0.0,78.9,104,79.8,81.7,7.0,0,0.0,0,0.0,1,2,4.1,2.52,29,0.0,0.0,98.1,74,94.6,95.9,7.7,0,0.0,0,0.0,0,3,-3.3,1.74,13,0.0,0.0,112.3
Parker Navarro,123758,QB,OHIO,13,297,354,47,25.5,27.7,9.7,13,23.6,3,5.5,2,5,29.9,2.9,14,0.0,0.0,85.3,60,58.3,63.3,11.1,1,1.6,6,9.7,6,6,13.0,2.92,15,0.0,0.0,90.8,153,82.4,86.9,7.5,0,0.0,4,2.6,3,2,4.9,2.41,21,0.0,0.0,94.2,22,100.0,100.0,6.8,0,0.0,0,0.0,0,0,-2.5,2.0,3,0.0,0.0,94.9
Alan Bowman,77679,QB,OKLA STATE,11,341,352,47,17.0,21.3,7.4,10,18.5,5,9.3,5,2,28.9,2.43,2,0.0,0.0,32.4,83,54.2,55.4,11.3,1,1.1,4,4.6,4,7,13.5,2.67,17,0.0,0.0,102.2,130,74.6,76.9,6.6,0,0.0,4,2.8,3,4,4.4,2.11,13,0.0,0.0,92.2,62,87.1,90.3,5.0,0,0.0,0,0.0,0,4,-3.0,1.82,4,0.0,0.0,109.1
Diego Pavia,156927,QB,VANDERBILT,13,299,352,45,35.6,40.0,13.7,14,26.9,0,0.0,1,5,29.8,2.93,18,0.0,0.0,111.6,65,53.8,60.0,8.2,5,7.2,3,4.3,1,6,13.3,2.85,25,0.0,0.0,105.7,110,79.1,82.7,7.2,0,0.0,1,0.9,2,7,5.1,2.55,28,0.0,0.0,110.5,43,90.7,90.7,7.9,0,0.0,0,0.0,0,2,-2.3,2.04,12,0.0,0.0,115.0
Spencer Petras,82136,QB,UTAH ST,9,326,350,37,29.7,32.4,9.8,7,15.6,3,6.7,3,6,29.7,2.93,12,0.0,0.0,73.9,66,57.6,62.1,9.6,1,1.4,7,9.9,6,4,12.8,2.77,14,0.0,0.0,72.3,148,76.4,86.5,6.9,0,0.0,2,1.3,2,5,4.8,2.36,13,0.0,0.0,100.0,56,92.9,94.6,5.4,0,0.0,0,0.0,0,2,-2.1,1.49,5,0.0,0.0,100.9
Eli Holstein,172381,QB,PITTSBURGH,10,290,349,36,36.1,38.9,15.0,11,25.6,6,14.0,2,3,31.5,3.14,9,0.0,0.0,88.9,72,58.3,62.5,9.8,1,1.3,7,9.3,2,9,14.2,3.17,26,0.0,0.0,119.3,121,71.9,75.2,6.4,0,0.0,5,4.0,3,4,4.5,2.52,26,0.0,0.0,89.5,42,88.1,90.5,4.9,0,0.0,0,0.0,0,1,-3.3,1.67,6,0.0,0.0,94.8
Hayden Wolff,98362,QB,W MICHIGAN,13,316,349,32,37.5,40.6,12.4,8,22.9,2,5.7,2,4,30.2,3.13,12,0.0,0.0,98.7,80,66.3,67.5,11.4,2,2.2,5,5.6,5,9,14.5,3.15,18,0.0,0.0,116.4,133,78.2,84.2,6.6,0,0.0,2,1.5,1,3,3.9,2.53,27,0.0,0.0,98.4,46,89.1,93.5,5.1,0,0.0,0,0.0,0,2,-3.7,2.14,4,0.0,0.0,102.5
Keyone Jenkins,170403,QB,FIU,12,304,348,51,39.2,43.1,15.1,16,27.6,2,3.4,1,13,31.1,2.73,10,0.0,0.0,118.3,63,65.1,76.2,10.8,3,4.3,2,2.9,2,6,13.9,2.77,17,0.0,0.0,119.9,136,71.3,78.7,6.7,0,0.0,6,4.2,5,3,4.9,2.32,26,0.0,0.0,81.5,37,81.1,83.8,5.3,0,0.0,0,0.0,0,0,-2.2,2.04,10,0.0,0.0,88.9
Walker Eget,146170,QB,S JOSE ST,11,331,346,70,38.6,41.4,12.5,18,21.7,5,6.0,5,6,30.3,2.72,20,0.0,0.0,85.1,70,55.7,60.0,9.2,0,0.0,2,2.6,4,3,13.8,2.52,15,0.0,0.0,77.3,147,72.1,76.9,6.3,0,0.0,1,0.7,1,4,5.1,2.11,18,0.0,0.0,94.5,17,88.2,94.1,3.1,0,0.0,0,0.0,0,0,-3.8,1.76,0,,0.0,79.7
Jack Lausch,162845,QB,NWESTERN,10,296,344,33,30.3,39.4,10.3,8,22.2,3,8.3,1,0,29.6,3.28,12,0.0,0.0,57.8,73,37.0,41.1,6.8,2,2.6,7,9.2,6,3,14.2,3.04,18,0.0,0.0,40.7,129,71.3,79.1,5.9,0,0.0,2,1.5,1,3,4.4,2.51,28,0.0,0.0,90.6,35,85.7,85.7,3.2,0,0.0,0,0.0,0,1,-2.9,1.95,7,0.0,0.0,89.6
Will Rogers,124184,QB,WASHINGTON,11,315,342,37,35.1,37.8,11.8,12,31.6,2,5.3,2,6,29.8,2.79,13,0.0,0.0,97.4,66,56.1,56.1,9.2,1,1.4,9,13.0,4,4,13.9,2.65,21,0.0,0.0,81.9,133,88.0,91.0,7.8,0,0.0,1,0.7,0,3,4.3,2.25,21,0.0,0.0,106.9,56,94.6,96.4,6.7,0,0.0,0,0.0,1,1,-3.6,1.88,12,0.0,0.0,93.0
Tyler Huff,142567,QB,JVILLE ST,14,294,341,52,26.9,32.7,9.6,12,19.7,3,4.9,1,7,31.0,2.95,18,0.0,0.0,98.6,73,63.0,67.1,12.7,0,0.0,5,6.2,4,5,13.5,2.46,12,0.0,0.0,106.7,112,73.2,78.6,6.7,0,0.0,2,1.7,2,2,4.3,2.0,21,0.0,0.0,89.4,41,85.4,85.4,8.4,0,0.0,0,0.0,0,0,-3.4,1.59,4,0.0,0.0,101.5
Darian Mensah,169984,QB,TULANE,13,287,337,55,36.4,49.1,13.5,14,23.0,8,13.1,4,4,30.3,3.22,8,0.0,0.0,78.4,86,64.0,68.6,11.5,3,3.3,4,4.3,1,10,14.3,3.21,24,0.0,0.0,137.3,80,83.8,87.5,8.2,0,0.0,1,1.2,1,7,4.3,3.01,20,0.0,0.0,124.7,51,92.2,98.0,6.5,0,0.0,0,0.0,0,1,-3.3,1.95,9,0.0,0.0,100.3
Hajj-Malik Williams,102348,QB,UNLV,12,254,336,53,28.3,30.2,9.1,15,25.9,4,6.9,2,4,31.4,2.85,12,0.0,0.0,74.4,67,55.2,61.2,9.9,0,0.0,7,9.3,2,11,13.0,2.52,11,0.0,0.0,116.5,80,68.8,76.3,5.8,0,0.0,0,0.0,0,3,4.8,2.04,6,0.0,0.0,95.9,47,91.5,95.7,7.1,0,0.0,1,2.1,1,1,-3.5,1.72,4,0.0,0.0,94.4
Jalon Daniels,122555,QB,KANSAS,12,301,334,70,37.1,44.3,13.1,21,26.9,8,10.3,6,6,30.1,3.22,16,0.0,0.0,78.0,69,44.9,47.8,7.8,1,1.4,4,5.7,4,4,14.9,3.2,11,0.0,0.0,67.3,95,77.9,82.1,7.7,0,0.0,1,1.0,1,2,5.0,2.37,14,0.0,0.0,101.2,45,88.9,93.3,6.0,0,0.0,0,0.0,1,2,-3.2,2.12,11,0.0,0.0,97.4
Bryce Archie,156667,QB,USF,12,294,333,42,19.0,26.2,8.0,10,19.2,7,13.5,5,2,33.8,3.17,11,0.0,0.0,36.8,53,49.1,60.4,8.9,1,1.9,3,5.6,3,3,13.4,3.31,18,0.0,0.0,75.5,119,70.6,77.3,5.6,0,0.0,1,0.8,2,2,4.5,2.62,28,0.0,0.0,82.8,60,90.0,93.3,7.4,0,0.0,0,0.0,0,2,-2.3,1.78,6,0.0,0.0,108.4
Hunter Watson,183993,QB,SM HOUSTON,12,283,333,38,13.2,15.8,6.1,5,12.2,8,19.5,5,3,29.7,2.87,8,0.0,0.0,39.0,54,57.4,57.4,9.7,3,5.4,2,3.6,1,5,13.5,2.68,13,0.0,0.0,113.4,116,75.9,77.6,6.3,0,0.0,1,0.8,1,2,4.2,2.19,18,0.0,0.0,93.9,56,91.1,91.1,5.7,0,0.0,0,0.0,1,2,-3.1,1.66,5,0.0,0.0,94.9
Ashton Daniels,157259,QB,STANFORD,11,272,332,40,22.5,25.0,6.7,8,16.0,5,10.0,4,1,29.3,3.36,12,0.0,0.0,23.5,48,66.7,68.8,12.4,1,2.0,7,13.7,5,4,13.9,3.22,21,0.0,0.0,97.3,118,77.1,83.1,6.1,0,0.0,1,0.8,3,5,4.7,2.23,21,0.0,0.0,95.1,40,95.0,97.5,3.2,0,0.0,0,0.0,0,0,-3.0,2.12,8,0.0,0.0,79.9
Ben Wooldridge,82115,QB,LA LAFAYET,11,294,332,39,43.6,43.6,16.0,9,20.9,1,2.3,1,6,27.3,2.81,8,0.0,0.0,119.4,62,54.8,62.9,10.6,1,1.4,3,4.3,2,4,14.6,2.9,15,0.0,0.0,100.2,141,76.6,87.9,6.9,0,0.0,1,0.7,3,6,4.0,2.1,26,0.0,0.0,100.2,35,88.6,91.4,5.4,0,0.0,0,0.0,0,1,-3.3,1.84,5,0.0,0.0,98.6
Jackson Arnold,173684,QB,OKLAHOMA,10,246,327,30,23.3,26.7,10.3,7,20.0,1,2.9,2,3,30.7,3.14,10,0.0,0.0,75.6,40,50.0,60.0,7.3,0,0.0,2,5.0,0,7,13.5,2.98,11,0.0,0.0,113.8,106,74.5,78.3,5.8,0,0.0,2,1.8,1,1,4.8,2.29,18,0.0,0.0,87.5,53,90.6,96.2,3.7,0,0.0,0,0.0,0,1,-3.5,2.04,10,0.0,0.0,88.4
Kaidon Salter,132046,QB,LIBERTY,11,262,314,51,25.5,33.3,7.5,15,25.9,3,5.2,3,5,29.7,3.45,23,0.0,0.0,66.7,70,57.1,65.7,9.9,4,5.6,4,5.6,2,8,13.9,3.01,16,0.0,0.0,117.3,103,72.8,79.6,6.6,0,0.0,4,3.6,1,2,5.1,2.07,5,0.0,0.0,92.7,24,75.0,83.3,4.8,0,0.0,0,0.0,0,0,-3.0,1.66,0,,0.0,84.4
Michael Van Buren Jr.,184764,QB,MISS STATE,9,256,311,45,31.1,35.6,12.5,14,28.6,2,4.1,2,2,33.8,2.91,15,0.0,0.0,76.3,56,60.7,66.1,9.8,0,0.0,3,4.9,1,3,12.9,2.71,15,0.0,0.0,103.9,96,62.5,68.8,5.7,0,0.0,4,3.8,4,3,5.2,2.31,19,0.0,0.0,71.1,34,94.1,97.1,6.6,0,0.0,0,0.0,0,3,-3.0,1.76,4,0.0,0.0,123.7
