player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,scrambles,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio
Athan Kaliakmanis,144971,RUTGERS,13,64.1,396,11.4,15,3.6,53.8,153,448,26,149,77.3,73.0,71.5,7,472,83.1,4.9,22,30,18,19,4.0,2696,6.8,2.57
Mikey Keene,70961,FRESNO ST,12,80.2,395,7.5,14,3.3,69.9,108,430,19,135,71.2,73.5,39.7,11,459,94.4,5.6,24,9,18,15,3.3,2891,7.3,1.64
Drew Allar,164157,PENN STATE,16,73.0,394,9.1,21,5.1,66.5,143,459,16,181,82.2,79.1,72.6,8,476,104.5,4.6,21,43,24,10,2.1,3327,8.4,3.0
Jordan McCloud,101058,TEXAS ST,13,79.8,392,8.7,15,3.6,69.9,114,434,15,165,82.8,81.6,65.2,13,454,106.4,3.7,16,25,30,12,2.6,3230,8.2,2.31
Joey Aguilar,174978,APP STATE,11,64.9,392,11.7,26,6.2,55.6,146,432,19,157,71.9,66.8,75.9,14,467,85.0,3.0,13,27,23,25,5.4,2999,7.7,1.64
Tyler Shough,83537,LOUISVILLE,12,75.1,391,9.7,21,5.1,62.1,150,424,23,148,87.4,87.7,56.0,6,446,101.1,3.3,14,18,23,8,1.8,3191,8.2,3.83
Devon Dampier,171556,NEW MEXICO,12,66.9,391,11.9,20,4.7,57.5,98,435,22,145,89.9,78.9,86.5,12,473,76.9,0.9,4,40,12,10,2.1,2761,7.1,1.0
Ben Finley,122864,AKRON,12,65.9,390,9.4,16,3.9,54.6,150,436,27,120,61.6,62.4,54.3,9,459,79.6,5.7,25,21,16,15,3.3,2620,6.7,1.78
Caden Veltkamp,156642,W KENTUCKY,13,76.2,390,8.5,15,3.6,66.2,123,437,20,142,78.9,79.0,62.3,10,461,101.0,5.9,26,20,25,13,2.8,3097,7.9,2.5
Fernando Mendoza,158323,CAL,11,75.5,390,8.4,12,2.9,67.9,156,460,12,156,77.4,75.7,66.3,6,490,98.1,8.7,40,28,16,17,3.5,3004,7.7,2.67
Brendan Sorsby,156398,CINCINNATI,12,71.8,388,9.1,8,2.0,63.9,112,435,17,156,76.3,72.4,70.8,7,455,93.5,3.9,17,30,18,13,2.9,2813,7.3,2.57
Tucker Gleason,122475,TOLEDO,12,69.9,387,9.2,12,2.9,60.5,151,422,17,137,70.2,66.8,67.2,8,450,94.5,3.8,16,19,24,17,3.8,2782,7.2,3.0
Taylen Green,145996,ARKANSAS,13,70.1,385,10.8,22,5.5,59.7,177,458,16,154,86.6,79.2,81.2,9,475,89.2,7.0,32,41,15,17,3.6,3146,8.2,1.67
Kevin Jennings,158272,SMU,14,75.4,384,8.7,20,4.8,65.1,136,427,16,154,85.1,85.0,63.1,11,463,99.8,4.0,17,24,23,14,3.0,3267,8.5,2.09
Brett Gabbert,97404,MIAMI OH,14,65.5,381,10.9,16,4.1,56.7,111,428,14,141,60.1,60.6,53.7,11,439,87.6,5.8,25,22,21,17,3.9,2916,7.7,1.91
Brayden Fowler-Nicolosi,157207,COLO STATE,13,69.1,380,9.5,19,4.8,60.3,100,412,17,115,69.3,72.5,45.4,9,435,84.9,2.2,9,22,14,13,3.0,2751,7.2,1.56
Avery Johnson,173108,KANSAS ST,13,70.9,374,9.4,15,3.9,57.5,120,409,29,140,81.1,72.9,80.7,10,425,91.2,2.7,11,23,25,14,3.3,2703,7.2,2.5
Jake Retzlaff,70874,BYU,13,70.3,370,11.1,12,3.0,57.6,116,409,24,155,74.7,72.0,68.5,12,437,87.7,4.2,17,21,20,18,4.1,2944,8.0,1.67
Sawyer Robertson,146839,BAYLOR,12,68.8,366,9.6,15,3.8,61.7,96,409,14,161,78.1,74.8,70.8,8,442,104.7,3.9,16,23,28,16,3.6,3058,8.4,3.5
Miller Moss,70727,USC,9,72.5,364,7.6,13,3.4,64.0,114,374,10,134,78.5,76.5,65.5,9,389,90.8,2.4,9,1,18,12,3.1,2548,7.0,2.0
