player,player_id,team_name,player_game_count,accuracy_percent,attempts,avg_depth_of_target,big_time_throws,btt_rate,completion_percent,def_gen_pressures,dropbacks,drops,first_downs,grades_offense,grades_pass,grades_run,interceptions,passing_snaps,qb_rating,sack_percent,sacks,scrambles,touchdowns,turnover_worthy_plays,twp_rate,yards,ypa,td_int_ratio
Byrum Brown,156206,USF,5,68.8,132,8.6,2,1.4,59.1,70,164,8,40,67.0,61.5,67.2,0,177,82.8,9.8,16,16,2,2,1.1,837,6.3,2
Zeon Chriss,156733,HOUSTON,10,73.0,130,6.9,4,2.9,63.8,71,167,6,46,60.8,53.4,65.1,8,175,66.1,9.6,16,21,4,10,5.7,816,6.3,0.5
Ben Gulbranson,131734,OREGON ST,4,71.4,129,9.9,4,2.9,60.5,39,136,7,46,80.7,75.3,82.5,4,147,80.3,3.7,5,2,4,5,3.4,943,7.3,1.0
Bryson Barnes,131845,UTAH ST,7,72.8,126,9.7,4,3.1,60.3,47,147,7,45,76.7,63.5,80.5,6,154,88.2,4.1,6,13,11,7,4.5,805,6.4,1.83
Stone Earle,123504,MARSHALL,8,62.9,122,9.1,3,2.3,54.1,42,146,7,39,58.0,55.2,62.8,2,152,82.4,4.1,6,14,7,3,2.0,671,5.5,3.5
Jacob Zeno,98014,UAB,4,82.1,121,4.6,2,1.6,67.8,52,148,10,48,68.0,66.4,62.4,5,160,86.1,5.4,8,19,6,7,4.4,819,6.8,1.2
Ethan Crawford,173571,SO MISS,8,56.0,120,13.4,9,7.2,41.7,88,158,11,34,65.5,55.2,72.3,7,165,41.7,16.5,26,12,0,9,5.5,841,7.0,0.0
Michael Hawkins Jr.,184595,OKLAHOMA,7,79.0,120,7.9,3,2.3,63.3,68,160,7,39,61.9,61.5,59.5,2,177,83.4,10.0,16,24,3,5,2.8,783,6.5,1.5
Kaden Anderson,127312,WYOMING,9,71.4,120,10.8,8,6.3,58.3,43,123,10,42,67.2,72.0,49.8,3,129,90.2,0.8,1,2,6,5,3.9,958,8.0,2.0
Dylan Rizk,174360,UCF,6,70.0,119,10.1,4,3.3,60.5,33,132,5,47,67.9,71.0,53.1,2,136,91.2,3.8,5,8,5,6,4.4,904,7.6,2.5
Conner Weigman,158683,TEXAS A&M,6,67.9,114,9.0,5,4.1,56.1,54,139,8,47,59.0,55.3,68.2,5,148,69.2,6.5,9,16,3,8,5.4,815,7.1,0.6
Brock Glenn,170335,FLORIDA ST,7,61.9,114,9.8,5,4.1,44.7,56,140,9,35,54.2,51.0,63.7,5,149,54.4,8.6,12,13,4,6,4.0,591,5.2,0.8
Santino Marucci,144197,NEW MEX ST,7,58.9,112,10.5,0,0.0,43.8,48,134,7,38,50.5,50.5,55.3,5,147,48.2,5.2,7,15,3,8,5.4,519,4.6,0.6
Josh Holst,171312,N ILLINOIS,7,68.0,112,9.2,1,0.9,58.0,31,140,5,41,56.3,49.2,65.4,2,145,71.2,5.0,7,21,2,7,4.8,598,5.3,1.0
Blake Shapen,122282,MISS STATE,4,78.6,109,9.3,7,5.9,67.9,47,138,7,48,77.2,84.6,45.4,1,149,116.5,8.0,11,18,8,6,4.0,974,8.9,8.0
KJ Jefferson,99129,UCF,5,65.7,108,11.1,5,4.4,59.3,47,131,3,42,69.7,64.9,69.9,4,137,96.7,9.9,13,10,7,7,5.1,1012,9.4,1.75
Demond Williams Jr.,183648,WASHINGTON,13,83.7,105,7.2,7,6.3,78.1,68,157,0,49,83.0,74.5,77.2,1,165,125.6,14.0,22,29,8,3,1.8,944,9.0,8.0
Bryson Daily,147303,ARMY,13,62.1,103,16.5,10,8.9,52.4,47,114,5,39,91.5,67.8,91.1,4,123,99.3,3.5,4,6,9,11,8.9,1002,9.7,2.25
Forrest Brock,173260,TEMPLE,3,65.6,102,6.7,2,1.8,58.8,39,113,3,26,60.5,68.6,41.6,5,125,56.0,7.1,8,3,1,3,2.4,539,5.3,0.2
Max Brown,157756,CHARLOTTE,5,58.1,94,13.2,7,7.0,45.7,47,118,0,29,45.3,44.5,56.4,6,125,49.1,8.5,10,14,3,11,8.8,561,6.0,0.5
Graham Mertz,97994,FLORIDA,5,82.4,94,7.6,4,4.0,76.6,28,107,3,45,73.7,75.4,55.5,2,116,113.4,3.7,4,9,6,5,4.3,791,8.4,3.0
Arch Manning,173162,TEXAS,7,76.5,90,11.1,6,6.4,67.8,26,101,4,39,88.0,81.0,81.1,2,107,126.1,6.9,7,4,9,2,1.9,939,10.4,4.5
Chandler Fields,97286,LA LAFAYET,7,78.0,88,10.3,7,7.6,71.6,23,104,1,38,87.3,91.0,56.7,1,108,118.4,3.8,4,12,5,1,0.9,896,10.2,5.0
Grant Wilson,143041,DOMINION,3,65.1,88,9.2,3,3.3,55.7,45,108,5,30,43.3,41.1,57.8,3,114,73.9,11.1,12,8,4,8,7.0,517,5.9,1.33
Luke Kromenhoek,183305,FLORIDA ST,6,63.2,84,11.1,7,8.0,52.4,60,129,4,33,62.3,57.4,65.9,2,136,72.6,20.2,26,18,3,5,3.7,502,6.0,1.5
Devin Kargman,156913,KENT STATE,4,61.0,83,9.4,3,3.4,54.2,32,92,2,19,47.7,46.0,65.2,2,98,71.1,7.6,7,2,3,3,3.1,435,5.2,1.5
Drew Pyne,122910,MISSOURI,6,72.2,82,6.3,1,1.1,59.8,31,90,3,20,60.3,57.9,61.1,3,95,69.0,4.4,4,4,3,4,4.2,396,4.8,1.0
Grayson McCall,98002,NC STATE,4,76.6,80,8.6,1,1.2,66.3,25,94,6,30,70.1,77.9,43.8,2,100,86.4,4.3,4,10,3,3,3.0,518,6.5,1.5
John Busha,173849,AIR FORCE,6,51.4,80,14.9,4,4.8,36.3,38,94,8,17,58.4,53.3,62.1,5,97,31.8,7.4,7,7,1,5,5.2,410,5.1,0.2
Bishop Davenport,163426,S ALABAMA,6,72.0,80,7.9,2,2.4,60.0,29,92,6,27,63.4,59.0,65.4,1,97,90.8,2.2,2,9,3,3,3.1,604,7.6,3.0
T.J. Finley,124093,W KENTUCKY,3,77.5,77,7.0,1,1.3,64.9,18,85,5,26,66.9,67.7,56.9,2,87,76.5,2.4,2,5,1,3,3.4,496,6.4,0.5
Tony Muskett,142933,VIRGINIA,7,68.9,77,9.5,3,3.5,58.4,31,90,6,25,72.0,61.2,83.6,3,98,77.0,7.8,7,6,3,4,4.1,545,7.1,1.0
Jadyn Glasser,184670,C MICHIGAN,4,67.1,76,11.3,2,2.5,53.9,37,89,6,21,41.0,41.8,52.8,4,95,57.9,11.2,10,3,2,6,6.3,439,5.8,0.5
Ryan Browne,174949,PURDUE,8,67.1,76,9.1,4,5.0,56.6,48,102,4,29,67.0,57.1,73.4,2,107,84.9,9.8,10,16,4,5,4.7,531,7.0,2.0
Jack Turner,162969,LA TECH,6,63.0,76,7.7,4,5.2,52.6,19,83,6,21,59.5,56.7,64.5,2,84,69.6,4.8,4,2,2,5,6.0,471,6.2,1.0
Maealiuaki Smith,183921,OKLA STATE,4,65.3,75,8.3,2,2.4,58.7,17,79,3,21,53.9,51.7,62.5,4,86,64.7,5.1,4,0,2,5,5.8,487,6.5,0.5
Kasen Weisman,171910,FAU,5,67.2,74,9.8,4,5.1,52.7,39,83,4,28,57.7,59.2,55.8,3,88,61.5,1.2,1,8,2,5,5.7,416,5.6,0.67
Aaron Philo,183222,GA TECH,4,64.3,74,13.6,7,9.5,51.4,21,79,7,25,91.3,90.9,69.4,2,79,69.9,0.0,0,5,1,1,1.3,565,7.6,0.5
AJ Hairston,184157,UMASS,4,66.2,73,9.8,1,1.2,54.8,26,89,3,22,52.9,50.6,60.1,0,97,98.0,7.9,7,9,5,2,2.1,480,6.6,5
Cade McConnell,73935,UTEP,4,71.4,71,7.7,5,6.6,56.3,24,81,10,22,53.3,59.8,40.8,3,87,81.9,6.2,5,4,4,7,8.0,540,7.6,1.33
Micah Alejado,184162,HAWAII,3,77.3,70,9.5,2,2.8,70.0,15,82,2,31,79.3,86.4,52.5,0,84,123.8,3.7,3,9,6,0,0.0,585,8.4,6
Tyler Van Dyke,122225,WISCONSIN,3,73.0,68,7.1,2,2.8,63.2,19,74,3,22,72.9,77.5,52.6,0,79,85.5,5.4,4,2,1,1,1.3,422,6.2,1
John Alan Richter,156999,TOLEDO,5,73.8,68,10.1,4,5.5,63.2,28,81,5,21,70.9,77.0,44.4,0,86,104.8,6.2,5,8,4,1,1.2,497,7.3,4
Jacurri Brown,156344,UCF,6,58.1,68,12.1,3,4.4,51.5,26,87,1,24,65.3,48.9,78.2,4,87,49.8,5.7,5,14,1,4,4.6,398,5.9,0.25
Zach Pyron,156309,GA TECH,5,69.0,67,8.2,1,1.5,52.2,23,80,5,25,60.2,53.0,67.2,3,81,62.3,5.0,4,9,2,5,6.2,409,6.1,0.67
Mike Wright,124366,NWESTERN,3,67.8,66,9.5,2,2.9,57.6,20,72,2,24,62.2,57.9,65.8,1,76,66.1,0.0,0,6,0,4,5.3,354,5.4,0.0
Cameron Rising,77663,UTAH,3,62.9,66,10.1,1,1.4,51.5,21,74,5,26,49.9,46.9,64.9,3,78,96.5,4.1,3,5,7,4,5.1,555,8.4,2.33
Jase Bauer,145714,SM HOUSTON,7,77.2,65,7.2,2,2.9,61.5,30,81,4,17,68.8,71.1,60.4,1,84,76.7,4.9,4,12,2,1,1.2,304,4.7,2.0
Gunner Stockton,157072,GEORGIA,4,78.0,64,7.5,2,3.0,70.3,31,76,1,20,56.4,57.2,55.3,1,79,88.0,9.2,7,4,1,3,3.8,440,6.9,1.0
Tyriq Starks,156514,FAU,4,72.4,63,6.4,0,0.0,61.9,33,77,3,26,62.3,49.8,74.6,2,81,108.6,6.5,5,9,6,4,4.9,551,8.7,3.0
Goose Crowder,144781,TROY,4,83.1,63,8.5,5,7.7,68.3,26,77,6,29,84.5,85.7,63.4,0,83,121.6,3.9,3,11,5,2,2.4,547,8.7,5
MJ Morris,157404,MARYLAND,6,70.2,61,8.5,3,4.6,59.0,31,75,4,18,59.2,56.5,64.1,5,80,68.3,12.0,9,5,5,4,5.0,350,5.7,1.0
Trexler Ivey,122184,CHARLOTTE,4,63.0,59,7.4,2,3.1,57.6,11,63,0,17,55.5,52.8,63.4,2,69,76.0,3.2,2,2,3,3,4.3,326,5.5,1.5
William Watson III,174771,VA TECH,3,66.0,58,11.9,3,4.8,58.6,41,83,1,24,62.1,53.7,70.7,2,88,76.9,16.9,14,10,1,4,4.5,481,8.3,0.5
Tyler Jefferson,171233,C MICHIGAN,7,52.8,58,14.9,2,3.2,46.6,35,84,1,19,42.4,36.8,57.0,1,90,54.2,9.5,8,17,0,6,6.7,286,4.9,0.0
Will Hammond,184898,TEXAS TECH,4,69.8,56,9.1,3,5.3,60.7,12,66,3,23,61.5,61.4,58.6,2,68,85.4,4.5,3,6,2,4,5.9,480,8.6,1.0
Noah Kim,129623,COAST CAR,7,61.5,56,9.4,2,3.4,53.6,14,60,2,13,57.0,58.8,53.0,1,63,87.9,5.0,3,1,4,2,3.2,333,5.9,4.0
Nicco Marchiol,157363,W VIRGINIA,7,74.5,56,9.9,5,8.2,66.1,21,75,4,20,60.1,65.6,52.3,2,80,104.3,10.7,8,11,5,4,5.0,434,7.8,2.5
General Booty,71008,LA MONROE,5,73.9,55,6.7,0,0.0,52.7,17,60,5,12,46.9,42.9,64.0,2,63,66.2,8.3,5,0,2,3,4.8,306,5.6,1.0
Brendan Sullivan,145034,IOWA,6,82.4,54,5.8,2,3.5,70.4,32,81,4,24,59.1,56.0,59.9,3,84,92.7,9.9,8,19,3,5,6.0,474,8.8,1.0
Collin Schlee,98025,VA TECH,6,62.3,54,11.8,2,3.4,50.0,31,71,6,18,61.4,52.6,68.4,1,79,86.0,8.5,6,11,3,3,3.8,408,7.6,3.0
Preston Stone,124716,SMU,6,69.4,53,11.5,4,7.0,60.4,18,60,2,23,81.9,82.3,65.0,1,64,109.3,5.0,3,4,5,2,3.1,424,8.0,5.0
Cutter Boley,184630,KENTUCKY,4,57.1,53,13.2,2,3.5,49.1,26,61,2,14,46.4,51.7,35.2,4,66,50.7,11.5,7,1,2,6,9.1,338,6.4,0.5
JP Pickles,183996,UTEP,3,68.9,52,8.0,1,1.9,55.8,25,69,2,16,58.3,46.7,69.2,1,71,57.6,8.7,6,10,0,2,2.8,213,4.1,0.0
Aidan Warner,177520,FLORIDA,4,48.9,52,8.9,2,3.8,40.4,18,57,2,13,43.4,44.7,54.8,3,58,30.0,7.0,4,1,0,2,3.4,228,4.4,0.0
Tucker Kilcrease,156863,TROY,6,60.9,51,11.8,3,5.7,54.9,34,69,0,21,53.1,58.4,50.6,1,72,90.1,11.6,8,10,3,4,5.6,377,7.4,3.0
Jack Tuttle,83580,MICHIGAN,2,65.2,50,7.1,1,2.0,60.0,24,62,0,14,29.1,33.9,32.4,2,63,67.6,9.7,6,6,1,6,9.5,306,6.1,0.5
Zevi Eckhaus,148535,WASH STATE,2,79.6,50,9.2,2,3.8,74.0,7,52,2,21,76.5,69.9,75.7,2,56,109.1,1.9,1,1,4,4,7.1,424,8.5,2.0
Nick Poulos,188474,OHIO,5,58.5,49,10.8,2,3.6,44.9,24,60,2,21,66.1,63.5,64.6,1,66,67.6,5.0,3,8,2,2,3.0,271,5.5,2.0
Matthew Sluka,143059,UNLV,3,51.1,48,17.6,6,11.8,43.8,24,61,3,16,75.4,59.2,81.8,1,64,97.0,9.8,6,6,6,3,4.7,318,6.6,6.0
Elijah Brown,183276,STANFORD,3,70.2,48,8.2,2,3.8,58.3,30,61,5,13,33.4,39.5,39.6,3,66,62.3,13.1,8,5,2,4,6.1,274,5.7,0.67
Justin Lamson,144052,STANFORD,8,61.4,47,14.0,5,10.0,53.2,32,66,2,19,65.1,58.2,66.8,2,70,83.6,19.7,13,6,4,4,5.7,300,6.4,2.0
Drew Mestemaker,190616,N TEXAS,4,71.7,47,9.4,1,2.0,63.8,20,54,3,21,75.7,65.5,83.0,2,57,92.7,7.4,4,3,2,3,5.3,462,9.8,1.0
Alex Orji,158545,MICHIGAN,7,61.9,47,7.3,0,0.0,53.2,28,61,1,10,59.2,39.4,70.3,2,62,63.3,4.9,3,11,3,3,4.8,150,3.2,1.5
Michael Kern,97799,WAKE,5,62.8,45,11.4,5,10.4,53.3,19,51,3,14,65.3,65.4,56.7,3,54,52.8,7.8,4,2,1,4,7.4,288,6.4,0.33
Henry Belin IV,162693,DUKE,2,61.9,45,8.8,0,0.0,57.8,23,47,0,16,56.4,53.3,64.8,1,49,78.3,0.0,0,2,2,2,4.1,243,5.4,2.0
Hank Brown,172439,AUBURN,3,73.2,44,8.9,2,4.4,61.4,10,45,3,17,59.6,59.9,60.3,3,46,102.6,0.0,0,1,6,3,6.5,403,9.2,2.0
Quentin Hayes,186423,AIR FORCE,8,67.5,43,12.1,4,8.2,58.1,26,61,2,19,85.1,64.8,81.0,2,68,98.5,16.4,10,8,3,2,2.9,455,10.6,1.5
Dequan Finn,97804,BAYLOR,2,59.5,43,10.0,1,2.1,53.5,19,50,2,11,54.4,43.7,72.0,2,55,80.3,8.0,4,2,3,3,5.5,307,7.1,1.5
Ty Thompson,146568,TULANE,6,48.6,40,11.1,2,4.4,42.5,11,45,1,10,65.8,43.0,76.9,3,51,52.0,2.2,1,4,3,2,3.9,199,5.0,1.0
Eddie Lee Marburger,145511,UTSA,6,63.2,40,7.2,2,4.9,55.0,19,47,2,15,60.3,66.6,45.7,3,48,57.7,4.3,2,5,2,1,2.1,234,5.9,0.67
Drew Devillier,190639,RICE,3,61.8,39,5.9,0,0.0,51.3,13,44,1,5,53.8,51.5,63.5,0,46,59.5,4.5,2,3,0,2,4.3,137,3.5,0
Gavin Wimsatt,155757,KENTUCKY,6,52.8,39,15.9,6,14.0,41.0,15,44,3,10,68.9,57.5,71.2,4,49,53.0,6.8,3,2,3,5,10.2,287,7.4,0.75
Javance Tupou'ata-Johnson,175766,S DIEGO ST,3,59.0,39,10.9,1,2.3,51.3,21,51,3,11,55.6,53.6,60.1,2,56,64.3,9.8,5,7,2,5,8.9,222,5.7,1.0
Tayven Jackson,157615,INDIANA,4,73.5,37,9.6,2,5.1,62.2,10,40,2,16,79.3,75.1,70.1,1,42,118.0,2.5,1,2,4,2,4.8,349,9.4,4.0
Conner Harrell,156352,N CAROLINA,4,67.6,37,8.4,0,0.0,56.8,11,42,2,13,60.8,63.0,54.5,1,49,87.9,4.8,2,3,2,1,2.0,282,7.6,2.0
Braxton Woodson,175276,NAVY,3,61.8,36,8.3,0,0.0,50.0,8,42,3,12,58.5,56.0,60.7,2,43,67.2,4.8,2,4,2,0,0.0,243,6.8,1.0
Steve Angeli,156966,NOTRE DAME,8,82.9,36,8.0,2,5.4,66.7,16,43,5,16,82.3,75.6,78.3,0,45,116.4,11.6,5,2,3,0,0.0,268,7.4,3
Brandon Rose,158503,UTAH,2,60.0,36,9.1,1,2.6,52.8,8,39,2,9,65.3,54.4,77.3,2,42,59.6,2.6,1,2,2,2,4.8,157,4.4,1.0
Justyn Martin,162461,UCLA,3,75.8,35,3.8,0,0.0,68.6,22,41,1,11,67.7,67.5,60.0,0,42,90.1,7.3,3,3,1,1,2.4,179,5.1,1
Blake Baker,170448,LA TECH,2,72.7,35,7.7,0,0.0,54.3,16,43,5,12,65.5,65.7,60.3,3,45,58.5,9.3,4,4,1,1,2.2,314,9.0,0.33
Beau Pribula,164182,PENN STATE,7,82.4,35,8.2,3,7.9,74.3,9,40,2,19,91.4,92.6,76.4,1,43,124.4,2.5,1,4,5,0,0.0,275,7.9,5.0
Jackson Stratton,157206,IOWA,3,75.0,35,6.3,0,0.0,60.0,16,41,3,10,60.6,62.9,49.9,0,41,87.7,4.9,2,2,1,0,0.0,219,6.3,1
Christopher Vizzina,170032,CLEMSON,7,71.0,34,7.5,0,0.0,55.9,9,40,3,8,59.6,55.1,64.1,0,43,71.9,7.5,3,2,0,0,0.0,190,5.6,0
Harrison Bailey,124266,LOUISVILLE,3,80.6,33,7.9,1,3.0,72.7,7,35,1,13,76.3,77.9,61.7,0,35,121.7,0.0,0,2,3,0,0.0,227,6.9,3
Garret Rangel,157795,OKLA STATE,4,60.0,33,8.8,0,0.0,51.5,10,38,1,10,44.8,39.8,66.0,1,38,76.8,2.6,1,2,2,2,5.3,192,5.8,2.0
Austin Simmons,175891,OLE MISS,7,65.6,32,12.0,2,5.9,59.4,3,34,2,16,82.5,81.2,65.2,0,36,109.1,2.9,1,1,2,0,0.0,282,8.8,2
Robby Ashford,131702,S CAROLINA,6,83.3,32,9.5,3,8.1,71.9,17,47,2,15,77.2,74.5,68.4,0,52,125.0,12.8,6,9,2,2,3.8,324,10.1,2
John White,184784,SO MISS,3,62.1,31,10.7,1,2.9,54.8,14,39,1,8,38.9,51.3,27.3,3,43,40.5,12.8,5,3,0,2,4.7,240,7.7,0.0
Dexter Williams II,129457,GA SOUTHRN,4,73.3,31,12.2,3,9.4,61.3,6,35,3,13,66.2,73.2,53.4,0,36,118.8,2.9,1,3,3,0,0.0,248,8.0,3
Luke Bottari,73931,UTAH,3,71.4,31,8.6,1,2.9,61.3,11,33,1,10,57.1,61.2,52.4,0,37,86.9,6.1,2,0,1,0,0.0,171,5.5,1
CJ Harris,130594,CAL,2,69.0,31,9.7,1,2.9,61.3,10,39,1,10,58.3,53.8,64.0,1,43,64.4,10.3,4,4,0,4,9.3,184,5.9,0.0
Daniel Beale,197861,LA LAFAYET,3,63.0,30,10.3,1,3.1,43.3,14,37,4,7,44.7,50.4,44.4,2,39,27.9,5.4,2,5,0,2,5.1,126,4.2,0.0
Brandon Nunez,183978,NEW MEX ST,5,50.0,30,11.1,0,0.0,40.0,10,34,2,7,51.8,43.3,62.0,1,35,56.3,5.9,2,2,2,1,2.9,89,3.0,2.0
Tommy Schuster,108954,MICH STATE,4,75.9,29,6.6,0,0.0,69.0,15,36,2,10,62.2,57.7,69.5,0,36,88.6,16.7,6,1,0,2,5.6,202,7.0,0
Joshua Wood,163421,FRESNO ST,6,74.1,29,8.7,1,3.3,65.5,9,32,1,11,77.4,68.2,73.4,1,33,82.7,3.1,1,2,1,1,3.0,201,6.9,1.0
Ruel Tomlinson,188241,KENT STATE,4,59.3,29,8.3,0,0.0,34.5,22,52,6,5,37.6,39.3,48.9,2,52,14.6,21.2,11,11,0,2,3.8,70,2.4,0.0
Tahj Bullock,144070,AKRON,9,88.5,28,2.0,0,0.0,71.4,11,34,3,7,70.8,70.3,73.0,0,37,85.6,14.7,5,1,0,1,2.7,161,5.8,0
Gabarri Johnson,175905,OREGON ST,6,60.0,28,8.4,0,0.0,50.0,14,41,1,9,58.9,46.4,72.0,1,41,54.5,12.2,5,8,0,2,4.9,172,6.1,0.0
Malachi Singleton,172426,ARKANSAS,4,77.8,28,12.6,1,3.3,75.0,11,36,0,16,80.9,69.0,79.9,0,38,127.7,16.7,6,2,1,1,2.6,344,12.3,1
David Lynch,170120,PITTSBURGH,3,65.4,27,8.4,0,0.0,59.3,10,31,1,6,39.6,40.0,56.3,3,33,29.0,9.7,3,1,0,3,9.1,111,4.1,0.0
Gaston Moore,123756,TENNESSEE,5,70.4,27,13.1,2,5.9,59.3,6,28,3,8,70.0,74.1,46.8,2,35,76.3,0.0,0,1,2,2,5.7,201,7.4,1.0
Emory Williams,170099,MIAMI FL,2,81.8,26,8.6,2,7.7,61.5,4,26,2,8,76.2,75.2,,1,26,80.1,0.0,0,0,1,1,3.8,187,7.2,1.0
Tad Hudson,170107,COAST CAR,1,77.3,26,7.3,1,3.1,65.4,13,33,0,7,61.8,61.5,63.0,0,39,109.9,9.1,3,3,2,1,2.6,173,6.7,2
Chubba Purdy,122412,NEVADA,4,75.0,25,8.9,1,3.7,72.0,9,28,0,7,69.7,70.0,63.3,1,31,97.6,7.1,2,1,1,1,3.2,233,9.3,1.0
Jeff Sims,122496,ARIZONA ST,2,56.5,25,14.0,0,0.0,52.0,12,33,0,10,63.3,48.6,72.2,0,35,73.4,6.1,2,6,0,0,0.0,168,6.7,0
Ty Simpson,157008,ALABAMA,4,72.0,25,11.1,1,3.7,56.0,7,27,4,9,74.9,67.3,74.2,0,29,76.6,3.7,1,1,0,0,0.0,167,6.7,0
Quinn Henicle,190064,DOMINION,3,60.0,25,9.3,0,0.0,56.0,19,34,1,9,73.9,40.8,87.7,1,37,88.9,17.6,6,3,2,3,8.1,181,7.2,2.0
Chandler Rogers,98683,CAL,5,63.6,24,8.3,1,3.7,50.0,12,34,2,4,60.8,56.0,63.3,0,38,64.1,11.8,4,6,0,0,0.0,117,4.9,0
Billy Atkins,148354,JAMES MAD,2,82.6,24,12.3,2,8.3,66.7,4,24,3,7,83.7,86.1,62.4,0,24,103.0,0.0,0,0,1,0,0.0,181,7.5,1
RJ Martinez,147690,TEXAS ST,2,75.0,24,4.2,0,0.0,75.0,8,30,0,10,50.3,53.0,52.3,1,31,72.9,6.7,2,4,0,1,3.2,148,6.2,0.0
AJ Bianco,158232,NEVADA,3,69.6,24,12.1,1,3.8,66.7,7,28,0,11,74.7,74.3,65.0,0,30,101.6,7.1,2,2,1,2,6.7,173,7.2,1
Khalib Johnson,156331,KENNESAW,3,36.4,22,15.4,1,4.5,27.3,9,25,2,3,25.5,26.2,44.1,3,25,0.0,8.0,2,1,0,5,20.0,57,2.6,0.0
Timmy McClain,144488,ARK STATE,4,84.2,21,8.5,0,0.0,66.7,13,29,2,10,61.2,67.6,54.0,0,31,129.6,13.8,4,4,3,0,0.0,163,7.8,3
Devin Brown,156479,OHIO STATE,6,60.0,20,7.6,0,0.0,55.0,5,25,1,8,66.9,65.9,61.2,0,25,88.3,8.0,2,3,1,0,0.0,114,5.7,1
Ryan Burger,157544,LIBERTY,5,56.3,19,8.3,1,5.0,42.1,13,26,1,5,44.0,51.9,48.2,0,27,56.5,11.5,3,4,0,1,3.7,88,4.6,0
Deuce Hogan,129470,NEW MEX ST,2,53.3,19,12.9,1,4.8,31.6,8,22,2,2,56.1,57.0,57.8,2,24,1.3,9.1,2,1,0,1,4.2,31,1.6,0.0
Max Johnson,124099,N CAROLINA,1,72.2,19,4.4,0,0.0,63.2,8,24,1,7,47.0,42.8,62.3,1,28,48.4,8.3,2,3,0,1,3.6,71,3.7,0.0
EJ Caminong,188167,CAL,1,37.5,19,7.5,1,5.3,31.6,7,27,0,5,33.9,28.9,61.6,0,27,40.9,7.4,2,5,0,2,7.4,57,3.0,0
Logan Smothers,129713,JVILLE ST,2,66.7,19,7.7,0,0.0,57.9,5,23,1,5,58.7,49.5,63.8,0,24,77.3,8.7,2,2,0,1,4.2,123,6.5,0
Heinrich Haarberg,144993,NEBRASKA,5,55.6,18,11.4,0,0.0,55.6,5,20,0,6,69.6,53.7,75.4,1,24,48.6,5.0,1,1,0,1,4.2,101,5.6,0.0
Henry Hesson,145798,MIAMI OH,5,46.7,18,11.3,0,0.0,38.9,10,25,0,7,36.7,38.2,47.2,0,26,74.5,8.0,2,5,1,1,3.8,93,5.2,1
Malachi Nelson,174203,BOISE ST,3,76.5,17,6.4,1,5.6,70.6,3,19,1,7,80.4,80.1,60.0,1,20,67.8,10.5,2,0,0,0,0.0,128,7.5,0.0
Dewayne Coleman,163179,ARMY,6,68.8,16,10.5,1,5.6,68.8,9,18,0,6,72.9,74.6,65.1,0,20,111.7,11.1,2,0,1,0,0.0,121,7.6,1
Ryan Hilinski,71295,NWESTERN,3,71.4,16,12.4,1,5.9,56.3,4,16,1,6,44.6,52.9,46.5,1,17,54.4,0.0,0,0,0,2,11.8,121,7.6,0.0
EJ Colson,190335,UCF,2,62.5,16,9.7,0,0.0,56.3,12,26,1,5,38.0,30.0,62.0,1,28,60.4,19.2,5,5,1,1,3.6,64,4.0,1.0
Brad Jackson,184354,TEXAS ST,2,61.5,15,7.3,0,0.0,53.3,6,18,0,5,74.1,45.6,80.1,0,19,101.5,0.0,0,3,1,1,5.3,118,7.9,1
Josh Johnson,186429,AIR FORCE,5,57.1,14,19.8,2,13.3,42.9,10,19,2,7,48.8,47.9,55.9,3,20,59.5,5.3,1,4,1,3,15.0,126,9.0,0.33
Israel Carter,175310,USF,3,83.3,14,13.8,1,6.7,71.4,7,18,0,8,60.0,70.3,50.0,0,19,153.3,0.0,0,4,4,0,0.0,203,14.5,4
Julian Dugger,183269,PITTSBURGH,1,66.7,13,9.3,1,6.3,53.8,9,19,1,6,80.2,50.4,87.0,1,23,77.6,15.8,3,3,2,2,8.7,72,5.5,2.0
Ui Ale,173036,HOUSTON,2,84.6,13,7.2,0,0.0,76.9,3,14,1,6,73.6,77.1,55.5,0,14,127.7,7.1,1,0,1,0,0.0,112,8.6,1
Ryan Boe,190878,NWESTERN,1,40.0,13,11.3,0,0.0,30.8,6,14,0,3,26.7,26.8,,1,14,9.1,7.1,1,0,0,2,14.3,42,3.2,0.0
Ken Seals,124359,TCU,5,100.0,13,0.0,0,0.0,76.9,3,14,0,5,51.4,67.6,42.3,0,14,122.9,0.0,0,1,1,0,0.0,97,7.5,1
Lucian Anderson III,173364,BOWL GREEN,4,54.5,12,6.8,0,0.0,41.7,7,16,1,3,66.2,47.6,72.2,1,17,42.4,12.5,2,2,1,0,0.0,32,2.7,1.0
Chayden Peery,143925,FIU,1,70.0,12,7.1,1,7.1,58.3,7,14,0,2,71.1,60.8,70.7,0,16,98.6,7.1,1,1,1,0,0.0,58,4.8,1
Jeremiah Salem,157478,E MICHIGAN,3,75.0,12,5.6,0,0.0,75.0,5,15,0,2,54.4,51.0,61.8,1,16,102.1,13.3,2,1,1,1,6.3,128,10.7,1.0
Michael Merdinger,183334,N CAROLINA,1,75.0,12,7.4,0,0.0,75.0,8,16,0,2,47.1,49.2,60.0,1,17,59.7,25.0,4,0,0,1,5.9,86,7.2,0.0
