player,player_id,attempts_rushing,avoided_tackles,breakaway_attempts,breakaway_percent,breakaway_yards,designed_yards,elu_yco,elusive_rating,explosive,first_downs_rushing,fumbles,longest,run_plays,scramble_yards,total_touches,touchdowns_rushing,yards_rushing,yards_after_contact,ypa_rushing,yprr
Drew Allar,164157,81,21,0,0.0,0,98,68,28.3,17,36,5,22,448,321,38,6,419,252,5.2,-0.44
Aidan Chiles,173727,78,30,2,11.8,45,203,131,78.0,14,28,6,26,310,177,55,3,380,279,4.9,0.0
Cam Fancher,145266,76,17,4,31.6,154,268,128,75.7,18,25,4,76,211,220,39,3,488,248,6.4,
Athan Kaliakmanis,144971,75,5,1,5.9,20,130,64,3.2,13,25,2,20,445,211,45,3,341,124,4.5,
Gio Lopez,172309,73,24,5,27.8,150,296,180,87.6,17,35,2,50,305,244,43,7,540,323,7.4,
Brady Cook,124199,73,9,3,16.8,63,172,45,6.9,15,27,5,31,356,203,51,5,375,109,5.1,0.0
Nick Evers,158082,73,7,2,15.4,44,233,106,19.6,7,20,6,23,247,53,57,3,286,134,3.9,0.0
Luke Altmyer,146802,72,9,5,23.7,101,205,80,4.6,17,27,11,37,379,221,42,4,426,204,5.9,
Ethan Crawford,173571,72,20,1,5.9,21,266,193,91.1,14,21,4,21,168,87,60,3,353,276,4.9,
John Busha,173849,72,14,0,0.0,0,174,119,36.6,6,19,6,12,236,36,65,1,210,120,2.9,
Jack Lausch,162845,71,9,2,11.9,43,187,83,7.8,13,19,6,29,216,175,46,2,362,157,5.1,0.0
Skyler Locklear,164027,70,16,2,11.0,33,122,83,43.4,18,23,3,18,258,178,43,2,300,166,4.3,10.67
Keyone Jenkins,170403,70,6,0,0.0,0,77,67,6.3,6,15,11,34,300,120,46,2,197,159,2.8,
Seth Henigan,144267,70,7,3,17.7,51,147,55,8.9,11,23,3,23,399,141,43,1,288,117,4.1,0.0
Brock Vandagriff,146713,69,12,0,0.0,0,164,158,56.9,13,25,7,22,269,159,50,0,323,232,4.7,
Cooper Legas,101286,69,11,1,12.2,33,201,145,32.2,6,13,6,33,176,70,60,1,271,175,3.9,0.0
Billy Edwards Jr.,144185,69,14,1,5.6,15,129,94,41.8,8,18,3,15,250,138,45,5,267,150,3.9,
Owen McCown,157688,68,10,2,10.7,55,102,34,10.9,14,21,7,75,379,410,25,3,512,170,7.5,-4.0
Hank Bachmeier,101284,67,13,1,5.8,20,5,22,0.0,15,21,7,20,307,338,22,1,343,197,5.1,2.5
Evan Simon,129906,67,3,0,0.0,0,77,56,3.3,3,12,4,16,244,111,41,3,188,91,2.8,0.0
Shedeur Sanders,131396,64,10,0,0.0,0,21,22,0.0,12,25,7,17,242,284,25,4,305,233,4.8,0.0
Demond Williams Jr.,183648,63,21,3,13.5,50,165,102,68.6,12,19,2,43,131,205,35,2,370,222,5.9,3.0
Eli Holstein,172381,63,10,2,12.2,52,124,59,19.7,14,23,9,49,189,301,30,3,425,247,6.7,
Bryson Barnes,131845,63,12,9,44.2,247,377,192,53.8,18,31,2,63,158,182,50,5,559,228,8.9,0.0
Jordan McCloud,101058,63,9,3,20.3,74,197,67,13.9,11,21,7,42,394,167,38,7,364,191,5.8,
Dillon Gabriel,86272,62,14,4,42.0,126,179,67,29.3,9,22,4,54,427,121,40,7,300,155,4.8,0.0
Nicholas Vattiato,145302,61,8,0,0.0,0,40,13,0.0,6,17,7,16,259,183,23,1,223,143,3.7,
Ben Finley,122864,60,8,2,21.1,48,86,31,7.8,11,13,6,33,211,141,41,0,227,61,3.8,3.75
Ben Wooldridge,82115,60,7,1,5.3,15,103,38,6.6,10,26,2,18,293,181,34,5,284,146,4.7,
Maddux Madsen,163379,59,14,1,6.6,18,45,34,20.2,9,21,2,49,480,226,29,5,271,178,4.6,
Alex Orji,158545,58,17,4,33.6,99,248,175,87.1,11,19,3,29,157,47,47,1,295,220,5.1,0.0
Ethan Garbers,131896,57,10,0,0.0,0,16,22,6.1,9,19,9,57,239,325,19,1,341,272,6.0,
Braxton Woodson,175276,55,13,2,38.7,65,129,98,33.9,5,12,3,38,118,39,51,3,168,140,3.1,
Joey Aguilar,174978,55,15,2,19.0,64,117,53,33.8,14,24,4,49,347,219,28,2,336,205,6.1,0.0
Justin Lamson,144052,55,5,0,0.0,0,127,68,11.3,2,26,3,12,90,29,49,8,156,108,2.8,0.0
Michael Hawkins Jr.,184595,55,20,1,6.9,20,122,87,81.5,12,15,5,48,119,166,31,1,288,220,5.2,
Byrum Brown,156206,54,15,4,26.4,94,252,170,137.7,13,16,2,42,142,104,39,3,356,238,6.6,6.0
Ty Thompson,146568,53,7,2,25.8,67,238,148,30.8,7,21,1,50,110,22,49,6,260,158,4.9,0.0
Fernando Mendoza,158323,52,8,2,12.3,41,90,22,0.0,12,21,3,50,262,244,24,2,334,156,6.4,9.0
Tahj Bullock,144070,52,9,1,9.1,15,153,87,28.0,2,18,4,15,110,12,61,8,165,104,3.2,1.34
Chandler Morris,122938,52,13,3,18.4,54,54,36,57.1,11,15,2,49,286,240,21,4,294,117,5.7,0.0
Kyle McCord,145053,51,2,1,18.7,29,34,13,0.0,5,23,6,29,351,121,36,3,155,81,3.0,0.0
Sawyer Robertson,146839,51,9,2,19.4,65,139,104,79.6,10,19,2,45,364,196,28,4,335,194,6.6,
Stone Earle,123504,51,6,2,12.3,31,172,68,24.8,10,17,3,16,116,80,37,0,252,103,4.9,
Darian Mensah,169984,50,7,0,0.0,0,29,17,5.2,10,21,7,22,405,221,18,1,250,83,5.0,0.0
Jase Bauer,145714,49,2,4,36.0,73,141,84,11.9,9,11,2,25,115,62,38,0,203,113,4.1,1.0
Donovan Smith,73929,49,10,2,22.7,56,168,84,32.4,9,20,2,37,136,79,36,3,247,147,5.0,
Jacurri Brown,156344,49,16,6,44.1,188,316,129,115.8,11,20,3,67,118,110,35,4,426,202,8.7,
Carson Beck,124010,49,5,0,0.0,0,7,15,2.8,8,14,8,14,317,190,23,1,197,57,4.0,
Max Brosmer,105568,49,3,0,0.0,0,15,15,0.0,1,18,4,28,339,119,24,5,134,83,2.7,0.0
Jacolby Criswell,122830,48,11,1,5.5,15,45,33,14.7,10,22,5,20,315,227,15,3,272,144,5.7,-0.67
Gevani McCoy,147609,48,16,5,25.6,103,133,55,62.4,13,21,8,71,268,270,21,5,403,208,8.4,0.0
Bryce Archie,156667,48,7,4,37.0,95,177,65,27.1,8,13,3,35,233,80,31,2,257,118,5.4,0.0
Josh Holst,171312,48,2,4,35.0,93,135,63,8.6,8,10,3,36,129,131,27,1,266,112,5.5,0.0
Isaac Wilson,183872,48,7,1,8.8,15,40,45,10.7,5,8,6,48,217,130,29,0,170,92,3.5,
KJ Jefferson,99129,48,15,2,16.5,44,196,113,54.8,10,17,3,23,199,71,38,2,267,172,5.6,
Danny O'Neil,184200,48,8,2,24.2,62,101,28,28.0,8,11,5,34,319,155,20,1,256,88,5.3,0.0
Gavin Wimsatt,155757,47,9,2,19.9,39,182,112,44.2,6,15,2,24,93,14,45,2,196,114,4.2,
Noah Fifita,158722,46,8,1,9.1,20,40,16,5.2,12,16,3,24,267,179,18,1,219,156,4.8,7.0
Ethan Hampton,145858,46,8,0,0.0,0,28,11,0.0,7,16,5,32,355,187,19,2,215,104,4.7,0.0
Cam Ward,133244,44,11,0,0.0,0,11,6,0.0,14,23,4,24,313,325,13,4,336,174,7.6,3.5
Parker Awad,183974,44,6,2,18.8,42,121,54,18.0,6,12,4,25,212,103,30,1,224,86,5.1,
Michael Van Buren Jr.,184764,43,6,0,0.0,0,28,8,0.0,2,12,9,17,225,134,15,5,162,117,3.8,
DJ Lagway,184426,42,5,1,13.3,25,94,43,6.4,4,7,2,25,257,94,26,0,188,111,4.5,
Matthew Caldwell,150302,41,1,2,29.7,30,90,53,3.6,5,14,7,15,243,11,39,5,101,69,2.5,14.5
Ryan Browne,174949,41,9,3,26.5,59,116,49,23.5,9,11,2,23,101,107,25,0,223,94,5.4,0.0
